epoch,loss
0,212.723740
1,194.240417
2,186.756821
3,184.449707
4,183.521301
5,182.987396
6,182.296463
7,181.122925
8,179.638351
9,178.040817
10,176.470963
11,174.924423
12,173.292969
13,171.483337
14,169.528870
15,167.394363
16,165.000458
17,162.429733
18,160.071716
19,158.043457
20,156.091446
21,154.020401
22,152.835327
23,151.663727
24,153.727478
25,153.292755
26,149.279984
27,148.952698
28,147.179993
29,153.965469
30,156.628586
31,148.481918
32,153.681915
33,162.296509
34,154.066208
35,145.427200
36,146.566666
37,145.509430
38,145.092484
39,145.895081
40,144.868027
41,145.554306
42,143.816879
43,150.369461
44,151.465408
45,143.663513
46,151.296021
47,160.483154
48,153.064255
49,142.313126
50,158.271637
51,176.739212
52,172.734985
53,153.393936
54,141.740417
55,144.849014
56,144.288330
57,141.638580
58,142.714310
59,141.706894
60,141.747192
61,142.056839
62,141.028595
63,140.572098
64,140.968445
65,140.787659
66,141.301270
67,141.243652
68,140.227676
69,139.816177
70,140.179413
71,140.144135
72,140.432632
73,140.290924
74,139.578842
75,139.191513
76,139.600632
77,139.605148
78,139.493378
79,139.347809
80,138.979263
81,138.594223
82,139.091904
83,139.197479
84,138.651886
85,138.466293
86,138.087280
87,137.928558
88,137.834381
89,137.706467
90,137.366211
91,137.436844
92,136.884644
93,137.958649
94,137.928925
95,136.658829
96,136.108093
97,136.246704
98,135.770126
99,137.963409
100,138.741730
101,135.599075
102,138.485260
103,139.169922
104,137.274658
105,138.334534
106,135.399323
107,137.605087
108,139.214279
109,135.223877
110,142.878906
111,149.100632
112,141.729034
113,134.652466
114,134.732758
115,133.979187
116,133.684006
117,135.877289
118,140.900757
119,142.272369
120,137.856979
121,133.492722
122,139.210632
123,146.211609
124,147.057678
125,151.765411
126,154.801208
127,148.008926
128,141.615524
129,137.554962
130,133.299347
131,137.685333
132,143.159515
133,143.087631
134,142.486130
135,139.568481
136,134.575424
137,135.252258
138,138.905533
139,139.837296
140,139.738754
141,138.831619
142,135.276962
143,133.963898
144,135.050659
145,134.614487
146,134.332184
147,136.413300
148,137.346100
149,136.345871
150,135.266434
151,134.190033
152,135.051254
153,135.036728
154,133.413483
155,134.183929
156,136.111511
157,135.736908
158,134.108643
159,133.750259
160,134.696243
161,133.897629
162,133.756241
163,133.788574
164,133.787918
165,133.771774
166,133.190598
167,133.209122
168,133.031067
169,132.561432
170,133.061859
171,133.508484
172,132.663788
173,132.312424
174,132.517471
175,132.049622
176,132.419647
177,132.823868
178,132.000671
179,131.856934
180,132.230270
181,131.628128
182,131.719360
183,132.077545
184,131.358826
185,131.466675
186,131.891052
187,131.153503
188,131.153534
189,131.534134
190,130.838867
191,131.047058
192,131.513687
193,130.713196
194,130.670227
195,131.074402
196,130.376480
197,130.626053
198,131.130142
199,130.299072
200,130.260071
201,130.708527
202,129.984528
203,130.205154
204,130.729416
205,129.889343
206,129.907440
207,130.404861
208,129.629959
209,129.820724
210,130.357697
211,129.500214
212,129.584534
213,130.100815
214,129.278336
215,129.460587
216,129.971191
217,129.121170
218,129.269226
219,129.781708
220,128.951706
221,129.078247
222,129.573486
223,128.768295
224,128.943253
225,129.493286
226,128.634903
227,128.732101
228,129.236572
229,128.409378
230,128.661697
231,129.194351
232,128.296402
233,128.410843
234,128.853409
235,128.055420
236,128.343872
237,128.834122
238,127.976135
239,128.047302
240,128.454285
241,127.725372
242,127.992165
243,128.490616
244,127.675087
245,127.678947
246,128.113174
247,127.400368
248,127.690750
249,128.217453
250,127.367859
251,127.360077
252,127.776733
253,127.068344
254,127.394539
255,127.918335
256,127.067970
257,127.020317
258,127.434196
259,126.744827
260,127.100540
261,127.638290
262,126.769081
263,126.697784
264,127.106064
265,126.425743
266,126.808563
267,127.353142
268,126.469910
269,126.376495
270,126.780769
271,126.105865
272,126.514999
273,127.062454
274,126.177696
275,126.054161
276,126.465530
277,125.788597
278,126.226990
279,126.779037
280,125.877670
281,125.736694
282,126.139488
283,125.473145
284,125.925117
285,126.494774
286,125.583817
287,125.422852
288,125.822464
289,125.161209
290,125.631638
291,126.211121
292,125.283966
293,125.109558
294,125.509941
295,124.851196
296,125.339607
297,125.924484
298,124.985657
299,124.801270
300,125.200775
301,124.545013
302,125.048531
303,125.636681
304,124.689613
305,124.496429
306,124.897240
307,124.241531
308,124.767418
309,125.348534
310,124.401703
311,124.194122
312,124.602501
313,123.940254
314,124.503204
315,125.064133
316,124.126205
317,123.893990
318,124.303497
319,123.639229
320,124.274521
321,124.786728
322,123.893700
323,123.608017
324,124.002235
325,123.341125
326,124.183037
327,124.530258
328,123.792488
329,123.387650
330,123.696518
331,123.061653
332,124.825966
333,124.335075
334,124.216454
335,123.022034
336,123.195511
337,122.750015
338,127.184227
339,125.519852
340,124.257103
341,123.439034
342,134.374939
343,129.008270
344,130.603043
345,124.950928
346,127.290115
347,123.627342
348,126.368294
349,124.621803
350,132.295959
351,135.788330
352,122.287567
353,134.103592
354,127.257446
355,124.271263
356,123.856728
357,122.600983
358,125.454071
359,122.233017
360,131.347717
361,133.064423
362,122.172729
363,130.311096
364,138.427246
365,138.174744
366,131.725647
367,122.744324
368,122.535622
369,129.937958
370,128.615997
371,125.385445
372,122.150330
373,121.349960
374,127.402168
375,130.463562
376,135.561691
377,139.969543
378,139.478851
379,138.368713
380,129.852173
381,123.807358
382,120.641998
383,123.370872
384,127.220589
385,132.302597
386,136.419571
387,137.215805
388,133.491180
389,129.561844
390,125.496147
391,122.561531
392,122.509079
393,121.853622
394,126.479652
395,124.315529
396,130.707321
397,134.793640
398,127.906517
399,145.281982
400,158.148895
401,143.401657
402,128.400711
403,127.712898
404,123.802948
405,121.648781
406,122.833916
407,122.660072
408,130.319000
409,134.332840
410,130.488419
411,145.995667
412,159.123932
413,149.437408
414,134.731918
415,150.176239
416,169.750137
417,163.753616
418,140.983551
419,127.755402
420,127.897552
421,124.416672
422,122.071426
423,121.820183
424,121.540306
425,121.776688
426,123.785583
427,124.091187
428,122.742790
429,121.797256
430,122.055145
431,121.615685
432,122.176712
433,123.183495
434,123.470078
435,123.266426
436,123.273773
437,122.255478
438,120.705139
439,120.502556
440,121.836449
441,121.953629
442,121.405777
443,121.404114
444,121.904465
445,121.310684
446,120.486176
447,120.205009
448,120.598610
449,120.480698
450,120.463646
451,120.491371
452,120.661476
453,120.421722
454,120.400116
455,120.134270
456,119.931801
457,119.730408
458,120.051720
459,119.962204
460,119.767860
461,119.661118
462,120.074524
463,119.884415
464,119.493996
465,119.316956
466,119.795891
467,119.636353
468,119.238388
469,119.137558
