metric,asset,seed_0,seed_1,seed_2,seed_3,seed_4,mean
A12_rv_law_loss,0,0.02875900647218055,0.029165317873667638,0.029201470468844477,0.02843290660790202,0.029058752163559513,0.02892349
A12_rv_law_loss,1,0.024144097762094557,0.024085458265317713,0.024307122484760347,0.02245574142520893,0.024711720755850555,0.02394083
A12_rv_law_loss,2,0.029721303087612314,0.02856119211347501,0.027678034585606776,0.028462269642889684,0.02963138103268054,0.02881084
A12_rv_law_loss,3,0.022320673684780263,0.02101870536678983,0.0203532530364946,0.020665859174581153,0.02168747750686381,0.02120919
A12_rv_law_loss,4,0.02417275333083049,0.023384049557307236,0.023620271361628108,0.023692027912015082,0.024351887436975445,0.0238442
A12_rv_law_loss,5,0.021331787014873153,0.021271388319291342,0.020957516769373963,0.020942097538407783,0.020920340865981085,0.02108463
A12_rv_law_loss,6,0.017338791686750635,0.01661444852389841,0.015673667579677076,0.015793346014204516,0.014671832742125432,0.01601842
A12_rv_law_loss,7,0.013633383632601912,0.012857607874701553,0.01236058358846155,0.01325609200557866,0.014365010164430269,0.01329454
A13_mean_path_rmse,0,0.016658054066116968,0.02646370555168443,0.015279380075935042,0.009584461086618817,0.005791683614733367,0.01475546
A13_mean_path_rmse,1,0.01852002498843694,0.008776880399566495,0.012881416782760877,0.027540227244856552,0.012362091828242092,0.01601613
A13_mean_path_rmse,2,0.03502978652529155,0.009684707858141624,0.0053127703366271165,0.013362461868216158,0.020743775043874306,0.0168267
A13_mean_path_rmse,3,0.042207516668839144,0.03201008853474382,0.02093827309605281,0.021217709346688634,0.02043339474508204,0.0273614
A13_mean_path_rmse,4,0.039821705330514705,0.010659887926944561,0.018538913565103465,0.0075391634596445704,0.0048178857550188305,0.01627551
A13_mean_path_rmse,5,0.03273578317665274,0.0077734289202337145,0.009558610672861597,0.036428918756222305,0.023524929673050414,0.02200433
A13_mean_path_rmse,6,0.039964606400494554,0.00686054753765393,0.01112584559248995,0.014679396410755307,0.013893870823956472,0.01730485
A13_mean_path_rmse,7,0.034554789405602616,0.014116290456354052,0.03124051777285739,0.0300025944186536,0.011563507378560581,0.02429554
A14_ks_logreturns,0,0.1787237532808399,0.1779035433070867,0.17649380741469822,0.17540702919947504,0.17609395505249348,0.17692442
A14_ks_logreturns,1,0.1326100106627297,0.13029035433070857,0.13113875902230965,0.13045695948162728,0.1304902805118111,0.13099727
A14_ks_logreturns,2,0.17917230561023623,0.17785740649606296,0.1766732283464567,0.1784007956036745,0.1766732283464567,0.17775539
A14_ks_logreturns,3,0.10679646489501315,0.10562766568241466,0.10411540354330717,0.10528676591207353,0.10534315534776906,0.10543389
A14_ks_logreturns,4,0.13137456938976377,0.1274760088582677,0.12836798720472442,0.12740167732939622,0.12800401902887137,0.12852485
A14_ks_logreturns,5,0.10443836122047234,0.1009678477690289,0.10234682578740162,0.10277743602362199,0.10169065780839892,0.10244423
A14_ks_logreturns,6,0.15153635580708658,0.15082636154855633,0.15113394028871385,0.15126978756561676,0.15055979330708658,0.15106525
A14_ks_logreturns,7,0.19912135006561676,0.19927257627952755,0.19929820784120728,0.19883940288713903,0.19900600803805774,0.19910751
A15_skewness_error,0,0.3276064924227024,0.20400119705603512,0.3074097290639065,0.2327255070286068,0.2508525140713807,0.26451909
A15_skewness_error,1,0.2132532187475444,0.1860651427345958,0.200814933952544,0.19869847989325665,0.12526258738225712,0.18481887
A15_skewness_error,2,0.27383589678128123,0.28733471933539395,0.2654606338482738,0.25867354493237804,0.2796530941103413,0.27299158
A15_skewness_error,3,0.0654114657795655,0.17746608230216765,0.1191287285095133,0.13174623705845545,0.1698998065135196,0.13273046
A15_skewness_error,4,0.07762672744906729,0.021134442277401883,0.12139995892626422,0.09926126364687284,0.10460590729208276,0.08480566
A15_skewness_error,5,0.8169035504558778,0.8007775600049798,0.826295636671164,0.9893827189420268,0.8922141087538997,0.86511471
A15_skewness_error,6,0.12946770083213652,0.09583110390014851,0.14693791977742374,0.0772707419965728,0.17215153394060745,0.1243318
A15_skewness_error,7,0.08075105939121409,0.027973918192414675,0.11967567277785093,0.00813646813591231,0.0218028649507122,0.051668
A16_qq_rmse,0,0.0005352155670935662,0.0005329030446753131,0.0005372281220903225,0.0005275820738630496,0.0005350298686490076,0.00053359
A16_qq_rmse,1,0.0004069146604196244,0.0004102597721053428,0.00040844653956047684,0.00039167155095340845,0.00041116967001387226,0.00040569
