step,loss_total,simple,proto,aux
0,1.4177087545394897,1.0011886954307556,23.951662063598633,17.700342893600464
1,1.4067131131887436,0.9961045533418655,23.93458366394043,17.126275777816772
2,1.3955517411231995,0.9904417842626572,23.91728401184082,16.59371018409729
3,1.3896219581365585,0.989559568464756,23.89977264404297,16.106464385986328
4,1.370764046907425,0.9754185900092125,23.882080078125,15.652467250823975
5,1.3658454567193985,0.9751388356089592,23.86419677734375,15.206464886665344
6,1.357174351811409,0.9707737267017365,23.846134185791016,14.793923616409302
7,1.342648908495903,0.9601771086454391,23.82789421081543,14.419285535812378
8,1.341512143611908,0.9623092636466026,23.809471130371094,14.110818147659302
9,1.3337472230196,0.9577124044299126,23.79090690612793,13.812575817108154
10,1.3199323117733002,0.9467722773551941,23.772212982177734,13.54378867149353
11,1.3133508414030075,0.9426860511302948,23.75341796875,13.31305992603302
12,1.3034540563821793,0.9348055273294449,23.734529495239258,13.130321145057678
13,1.2955720126628876,0.9285915940999985,23.715566635131836,12.982478380203247
14,1.2874307036399841,0.9216663092374802,23.69655990600586,12.879877209663391
15,1.2809420973062515,0.9158734828233719,23.677541732788086,12.829319953918457
16,1.2702355831861496,0.9053380712866783,23.65852165222168,12.831223726272583
17,1.2608560621738434,0.8956545367836952,23.639543533325195,12.880605936050415
18,1.249489352107048,0.8838106393814087,23.620630264282227,12.947240948677063
19,1.2377512753009796,0.871538557112217,23.601842880249023,13.019430875778198
20,1.2264273911714554,0.8598785474896431,23.583227157592773,13.071661829948425
21,1.2100911289453506,0.843215823173523,23.5648136138916,13.122717261314392
22,1.1904458850622177,0.8234779462218285,23.54665756225586,13.15013599395752
23,1.1631128191947937,0.7961581498384476,23.52880096435547,13.166666984558105
24,1.1347171515226364,0.767927773296833,23.51129150390625,13.167646408081055
25,1.1075243204832077,0.7409068942070007,23.494173049926758,13.167572259902954
26,1.0717416107654572,0.7054214924573898,23.47750473022461,13.154504895210266
27,1.0218882262706757,0.6558181494474411,23.461313247680664,13.14569628238678
28,0.9782013967633247,0.6125211790204048,23.44561767578125,13.12240469455719
29,0.9261110126972198,0.5608214139938354,23.430419921875,13.098541498184204
30,0.8785855248570442,0.5138474255800247,23.41571044921875,13.058101415634155
