metric,scope,mean,std,seed_3
A6_path_mmd2,native,0.00104893,0.0,0.001048932537729419
A7_terminal_mmd2,native,0.00230592,0.0,0.0023059249531105497
A8_increment_mmd2,native,1.215e-05,0.0,1.214928819637251e-05
A9_volatility_mmd,native,0.01046763,0.0,0.01046762971863413
A10_terminal_swd,native,0.10127906,0.0,0.10127906462153982
A11_path_swd,native,0.0636535,0.0,0.06365349914258193
A20_cov_error,native,0.94031448,0.0,0.940314481518292
A25_mean_rmse,native,0.04844407,0.0,0.04844407273068291
A18_disc_score_gru,native,0.004068,0.0,0.004068
A18_disc_score_mlp,native,0.002441,0.0,0.002441
A1_kurtosis_error,per-asset-mean,38.15377121,0.0,38.153771210602756
A2_abs_r_q95_error,per-asset-mean,0.00012263,0.0,0.00012263399554532373
A3_abs_r_q99_error,per-asset-mean,0.00033545,0.0,0.0003354534215296471
A4_tail_qq_error,per-asset-mean,0.0001404,0.0,0.00014039610504614847
A5_hill_tail_index_error,per-asset-mean,34.74942423,0.0,34.74942423236341
A12_rv_law_loss,per-asset-mean,0.00489785,0.0,0.0048978485419702384
A13_mean_path_rmse,per-asset-mean,0.01068494,0.0,0.01068494233900815
A14_ks_logreturns,per-asset-mean,0.08553284,0.0,0.08553284171998032
A15_skewness_error,per-asset-mean,0.23340873,0.0,0.23340872784391883
A16_qq_rmse,per-asset-mean,0.00010803,0.0,0.00010802997023409838
A17_terminal_ks,per-asset-mean,0.04079183,0.0,0.04079182942708334
A21_acf_abs,per-asset-mean,0.0317617,0.0,0.03176169837984831
A22_acf_sq,per-asset-mean,0.03049932,0.0,0.03049931975327427
A23_acf_lag1_abs_error,per-asset-mean,0.03775651,0.0,0.03775651094157789
A24_acf_lag1_sq_error,per-asset-mean,0.03202517,0.0,0.03202516568016395
A26_std_error,per-asset-mean,0.00638418,0.0,0.006384177269645377
A27_logreturn_std_error,per-asset-mean,6.378e-05,0.0,6.37764071792553e-05
A28_kurtosis_ratio,per-asset-mean,13.93378434,0.0,13.933784344427103
A29_sigma_mean_error,per-asset-mean,0.00120128,0.0,0.0012012779296263552
