metric,asset,seed_3,mean
A12_rv_law_loss,0,0.002753851535066729,0.00275385
A12_rv_law_loss,1,0.00512242572027845,0.00512243
A12_rv_law_loss,2,0.003521333345346824,0.00352133
A12_rv_law_loss,3,0.011198799088974521,0.0111988
A12_rv_law_loss,4,0.0037524069171617582,0.00375241
A12_rv_law_loss,5,0.004504114339495639,0.00450411
A12_rv_law_loss,6,0.0036299218421452705,0.00362992
A12_rv_law_loss,7,0.004699935547292714,0.00469994
A13_mean_path_rmse,0,0.005595293305376613,0.00559529
A13_mean_path_rmse,1,0.010090050800645184,0.01009005
A13_mean_path_rmse,2,0.0041942171619085335,0.00419422
A13_mean_path_rmse,3,0.009131464674360356,0.00913146
A13_mean_path_rmse,4,0.004746823419241251,0.00474682
A13_mean_path_rmse,5,0.016787893486141157,0.01678789
A13_mean_path_rmse,6,0.012542596085674339,0.0125426
A13_mean_path_rmse,7,0.02239119977871777,0.0223912
A14_ks_logreturns,0,0.09439719693241469,0.0943972
A14_ks_logreturns,1,0.04029409653871391,0.0402941
A14_ks_logreturns,2,0.09217878526902887,0.09217879
A14_ks_logreturns,3,0.07039067626312334,0.07039068
A14_ks_logreturns,4,0.05748902969160108,0.05748903
A14_ks_logreturns,5,0.04734918389107612,0.04734918
A14_ks_logreturns,6,0.10205334440616798,0.10205334
A14_ks_logreturns,7,0.18011042076771655,0.18011042
A15_skewness_error,0,0.0878154925017625,0.08781549
A15_skewness_error,1,0.07665031057550621,0.07665031
A15_skewness_error,2,0.5516858207301952,0.55168582
A15_skewness_error,3,0.12938824460486903,0.12938824
A15_skewness_error,4,0.002270644994691844,0.00227064
A15_skewness_error,5,0.5705067163260988,0.57050672
A15_skewness_error,6,0.2709994536243771,0.27099945
A15_skewness_error,7,0.17795313939385002,0.17795314
A16_qq_rmse,0,9.481903647998009e-05,9.482e-05
A16_qq_rmse,1,8.911582566842065e-05,8.912e-05
A16_qq_rmse,2,0.00010935952353310337,0.00010936
A16_qq_rmse,3,0.0002099066215984498,0.00020991
A16_qq_rmse,4,7.750295904793955e-05,7.75e-05
A16_qq_rmse,5,9.414497796282452e-05,9.414e-05
A16_qq_rmse,6,5.468682316881373e-05,5.469e-05
A16_qq_rmse,7,0.00013470399441325518,0.0001347
