epoch,total_loss,kld_loss,nll_loss,mse_loss,lr
0,17.181123323738575,0.41696655086707324,16.764156840741634,0.3629560734843835,0.001
1,2.2681386517360806,0.4400146664120257,1.828123974148184,0.06423539260867983,0.001
2,1.117634478956461,0.32352929608896375,0.7941051755624358,0.043555015086894855,0.001
3,0.1574532660888508,0.26761726406402886,-0.11016399905201979,0.025469630054431036,0.001
4,-0.5247365614632145,0.26329172402620316,-0.7880282830446959,0.011912343543372117,0.001
5,-0.3147022610355634,0.27171099674887955,-0.5864132537972182,0.01594464433583198,0.001
6,-0.8141510728746653,0.24907136824913323,-1.0632224399596453,0.0064084599071065895,0.001
7,-0.8529490395449102,0.24865801073610783,-1.1016070554032922,0.005640767678414704,0.001
8,-0.8665743637830019,0.24382370011880994,-1.1103980611078441,0.005464947244036011,0.001
9,-0.9156300239264965,0.24287499440833926,-1.158505016937852,0.004502808278630255,0.001
10,-0.9117488907650113,0.24052358139306307,-1.1522724740207195,0.0046274591877590865,0.001
11,-0.8698834329843521,0.23770163906738162,-1.1075850613415241,0.005521207254787441,0.001
12,-0.987038504332304,0.23735750513151288,-1.2243960108608007,0.0031849883525865152,0.001
13,-0.6669629334937781,0.23511573858559132,-0.9020786803448573,0.009631335709855193,0.001
14,-0.9918963145464659,0.2334842279087752,-1.2253805473446846,0.0031652975594624877,0.001
15,-0.9832767751067877,0.23323891032487154,-1.2165157021954656,0.003342594649438979,0.001
16,-0.9620345933362842,0.2335516770835966,-1.1955862762406468,0.003761183183087269,0.001
17,-1.0004773242399096,0.23103805538266897,-1.2315153814852238,0.0030426008052018005,0.001
18,-0.9907234096899629,0.23156626801937819,-1.2222896739840508,0.003227114924811758,0.001
19,-0.9829671029001474,0.23148527275770903,-1.2144523616880178,0.0033838610688690096,0.001
20,-0.9623412759974599,0.23116952879354358,-1.193510808981955,0.0038026924230507575,0.001
21,-1.013312659226358,0.228722610976547,-1.2420352641493082,0.0028322032558207866,0.001
22,-0.9407702921889722,0.23340016650035977,-1.17417046520859,0.004189499577478273,0.001
23,-1.018239164724946,0.22873860108666122,-1.2469777520745993,0.0027333532852935605,0.001
24,-1.031735866330564,0.22771971067413688,-1.2594555765390396,0.0024837969285727013,0.001
25,-0.9479359998367727,0.22833622130565345,-1.1762722292914987,0.004147464154812042,0.001
26,-1.0272879535332322,0.22628488042391837,-1.2535728197544813,0.0026014520080934744,0.001
27,-1.0050099529325962,0.23109913361258805,-1.2361090797930956,0.002950726859126007,0.001
28,-0.9927857983857393,0.22696231841109693,-1.219748118892312,0.0032779462308099028,0.001
29,-0.990451741963625,0.22606197581626475,-1.216513724066317,0.0033426343125029234,0.001
30,-1.017108241096139,0.22757911519147456,-1.2446873374283314,0.0027791613865701947,0.001
31,-1.0172357140108943,0.2282060389406979,-1.2454417562112212,0.002764073396974709,0.001
32,-0.9519431525841355,0.22607846721075475,-1.1780216116458178,0.004112476268346654,0.001
33,-1.0405398663133383,0.2259319827426225,-1.2664718683809042,0.0023434711547452025,0.001
34,-1.0357005065307021,0.2256422860082239,-1.261342789977789,0.0024460526256007142,0.001
35,-0.9746252680197358,0.22592962277121842,-1.200554876588285,0.0036618109661503695,0.001
36,-0.9897559797391295,0.2258743462152779,-1.2156303217634559,0.0033603021620365325,0.001
37,-1.0356649039313197,0.22702990612015128,-1.2626948170363903,0.0024190122858271934,0.001
38,-1.0478799734264612,0.22808298282325268,-1.2759629525244236,0.002153649566025706,0.001
39,-0.9956019781529903,0.22607218101620674,-1.221674165688455,0.0032394253503298387,0.001
40,-0.9955989345908165,0.22509476053528488,-1.2206936804577708,0.0032590348055236973,0.001
41,-1.0303880255669355,0.2242068024352193,-1.254594823345542,0.0025810120132518932,0.001
42,-1.0194811960682273,0.22455295105464756,-1.244034158065915,0.0027922255103476346,0.001
43,-1.0420105904340744,0.22478348319418728,-1.2667941004037857,0.0023370266862912104,0.001
44,-1.043693108484149,0.2246246689464897,-1.268317773938179,0.0023065529567247722,0.001
45,-1.0256394650787115,0.22573964926414192,-1.2513791043311357,0.002645326341735199,0.001
46,-0.9494504379108548,0.22436548583209515,-1.1738159130327404,0.004196590343781281,0.001
47,-0.9984904425218701,0.22479652636684477,-1.2232869565486908,0.0032071692367026117,0.001
48,-1.045605449937284,0.22792548360303044,-1.273530937731266,0.0022022897173883393,0.001
49,-1.0534805953502655,0.2244605894666165,-1.2779411785304546,0.002114084803906735,0.001
50,-1.0049256766214967,0.22487177746370435,-1.2297974582761526,0.003076959483223618,0.001
51,-1.055518675595522,0.2238846947439015,-1.2794033661484718,0.0020848409385507694,0.001
52,-1.041282762773335,0.22617644048295915,-1.2674592025578022,0.002323724485904677,0.001
53,-1.0076234536245465,0.22386216465383768,-1.231485616415739,0.0030431963241426274,0.001
54,-1.0275184186175466,0.22509776544757187,-1.252616185694933,0.002620584811666049,0.001
55,-1.028945998288691,0.2233334018383175,-1.2522793971002102,0.002627320487590623,0.001
56,-1.0403383672237396,0.22416843613609672,-1.2645068150013685,0.0023827724398870487,0.001
57,-1.0570274461060762,0.22367414669133723,-1.2807015907019377,0.0020588764255080605,0.001
58,-1.0239284401759505,0.2241076456848532,-1.2480360828340054,0.002712186731514521,0.001
59,-0.996310269460082,0.22349653206765652,-1.2198067996650934,0.0032767723678261973,0.001
60,-1.0504930121824145,0.22355905687436461,-1.2740520741790533,0.0021918671009188984,0.001
61,-1.0055683376267552,0.2256521238014102,-1.2312204632908106,0.003048499185752007,0.001
62,-1.037485252134502,0.22402061522006989,-1.261505864560604,0.0024427910830127075,0.001
63,-1.0222064852714539,0.2241210185457021,-1.2463274989277124,0.0027463583792268764,0.001
64,-1.0476175472140312,0.2228322906885296,-1.270449835807085,0.0022639117214566795,0.001
65,-1.0415687756612897,0.2238754346035421,-1.2654442079365253,0.002364024217968108,0.001
66,-1.0639598779380322,0.2236204172950238,-1.2875803001224995,0.0019213025461795041,0.001
67,-1.0351740401238203,0.2238690759986639,-1.2590431198477745,0.002492046272891457,0.001
68,-1.0243413709104061,0.2236623961944133,-1.2480037808418274,0.0027128329056722578,0.001
69,-1.033454910852015,0.22375005716457963,-1.2572049610316753,0.0025288090073445346,0.001
70,-1.0624374113976955,0.22333611198700964,-1.2857735268771648,0.0019574379603000125,0.001
71,-1.0421197041869164,0.22751414077356458,-1.2696338444948196,0.0022802317071182188,0.001
72,-1.0563998594880104,0.2230728818103671,-1.2794727142900229,0.002083453964587534,0.001
73,-0.9982002759352326,0.22281367308460176,-1.2210139501839876,0.0032526296399737475,0.001
74,-0.8323161350563169,0.22409834968857467,-1.0564144854433835,0.006544619067426538,0.001
75,-1.0588540565222502,0.22330554411746562,-1.282159611582756,0.002029716364631895,0.001
76,-1.065704945474863,0.22310254676267505,-1.2888074927031994,0.001896758571092505,0.001
77,-1.0579105857759714,0.22552412818185985,-1.2834347151219845,0.0020042143569298787,0.001
78,-1.058096431195736,0.22447722917422652,-1.2825736701488495,0.002021435035203467,0.001
79,-1.059459064155817,0.2227940745651722,-1.2822531331330538,0.0020278455849620514,0.001
80,-1.0563601907342672,0.2224376597441733,-1.2787978556007147,0.0020969514389435062,0.001
81,-1.065086467191577,0.22241474990732968,-1.2875012289732695,0.0019228840101277456,0.001
82,-1.0617390982806683,0.22240652493201196,-1.2841456327587366,0.0019899959061149275,0.001
83,-1.031889927573502,0.22324802144430578,-1.2551379464566708,0.002570149434177438,0.001
84,-1.0322782238945365,0.22298560151830316,-1.2552638333290815,0.0025676319492049515,0.001
85,-1.0398312117904425,0.2229947226587683,-1.2628259155899286,0.002416390163489268,0.001
86,-1.0621913895010948,0.22232376202009618,-1.284515155479312,0.001982605241209967,0.001
87,-1.0399738736450672,0.22283563553355634,-1.2628095094114542,0.002416718372842297,0.001
88,-1.0360232386738062,0.22277380526065826,-1.2587970346212387,0.0024969676342152525,0.001
89,-1.0612595044076443,0.22270517144352198,-1.28396469168365,0.001993614636376151,0.001
90,-1.062493046745658,0.22226773644797504,-1.2847607787698507,0.001977692945729359,0.001
91,-1.0568357231095433,0.22151668020524085,-1.2783523984253407,0.002105860367009882,0.001
92,-1.0605945624411106,0.22245789784938097,-1.2830524556338787,0.002011858987316373,0.001
93,-1.0246627423912287,0.22316359356045723,-1.247826337814331,0.002716381624850328,0.001
94,-1.0491689294576645,0.22185489116236567,-1.2710238229483366,0.0022524318846990354,0.001
95,-1.0483039086684585,0.22259290097281337,-1.2708968166261911,0.0022549721634277375,0.001
96,-1.0559018459171057,0.22150767128914595,-1.2774095088243484,0.002124718137565651,0.001
97,-1.0515588195994496,0.22335510468110442,-1.2749139368534088,0.0021746298862126423,0.0005
98,-1.0680570639669895,0.22073224489577115,-1.2887892965227365,0.0018971223962580552,0.0005
99,-1.0737608671188354,0.22074227617122233,-1.294503141194582,0.0017828457475843607,0.0005
