metric,asset,seed_0,seed_1,seed_2,mean
A12_rv_law_loss,0,0.0019183305151608443,0.0032422151487471722,0.0013850876050215393,0.00218188
A12_rv_law_loss,1,0.0028733696738200204,0.0037340359052787583,0.002650149909687424,0.00308585
A12_rv_law_loss,2,0.0031777829368711766,0.007567481482863235,0.0036440701869706604,0.00479644
A12_rv_law_loss,3,0.01636102709301076,0.024765741797739674,0.013675885091058538,0.01826755
A12_rv_law_loss,4,0.012450136411318816,0.008185626754162156,0.0022881043458982757,0.00764129
A12_rv_law_loss,5,0.017902920562416224,0.014747437356292503,0.004909755210921324,0.01252004
A12_rv_law_loss,6,0.004814299325756548,0.0041782444729275905,0.004474001668550375,0.00448885
A12_rv_law_loss,7,0.0037107956474251667,0.007971627290175542,0.005283137109357738,0.00565519
A13_mean_path_rmse,0,0.008199365409463488,0.004453228947844643,0.010867155296186669,0.00783992
A13_mean_path_rmse,1,0.009247489778268536,0.004883448182522548,0.010614348958915654,0.00824843
A13_mean_path_rmse,2,0.005086171160268702,0.004377642872480913,0.004800362915924199,0.00475473
A13_mean_path_rmse,3,0.01735679103262086,0.008023122686478245,0.009255144573942378,0.01154502
A13_mean_path_rmse,4,0.018229372178581258,0.006395848818664737,0.009987894180231214,0.01153771
A13_mean_path_rmse,5,0.026567165145516547,0.006937778253115859,0.01312330030337188,0.01554275
A13_mean_path_rmse,6,0.018341889888017222,0.005794910637432281,0.013596945088386932,0.01257792
A13_mean_path_rmse,7,0.013424033313197345,0.00742788605204996,0.016188955061151696,0.01234696
A14_ks_logreturns,0,0.044800125082021025,0.043009760498687655,0.040852864583333315,0.04288758
A14_ks_logreturns,1,0.02835491510826771,0.03176006807742782,0.03497426591207342,0.03169642
A14_ks_logreturns,2,0.12294306717519687,0.13149503772965876,0.12029276369750663,0.12491029
A14_ks_logreturns,3,0.08695122826443571,0.08923884514435698,0.07555928067585299,0.08391645
A14_ks_logreturns,4,0.06802872785433073,0.07268982734580054,0.0742418184055118,0.07165346
A14_ks_logreturns,5,0.023774555036089273,0.026453053231627277,0.030651503034776928,0.0269597
A14_ks_logreturns,6,0.039828883694225714,0.05010713992782151,0.0590935654527559,0.04967653
A14_ks_logreturns,7,0.08619125246062992,0.09361030798884518,0.09385380782480318,0.09121846
A15_skewness_error,0,1.0634544784020548,0.0958325470129391,1.0975894115651699,0.75229215
A15_skewness_error,1,1.3206516546513003,1.3097161842246094,0.24727268059193863,0.95921351
A15_skewness_error,2,0.08235764652638927,0.6949447761721393,0.36900170417674394,0.38210138
A15_skewness_error,3,2.0587821336435006,1.0405936985374429,9.671882706210905,4.25708618
A15_skewness_error,4,2.8006288644076274,1.7428165634738886,3.484231376100576,2.67589227
A15_skewness_error,5,0.6107650242176736,0.2213947162368629,0.35563979420561087,0.39593318
A15_skewness_error,6,0.6454560553270455,0.4705589160979855,0.6484911605894035,0.58816871
A15_skewness_error,7,1.217325205344068,0.7291685884473507,0.7875145135291386,0.9113361
A16_qq_rmse,0,4.329566034983601e-05,6.547444147445282e-05,3.234160847874641e-05,4.704e-05
A16_qq_rmse,1,6.139223862731474e-05,3.519844617148844e-05,6.257865130384844e-05,5.306e-05
A16_qq_rmse,2,0.00010821501727209287,0.0001584023437666702,0.00011502561100613594,0.00012721
A16_qq_rmse,3,0.00022793806295338424,0.0002818775479385957,0.00018224624946849773,0.00023069
A16_qq_rmse,4,0.00013331015779655196,8.924400176030841e-05,3.2620305015574094e-05,8.506e-05
A16_qq_rmse,5,0.00019129516049659626,0.0001663748028845226,5.147968210915126e-05,0.00013638
A16_qq_rmse,6,4.937085826315849e-05,5.409380284282326e-05,8.738658080849451e-05,6.362e-05
A16_qq_rmse,7,0.00011639363046820863,0.00012374248867177848,0.0001330292796561346,0.00012439
A17_terminal_ks,0,0.01741536458333326,0.01936848958333337,0.01871744791666663,0.01850043
A17_terminal_ks,1,0.040690104166666685,0.0361328125,0.04052734375,0.03911675
A17_terminal_ks,2,0.026041666666666685,0.03043619791666663,0.02783203125,0.0281033
A17_terminal_ks,3,0.0615234375,0.045247395833333315,0.04345703125,0.05007595
A17_terminal_ks,4,0.02669270833333326,0.0283203125,0.02945963541666663,0.02815755
A17_terminal_ks,5,0.022786458333333315,0.01725260416666667,0.03466796875,0.02490234
A17_terminal_ks,6,0.029459635416666657,0.04280598958333334,0.0458984375,0.03938802
A17_terminal_ks,7,0.0263671875,0.02815755208333337,0.02864583333333337,0.02772352
A19_pred_score_gru,0,0.005489,0.005541,0.005545,0.005525
A19_pred_score_gru,1,0.004557,0.004447,0.004494,0.00449933
A19_pred_score_gru,2,0.00311,0.003012,0.003069,0.00306367
A19_pred_score_gru,3,0.006876,0.006867,0.007022,0.00692167
A19_pred_score_gru,4,0.001955,0.001706,0.001888,0.00184967
A19_pred_score_gru,5,0.001945,0.00186,0.001882,0.00189567
A19_pred_score_gru,6,0.002444,0.002359,0.002546,0.00244967
A19_pred_score_gru,7,0.002795,0.002985,0.002889,0.00288967
A19_pred_score_mlp,0,0.005688,0.005818,0.005625,0.00571033
A19_pred_score_mlp,1,0.004899,0.004742,0.004681,0.004774
A19_pred_score_mlp,2,0.003644,0.003058,0.003155,0.00328567
A19_pred_score_mlp,3,0.006803,0.006817,0.006834,0.006818
A19_pred_score_mlp,4,0.001834,0.002216,0.00182,0.00195667
A19_pred_score_mlp,5,0.002049,0.00216,0.001878,0.002029
A19_pred_score_mlp,6,0.002481,0.002438,0.002774,0.00256433
A19_pred_score_mlp,7,0.002918,0.003337,0.002957,0.00307067
A1_kurtosis_error,0,98.48164296222737,59.41137338029285,65.46997063298338,74.45432899
A1_kurtosis_error,1,220.90420420027124,251.90426003837985,20.994833838018927,164.60109936
A1_kurtosis_error,2,22.41360725798272,102.59791493411004,15.230105142470507,46.74720911
A1_kurtosis_error,3,496.182820932463,86.19147433865987,3908.311774036679,1496.89535644
A1_kurtosis_error,4,323.4743203324885,85.81386147623047,205.1573017560191,204.81516119
A1_kurtosis_error,5,69.73010395154346,38.12162237923967,26.59398492622968,44.81523709
