metric,scope,mean,std,seed_0,seed_1,seed_2
A6_path_mmd2,native,0.00108002,0.0003163,0.0014900003578002252,0.0010299714034456287,0.0007200823906954312
A7_terminal_mmd2,native,0.00199049,0.00065332,0.002774851353050778,0.0020211756555728044,0.0011754330020457004
A8_increment_mmd2,native,1.714e-05,1.84e-06,1.833920776173059e-05,1.8551257536136845e-05,1.4541540106272066e-05
A9_volatility_mmd,native,0.00309156,0.00088279,0.004068749948760608,0.0032758712888572017,0.0019300570324476407
A10_terminal_swd,native,0.09816277,0.02154445,0.1072509109197835,0.11880400585090146,0.06843340202529508
A11_path_swd,native,0.06424788,0.00862695,0.07140222786863223,0.06922919220494578,0.05211220854138311
A20_cov_error,native,1.15677762,0.44375141,1.0163391083697313,1.7566956004088805,0.6972981385969795
A25_mean_rmse,native,0.04728295,0.02360751,0.074064884619141,0.016628801930565488,0.051155176662187794
A18_disc_score_gru,native,0.010442,0.00484031,0.01668,0.009764,0.004882
A18_disc_score_mlp,native,0.00379733,0.00315721,0.003662,0.0,0.00773
A1_kurtosis_error,per-asset-mean,259.57152985,197.2197749,162.38877281913727,81.75598880923815,534.5698279179827
A2_abs_r_q95_error,per-asset-mean,0.00018495,4.148e-05,0.00020182766441558805,0.00022516474335532166,0.00012785606670919197
A3_abs_r_q99_error,per-asset-mean,0.00045346,0.0001442,0.00048763426677992977,0.0006104911742401565,0.0002622571018402721
A4_tail_qq_error,per-asset-mean,0.00019411,3.865e-05,0.000211795868622566,0.00023006078335226451,0.0001404803032260441
A5_hill_tail_index_error,per-asset-mean,39.98511624,9.57236378,42.00912475048483,50.56503868504726,27.381185275047926
A12_rv_law_loss,per-asset-mean,0.00732964,0.00188513,0.007901082770722444,0.009299051276023328,0.004788773890933235
A13_mean_path_rmse,per-asset-mean,0.01054918,0.00349648,0.014556534738241745,0.006036733306323648,0.011054263297263828
A14_ks_logreturns,per-asset-mean,0.06536486,0.00200021,0.06260909433439962,0.06729550499302822,0.06618998369832677
A15_skewness_error,per-asset-mean,1.36525293,0.53774175,1.2249276328149574,0.7881282487754023,2.082702918371186
A16_qq_rmse,per-asset-mean,0.00010843,1.525e-05,0.0001164013482783929,0.00012180098443882998,8.708849598082288e-05
A17_terminal_ks,per-asset-mean,0.03199599,0.0011818,0.031372070312499986,0.030965169270833336,0.03365071614583333
A21_acf_abs,per-asset-mean,0.00953802,6.216e-05,0.009625283880385596,0.009485162275471491,0.00950360379525406
A22_acf_sq,per-asset-mean,0.00646515,7.404e-05,0.006552940551609317,0.006371829895164737,0.00647067883573078
A23_acf_lag1_abs_error,per-asset-mean,0.01229739,0.00016287,0.012113163022269835,0.012509226497860453,0.012269765940639884
A24_acf_lag1_sq_error,per-asset-mean,0.00831314,0.00041637,0.008093642057421392,0.00889608647626117,0.00794969581879449
A26_std_error,per-asset-mean,0.01283908,0.00261228,0.014098731113293544,0.015216900744665873,0.009201598282712803
A27_logreturn_std_error,per-asset-mean,0.00012838,2.712e-05,0.00014022497048490134,0.0001540419793746088,9.086601945087591e-05
A28_kurtosis_ratio,per-asset-mean,0.41561758,0.04773399,0.37058185279064726,0.3945850259455463,0.48168585392989965
