step,loss
0,0.9960838556289673
1,0.9949302077293396
2,0.9889320135116577
3,0.9539698362350464
4,0.8752374649047852
5,0.7710340023040771
6,0.6376200914382935
7,0.5600308179855347
8,0.502047061920166
9,0.46233615279197693
10,0.5797594785690308
11,0.8516838550567627
12,0.5540417432785034
13,0.4561184048652649
14,0.3682003915309906
15,0.49732354283332825
16,0.5218220949172974
17,0.4312625527381897
18,0.31998854875564575
19,0.48040080070495605
20,0.2259516417980194
21,0.23156753182411194
22,0.4584680199623108
23,0.2501642405986786
24,0.17283180356025696
25,0.37957334518432617
26,0.3669358491897583
27,0.3640803098678589
28,0.34122800827026367
29,0.20025506615638733
30,0.36014196276664734
31,0.20522573590278625
32,0.3734895586967468
33,0.26409852504730225
34,0.38222211599349976
35,0.3527472913265228
36,0.27825039625167847
37,0.593554675579071
38,0.41430696845054626
39,0.3531433343887329
40,0.3527209758758545
41,0.34146177768707275
42,0.4027741849422455
43,0.2835226356983185
44,0.37356334924697876
45,0.23948238790035248
46,0.07856085896492004
47,0.21987402439117432
48,0.3917155861854553
49,0.29293814301490784
50,0.3855389952659607
51,0.26065462827682495
52,0.3727061152458191
53,0.3092467188835144
54,0.25931859016418457
55,0.22404514253139496
56,0.3764965534210205
57,0.2564539909362793
58,0.27306556701660156
59,0.21570539474487305
60,0.4187052845954895
61,0.2188073694705963
62,0.3842836320400238
63,0.1915440410375595
64,0.26773542165756226
65,0.3829590678215027
66,0.2652091979980469
67,0.16754546761512756
68,0.12068119645118713
69,0.2995573878288269
70,0.2043255716562271
71,0.417854905128479
72,0.1396980583667755
73,0.2571680545806885
74,0.3481278419494629
75,0.2770525813102722
76,0.23747891187667847
77,0.34431731700897217
78,0.3162403702735901
79,0.11937708407640457
80,0.23199203610420227
81,0.5208027958869934
82,0.30582934617996216
83,0.12424255162477493
84,0.20853111147880554
85,0.16266252100467682
86,0.41861623525619507
87,0.2664201855659485
88,0.3129809498786926
89,0.29293984174728394
90,0.2967016100883484
91,0.38456860184669495
92,0.27494966983795166
93,0.3869156241416931
94,0.4013023376464844
