step,mse
1,108.89867401123047
2,99.31452941894531
3,187.4011688232422
4,118.9443130493164
5,105.00054931640625
6,92.06328582763672
7,115.28242492675781
8,114.7436752319336
9,102.12724304199219
10,89.81782531738281
11,105.08413696289062
12,87.79772186279297
13,94.62037658691406
14,91.47657775878906
15,89.95511627197266
16,93.07393646240234
17,94.14695739746094
18,83.0754165649414
19,109.51265716552734
20,106.98587036132812
21,90.33792114257812
22,86.70629119873047
23,86.26654052734375
24,83.22187042236328
25,103.34175872802734
26,82.41425323486328
27,87.64318084716797
28,98.23101043701172
29,85.10527801513672
30,93.08058166503906
31,86.94722747802734
32,97.795654296875
33,102.2409896850586
34,91.30134582519531
35,82.90320587158203
36,84.63391876220703
37,100.59738159179688
38,85.62117004394531
39,81.92938995361328
40,88.95354461669922
41,90.35807037353516
42,92.37319946289062
43,93.65087890625
44,80.02839660644531
45,97.76158905029297
46,91.8589096069336
47,88.103271484375
48,91.80927276611328
49,88.8155288696289
50,102.0302963256836
51,84.83587646484375
52,86.47476196289062
53,80.01153564453125
54,81.16787719726562
55,91.06929016113281
56,90.22257232666016
57,79.940185546875
58,94.24083709716797
59,85.83477020263672
60,90.49433898925781
61,88.72626495361328
62,92.84051513671875
63,90.39456176757812
64,88.68843078613281
65,87.73397827148438
66,77.09432220458984
67,88.04012298583984
68,82.45443725585938
69,85.01688385009766
70,83.01905822753906
71,85.78984832763672
72,89.5931167602539
73,86.16108703613281
74,91.9652328491211
75,77.77320861816406
76,86.14908599853516
77,84.52311706542969
78,90.74259948730469
79,90.0643539428711
80,90.6397476196289
81,83.88433837890625
82,83.92437744140625
83,81.6658706665039
84,86.99481201171875
85,78.72637939453125
86,95.38275146484375
87,81.2356185913086
88,81.988525390625
89,87.80400085449219
90,91.18977355957031
91,81.93741607666016
92,79.35270690917969
93,83.77714538574219
94,82.69392395019531
95,85.17557525634766
96,85.9755630493164
97,76.39420318603516
98,97.9038314819336
99,84.4345474243164
100,82.69685363769531
101,87.57656860351562
102,80.02107238769531
103,83.11591339111328
104,93.3076171875
105,82.03377532958984
106,81.84994506835938
107,84.87364959716797
108,79.18619537353516
109,80.7507095336914
110,81.68257904052734
111,84.43714141845703
112,91.96473693847656
113,80.05023956298828
114,78.39466857910156
115,82.49567413330078
116,82.61880493164062
117,82.81835174560547
118,77.51009368896484
119,76.70425415039062
120,73.25035095214844
121,69.34629821777344
122,79.48692321777344
123,82.93309783935547
124,88.92787170410156
125,80.62162017822266
126,84.43043518066406
127,77.26750946044922
128,77.86749267578125
129,75.8345718383789
130,76.7110366821289
131,69.2220458984375
132,66.23735809326172
133,79.95785522460938
134,77.96031188964844
135,81.64012145996094
136,87.78058624267578
137,74.96623992919922
138,74.24554443359375
139,80.02420043945312
140,78.46845245361328
141,75.9150161743164
142,77.04816436767578
143,66.89025115966797
144,81.71372985839844
145,76.70650482177734
146,70.55370330810547
147,73.51427459716797
148,73.07888793945312
149,75.19294738769531
150,70.08180236816406
151,66.90526580810547
152,73.1242904663086
153,74.44729614257812
154,80.50221252441406
155,71.76605224609375
156,73.37496948242188
157,64.76350402832031
158,74.30924987792969
159,79.5126724243164
160,67.20329284667969
161,69.28478240966797
162,58.285499572753906
163,77.0690689086914
164,79.1588363647461
165,79.41558837890625
166,68.80443572998047
167,73.0006332397461
168,67.44068145751953
169,73.42584228515625
170,64.17007446289062
171,67.55364990234375
172,65.51600646972656
173,68.19328308105469
174,76.03851318359375
175,73.26402282714844
176,58.38912582397461
177,86.13125610351562
178,68.04839324951172
179,77.9957275390625
180,75.01470947265625
181,68.83455657958984
182,70.86685943603516
183,66.52178955078125
184,66.17798614501953
185,67.47127532958984
186,65.80989074707031
187,61.90781021118164
188,66.4894027709961
189,70.9861831665039
190,67.15582275390625
191,76.9456787109375
192,67.17455291748047
193,64.28677368164062
194,69.12142944335938
195,68.56317901611328
196,65.50801849365234
197,59.0999755859375
198,66.23040771484375
199,63.81595993041992
200,63.54485321044922
201,67.79032135009766
202,69.83135223388672
203,60.191375732421875
204,57.8072509765625
205,66.18714904785156
206,63.42106628417969
207,65.71639251708984
208,58.05718231201172
209,66.56507110595703
210,59.4738655090332
211,67.08814239501953
212,60.31731033325195
213,59.26163864135742
214,66.78874206542969
215,61.399391174316406
216,57.66740417480469
217,64.66748046875
218,60.65348815917969
219,59.49467086791992
220,59.60763931274414
221,55.27338409423828
222,55.625221252441406
223,59.84455871582031
224,56.45911407470703
225,61.2122802734375
226,54.445953369140625
227,54.74052810668945
228,58.83409118652344
229,55.377532958984375
230,62.441226959228516
231,53.994022369384766
232,54.07156753540039
233,56.33881759643555
234,62.64821243286133
235,52.895668029785156
236,46.925655364990234
237,54.298824310302734
238,51.80257034301758
239,50.8835563659668
240,51.59317398071289
241,55.44892501831055
242,54.462371826171875
243,57.54671859741211
244,52.27532958984375
245,56.8700065612793
246,48.49453353881836
247,54.09700393676758
248,55.260009765625
249,45.183937072753906
250,50.89313507080078
251,52.133480072021484
252,52.75993728637695
253,54.80731201171875
254,51.17072296142578
255,2712.73681640625
256,56.277645111083984
257,83.99388885498047
258,91.78650665283203
259,84.55711364746094
260,134.47628784179688
261,91.91928100585938
262,106.15438842773438
263,109.1329574584961
264,98.27252197265625
265,104.7652587890625
266,108.39124298095703
267,130.13787841796875
268,95.91102600097656
269,106.70832061767578
270,88.1710205078125
271,92.756591796875
272,91.79951477050781
273,91.87443542480469
274,104.2740249633789
275,99.31290435791016
276,107.5586929321289
277,84.55424499511719
278,105.38839721679688
279,101.24478912353516
280,84.89871978759766
281,104.92460632324219
282,101.69920349121094
283,90.00382995605469
284,91.4450454711914
285,89.26853942871094
286,88.20238494873047
287,86.3000259399414
288,98.22344970703125
289,99.55059051513672
290,85.90557861328125
291,89.85879516601562
292,91.34388732910156
293,79.80155944824219
294,83.41443634033203
295,92.5022964477539
296,76.90084838867188
297,78.64334869384766
298,82.82124328613281
299,93.76699829101562
300,83.98501586914062
301,91.10057067871094
302,92.96098327636719
303,89.29412078857422
304,97.60552978515625
305,87.25621795654297
306,90.77417755126953
307,90.57662200927734
308,81.70244598388672
309,93.4452896118164
310,91.10904693603516
311,88.83531951904297
312,90.12718963623047
313,90.82984924316406
314,81.96340942382812
315,90.50670623779297
316,90.8411865234375
317,86.41156005859375
318,87.55856323242188
319,82.71080017089844
320,84.78438568115234
321,87.6866226196289
322,89.3759994506836
323,102.005126953125
324,94.6934585571289
325,81.09235382080078
326,86.16116333007812
327,96.23778533935547
328,78.55184173583984
329,95.0201644897461
330,83.20970916748047
331,81.43251037597656
332,86.88768005371094
333,82.74676513671875
334,90.50826263427734
335,84.91436004638672
336,77.41649627685547
337,87.15965270996094
338,86.26766204833984
339,91.76726531982422
340,83.6741714477539
341,94.78697204589844
342,78.04137420654297
343,91.9600830078125
344,94.4111099243164
345,87.0252914428711
346,92.37165069580078
347,77.45436096191406
348,85.15786743164062
349,91.12810516357422
350,79.81395721435547
351,83.28221893310547
352,96.67672729492188
353,81.48745727539062
354,98.20729064941406
355,76.61886596679688
356,84.83193969726562
357,87.72564697265625
358,91.92060089111328
359,98.64091491699219
360,83.4306411743164
361,92.70714569091797
362,88.635498046875
363,94.11347198486328
364,83.37435150146484
365,86.07817840576172
366,89.56017303466797
367,87.75019836425781
368,83.71761322021484
369,86.78710174560547
370,80.95878601074219
371,87.58273315429688
372,90.64453125
373,75.0787124633789
374,78.1473388671875
375,94.140869140625
376,87.08717346191406
377,91.98532104492188
378,103.03169250488281
379,91.52981567382812
380,86.68901824951172
381,85.583984375
382,82.54093933105469
383,88.74815368652344
384,94.8469467163086
385,78.33074188232422
386,81.83002471923828
387,75.37036895751953
388,92.29763793945312
389,91.46709442138672
390,84.82244873046875
391,80.1816635131836
392,84.3797607421875
393,71.56422424316406
394,80.07247161865234
395,99.81720733642578
396,86.46591186523438
397,90.41417694091797
398,87.21662902832031
399,102.27705383300781
400,89.04692840576172
401,86.79481506347656
402,89.20399475097656
403,91.34675598144531
404,84.2314682006836
405,90.92681121826172
406,77.16815185546875
407,92.67474365234375
408,89.04549407958984
409,78.76663208007812
410,81.0324478149414
411,90.03451538085938
412,93.72626495361328
413,80.14226531982422
414,80.0008544921875
415,82.99990844726562
416,84.41942596435547
417,87.46208190917969
418,85.81670379638672
419,96.5018081665039
420,79.91566467285156
421,83.0969009399414
422,92.53874206542969
423,96.21968078613281
424,84.24027252197266
425,88.05415344238281
426,80.67115783691406
427,80.53500366210938
428,93.15863037109375
429,91.57733154296875
430,71.2974853515625
431,77.65361785888672
432,84.27723693847656
433,84.83036804199219
434,88.95024108886719
435,85.6076431274414
436,86.63312530517578
437,80.40149688720703
438,87.17448425292969
439,82.98126220703125
440,87.10790252685547
441,83.16348266601562
442,81.29151916503906
443,89.29839324951172
444,87.22771453857422
445,83.32408142089844
446,88.95023345947266
447,83.0892105102539
448,85.78150177001953
449,76.4350814819336
450,79.03352355957031
451,96.35758972167969
452,93.82290649414062
453,88.24535369873047
454,78.00041961669922
455,81.502685546875
456,80.97622680664062
457,79.99969482421875
458,78.02005767822266
459,92.44355773925781
460,85.84952545166016
461,89.20874786376953
462,87.04151916503906
463,81.3174057006836
464,79.83554077148438
465,89.9825668334961
466,76.68650817871094
467,88.68167877197266
468,80.73043823242188
469,82.9413833618164
470,76.50785827636719
471,83.34705352783203
472,84.32730102539062
473,87.1221694946289
474,78.18350219726562
475,79.01235961914062
476,82.89579010009766
477,79.10604858398438
478,90.530029296875
479,79.8935775756836
480,81.93263244628906
481,87.43618774414062
482,78.9968032836914
483,81.24329376220703
484,83.05673217773438
485,153.51107788085938
486,87.16867065429688
487,79.41899871826172
488,89.01226806640625
489,84.27828979492188
490,80.86112976074219
491,96.04651641845703
492,77.65328216552734
493,85.42339324951172
494,91.14700317382812
495,96.18560028076172
496,82.4532241821289
497,77.09829711914062
498,82.63455200195312
499,83.9981689453125
500,86.70059204101562
501,77.01632690429688
502,74.31336975097656
503,91.41188049316406
504,82.07282257080078
505,84.57146453857422
506,79.93984985351562
507,86.54672241210938
508,79.4782943725586
509,83.92353820800781
510,81.8362045288086
511,80.17041015625
512,93.74446105957031
513,88.22553253173828
514,78.4687728881836
515,82.10541534423828
516,90.34107971191406
