metric,scope,mean,std,seed_0
B_roll_vol_hist_funct_pct,per-asset-mean,57.08724293,0.0,57.08724292655749
B_roll_vol_hist_der_pct,per-asset-mean,1912133.31002892,0.0,1912133.3100289162
B_roll_vol_hist_sec_der_pct,per-asset-mean,3507644.18393582,0.0,3507644.1839358197
B_roll_vol_hist_funct_nrmse,per-asset-mean,15.44912408,0.0,15.449124080973704
B_roll_vol_hist_der_nrmse,per-asset-mean,18.34865898,0.0,18.34865897531757
B_roll_vol_hist_sec_der_nrmse,per-asset-mean,23.04158378,0.0,23.04158378131679
B_roll_vol_hist_funct_cvar90,per-asset-mean,39.82753605,0.0,39.827536051932185
B_roll_vol_hist_funct_cvar95,per-asset-mean,46.59150515,0.0,46.59150515180097
B_tail_surv_funct,per-asset-mean,0.01732923,0.0,0.017329226493058982
B_tail_surv_der,per-asset-mean,0.00010649,0.0,0.00010649400233834883
B_tail_surv_sec_der,per-asset-mean,0.00017497,0.0,0.0001749718423114915
B_tail_surv_funct_pct,per-asset-mean,28.2869383,0.0,28.286938304798387
B_tail_surv_der_pct,per-asset-mean,57.19739678,0.0,57.19739678106913
B_tail_surv_sec_der_pct,per-asset-mean,77242.95348499,0.0,77242.9534849911
B_tail_surv_funct_nrmse,per-asset-mean,14.72283928,0.0,14.72283927538339
B_tail_surv_der_nrmse,per-asset-mean,82.8220957,0.0,82.82209570232634
B_tail_surv_sec_der_nrmse,per-asset-mean,144.36437003,0.0,144.3643700329195
B_tail_surv_funct_cvar90,per-asset-mean,22.13171691,0.0,22.131716912011008
B_tail_surv_funct_cvar95,per-asset-mean,22.20117263,0.0,22.2011726336115
grid_tvd,per-asset-mean,6.14878337,0.0,6.148783365885417
A19_pred_score_gru,per-asset-mean,0.00356388,0.0,0.003563875
A19_pred_score_mlp,per-asset-mean,0.00380225,0.0,0.00380225
