metric,asset,seed_0,mean
A24_acf_lag1_sq_error,5,0.04290509603215259,0.0429051
A24_acf_lag1_sq_error,6,0.04707149972211785,0.0470715
A24_acf_lag1_sq_error,7,0.06190024754186168,0.06190025
A26_std_error,0,0.0008816868261297059,0.00088169
A26_std_error,1,0.011121503294345025,0.0111215
A26_std_error,2,0.0112106774257986,0.01121068
A26_std_error,3,0.04181043815075554,0.04181044
A26_std_error,4,0.009290238398720327,0.00929024
A26_std_error,5,0.00555960309000926,0.0055596
A26_std_error,6,0.006646731835352804,0.00664673
A26_std_error,7,0.00043864889741405955,0.00043865
A27_logreturn_std_error,0,8.548143865433062e-06,8.55e-06
A27_logreturn_std_error,1,0.00011202329497070568,0.00011202
A27_logreturn_std_error,2,0.00011190455956944196,0.0001119
A27_logreturn_std_error,3,0.00041568982462063383,0.00041569
A27_logreturn_std_error,4,9.177915379757814e-05,9.178e-05
A27_logreturn_std_error,5,5.418009566977855e-05,5.418e-05
A27_logreturn_std_error,6,6.781394583273723e-05,6.781e-05
A27_logreturn_std_error,7,3.2916802940057997e-06,3.29e-06
A28_kurtosis_ratio,0,15.631126800778476,15.6311268
A28_kurtosis_ratio,1,11.977851285843757,11.97785129
A28_kurtosis_ratio,2,37.78633536427376,37.78633536
A28_kurtosis_ratio,3,2.9089667967239414,2.9089668
A28_kurtosis_ratio,4,5.868321035750783,5.86832104
A28_kurtosis_ratio,5,9.762145535588823,9.76214554
A28_kurtosis_ratio,6,7.64714686180958,7.64714686
A28_kurtosis_ratio,7,3.9637067558297923,3.96370676
A29_sigma_mean_error,0,0.0009446174303711944,0.00094462
A29_sigma_mean_error,1,0.0007787146350853053,0.00077871
A29_sigma_mean_error,2,0.002481407599733737,0.00248141
A29_sigma_mean_error,3,0.005628820867991876,0.00562882
A29_sigma_mean_error,4,0.001981405443511731,0.00198141
A29_sigma_mean_error,5,0.0013417573562055172,0.00134176
A29_sigma_mean_error,6,0.0005095717147539976,0.00050957
A29_sigma_mean_error,7,0.0002698983380597063,0.0002699
