step,phase,loss_total,epoch,kld_loss,nll_loss,mse_loss,lr
16,train,345.9007511138916,0,0.1638641911558807,345.73688793182373,0.8920151814818382,0.001
16,val,235.76611518859863,0,,,,0.001
32,train,207.1798677444458,1,0.31151810102164745,206.86835193634033,0.5448438227176666,0.001
32,val,165.3963222503662,1,,,,0.001
48,train,153.31884574890137,2,0.5174557231366634,152.80139350891113,0.4096764251589775,0.001
48,val,128.0760817527771,2,,,,0.001
64,train,110.44724464416504,3,0.9149643667042255,109.5322790145874,0.3015036303550005,0.001
64,val,93.77231931686401,3,,,,0.001
80,train,81.67340755462646,4,1.5471441820263863,80.12626433372498,0.2279885821044445,0.001
80,val,62.53836989402771,4,,,,0.001
96,train,49.325944900512695,5,1.8599696904420853,47.465975284576416,0.1463378556072712,0.001
96,val,41.5315637588501,5,,,,0.001
112,train,37.53111743927002,6,1.814057782292366,35.71706008911133,0.1169655667617917,0.001
112,val,32.791858434677124,6,,,,0.001
128,train,25.337217330932617,7,1.6482928842306137,23.688924312591553,0.08689522417262197,0.001
128,val,20.720139503479004,7,,,,0.001
144,train,18.1070995926857,8,1.6561730280518532,16.4509260058403,0.06880022794939578,0.001
144,val,15.808848798274994,8,,,,0.001
160,train,15.280353307723999,9,1.4986986815929413,13.78165465593338,0.062127048848196864,0.001
160,val,32.14920103549957,9,,,,0.001
176,train,9.663450248539448,10,1.5467881187796593,8.11666226387024,0.04796456592157483,0.001
176,val,2.5747071355581284,10,,,,0.001
192,train,0.49143378576263785,11,1.6407799571752548,-1.1493461783975363,0.024799545179121196,0.001
192,val,-1.1719156429171562,11,,,,0.001
208,train,-2.018089869990945,12,1.3916315138339996,-3.4097214862704277,0.01914860599208623,0.001
208,val,-3.054196998476982,12,,,,0.001
224,train,-2.9285513013601303,13,1.3074824437499046,-4.23603367805481,0.017082825303077698,0.001
224,val,-3.4781594276428223,13,,,,0.001
240,train,-4.027566030621529,14,1.1765191778540611,-5.204085260629654,0.014662696281448007,0.001
240,val,-4.515446215867996,14,,,,0.001
256,train,-2.3710724860429764,15,1.0967718809843063,-3.4678443670272827,0.019003298541065305,0.001
256,val,-3.6654586642980576,15,,,,0.001
272,train,-4.476296842098236,16,1.0349616631865501,-5.511258512735367,0.013894762785639614,0.001
272,val,-5.043955475091934,16,,,,0.001
288,train,-5.415459990501404,17,0.9965754635632038,-6.412035495042801,0.01164282055106014,0.001
288,val,-5.701891303062439,17,,,,0.001
304,train,-5.411150000989437,18,0.9647433757781982,-6.375893473625183,0.011733175779227167,0.001
304,val,3.7393045872449875,18,,,,0.001
320,train,-0.854265877045691,19,0.9527555517852306,-1.8070214316248894,0.023155356873758137,0.001
320,val,-3.858354762196541,19,,,,0.001
