step,phase,loss_total,epoch,kld_loss,nll_loss,mse_loss,lr
16,train,325.1359510421753,0,0.44906566943973303,324.6868839263916,0.8393901959061623,0.001
16,val,236.77009296417236,0,,,,0.001
32,train,222.21217918395996,1,0.6751774325966835,221.53700160980225,0.5815154574811459,0.001
32,val,202.79342937469482,1,,,,0.001
48,train,192.71087169647217,2,0.6305878646671772,192.0802822113037,0.5078736431896687,0.001
48,val,182.4484634399414,2,,,,0.001
64,train,177.60205078125,3,0.5719120837748051,177.03013801574707,0.47024828754365444,0.001
64,val,170.83701705932617,3,,,,0.001
80,train,169.0264663696289,4,0.5456672832369804,168.48079586029053,0.44887493550777435,0.001
80,val,167.0626916885376,4,,,,0.001
96,train,173.7498550415039,5,0.5248861946165562,173.22497081756592,0.46073537319898605,0.001
96,val,167.7256097793579,5,,,,0.001
112,train,163.04986763000488,6,0.45776145346462727,162.59210109710693,0.4341531954705715,0.001
112,val,157.43630504608154,6,,,,0.001
128,train,148.14145469665527,7,0.505260044708848,147.6361904144287,0.3967634104192257,0.001
128,val,137.32974576950073,7,,,,0.001
144,train,131.36950635910034,8,0.6515411511063576,130.71796464920044,0.35446784272789955,0.001
144,val,124.25014114379883,8,,,,0.001
160,train,116.28183937072754,9,0.7984206788241863,115.48341941833496,0.31638147681951523,0.001
160,val,111.4202938079834,9,,,,0.001
176,train,104.71908664703369,10,0.868263091892004,103.85082340240479,0.287299994379282,0.001
176,val,101.04515314102173,10,,,,0.001
192,train,99.03947162628174,11,0.9349320568144321,98.10453987121582,0.27293428033590317,0.001
192,val,97.43136739730835,11,,,,0.001
208,train,93.36811685562134,12,1.0234578251838684,92.34465980529785,0.2585345711559057,0.001
208,val,93.57516431808472,12,,,,0.001
224,train,89.9487657546997,13,1.0738613083958626,88.87490463256836,0.24986018612980843,0.001
224,val,91.39695596694946,13,,,,0.001
240,train,84.90367698669434,14,1.1094318255782127,83.79424619674683,0.23715853784233332,0.001
240,val,85.23212766647339,14,,,,0.001
256,train,82.48096704483032,15,1.2291267365217209,81.25183868408203,0.23080252390354872,0.001
256,val,78.50869655609131,15,,,,0.001
272,train,74.94966888427734,16,1.2378823906183243,73.71178579330444,0.21195238549262285,0.001
272,val,73.4971194267273,16,,,,0.001
288,train,71.13458347320557,17,1.306627705693245,69.82795572280884,0.2022428074851632,0.001
288,val,70.03576731681824,17,,,,0.001
304,train,68.22945809364319,18,1.3348502218723297,66.89460897445679,0.1949094431474805,0.001
304,val,69.06336951255798,18,,,,0.001
320,train,66.92520046234131,19,1.3538872599601746,65.57131290435791,0.19160120375454426,0.001
320,val,66.99430346488953,19,,,,0.001
