step,phase,loss_total,epoch,kld_loss,nll_loss,mse_loss,lr
64,train,166.2823510169983,0,0.6175005249097012,165.66484862565994,0.44183506118133664,0.001
64,val,58.715120911598206,0,,,,0.001
128,train,25.712802404537797,1,1.5454960204660892,24.167306690942496,0.08809118095086887,0.001
128,val,1.217488189577125,1,,,,0.001
192,train,-1.465207330591511,2,1.132452243939042,-2.597659600432962,0.02117876113334205,0.001
192,val,-4.627867881208658,2,,,,0.001
256,train,-3.6447246316820383,3,0.8587501468136907,-4.503474795492366,0.016414222453022376,0.001
256,val,-5.56828623637557,3,,,,0.001
320,train,-6.166982896625996,4,0.7709966711699963,-6.937979683279991,0.010327960044378415,0.001
320,val,-6.969532176852226,4,,,,0.001
384,train,-6.508376939222217,5,0.688952473923564,-7.1973293870687485,0.009679585629783105,0.001
384,val,-7.556231580674648,5,,,,0.001
448,train,-6.573926671873778,6,0.6509592039510608,-7.224885900504887,0.009610694251023233,0.001
448,val,-7.566759079694748,6,,,,0.001
512,train,-8.021235279738903,7,0.6159996576607227,-8.637234933674335,0.006079821418097708,0.001
512,val,-8.376667715609074,7,,,,0.001
576,train,-8.137132078409195,8,0.5800489941611886,-8.717181079089642,0.0058799560138140805,0.001
576,val,-8.32238868623972,8,,,,0.001
640,train,-8.14406094700098,9,0.5704207262024283,-8.714481770992279,0.005886704369913787,0.001
640,val,-8.533501371741295,9,,,,0.001
704,train,-8.104753326624632,10,0.5535618215799332,-8.658315144479275,0.006027120860380819,0.001
704,val,-8.591277703642845,10,,,,0.001
768,train,-8.765951342880726,11,0.5404237303882837,-9.306375153362751,0.0044069707837479655,0.001
768,val,-8.70287311077118,11,,,,0.001
832,train,-8.892750695347786,12,0.5421540262177587,-9.434904798865318,0.0040856467276171315,0.001
832,val,-9.299500495195389,12,,,,0.001
896,train,-9.14405221492052,13,0.5382460113614798,-9.682298243045807,0.0034671630237426143,0.001
896,val,-9.517947912216187,13,,,,0.001
960,train,-9.14660806953907,14,0.5394022092223167,-9.686010174453259,0.003457882980001159,0.001
960,val,-9.612615823745728,14,,,,0.001
1024,train,-9.404638439416885,15,0.53388019092381,-9.938518583774567,0.0028266120207263157,0.001
1024,val,-9.035232901573181,15,,,,0.001
1088,train,-9.373563975095749,16,0.5296669825911522,-9.903230875730515,0.002914831295129261,0.001
1088,val,-9.490280404686928,16,,,,0.001
1152,train,-9.553232625126839,17,0.5285538844764233,-10.081786587834358,0.002468442087774747,0.001
1152,val,-9.14865055680275,17,,,,0.001
1216,train,-9.501609221100807,18,0.5310720056295395,-10.032681241631508,0.002591205146018183,0.001
1216,val,-9.4219980686903,18,,,,0.001
1280,train,-9.602757260203362,19,0.52302251663059,-10.125779747962952,0.0023584589744132245,0.001
1280,val,-9.193073481321335,19,,,,0.001
1344,train,-9.547913759946823,20,0.5234434492886066,-10.071357265114784,0.0024945154455053853,0.001
1344,val,-9.673297211527824,20,,,,0.001
1408,train,-9.759800136089325,21,0.5225160103291273,-10.282316148281097,0.0019671180452860426,0.001
1408,val,-9.354570642113686,21,,,,0.001
1472,train,-9.781388819217682,22,0.5207414627075195,-10.302130192518234,0.0019175827874278184,0.001
1472,val,-8.087236419320107,22,,,,0.001
1536,train,-9.61502479761839,23,0.5151993772014976,-10.13022418320179,0.0023473479377571493,0.001
1536,val,-9.928740188479424,23,,,,0.001
1600,train,-9.774778008460999,24,0.5172451725229621,-10.29202325642109,0.001942850405612262,0.001
1600,val,-9.754484191536903,24,,,,0.001
1664,train,-9.904370725154877,25,0.514962887391448,-10.419333726167679,0.0016245741862803698,0.001
1664,val,-9.764833822846413,25,,,,0.001
1728,train,-9.778968080878258,26,0.5101219755597413,-10.289090037345886,0.001950183182998444,0.001
1728,val,-10.013789296150208,26,,,,0.001
1792,train,-9.862041249871254,27,0.5167094804346561,-10.378750756382942,0.0017260315598832676,0.001
1792,val,-9.919152021408081,27,,,,0.001
1856,train,-9.758284837007523,28,0.5079313088208437,-10.26621624827385,0.002007367966143647,0.001
1856,val,-9.529116690158844,28,,,,0.001
1920,train,-9.721771940588951,29,0.5066246637143195,-10.2283965498209,0.00210191696351103,0.001
1920,val,-9.93220740556717,29,,,,0.001
1984,train,-9.94747693836689,30,0.506564293988049,-10.45404127240181,0.0015378052248706808,0.001
1984,val,-9.630313873291016,30,,,,0.001
2048,train,-9.919440746307373,31,0.5048197200521827,-10.424260511994362,0.0016122571978485212,0.001
2048,val,-10.036190778017044,31,,,,0.001
2112,train,-9.849918991327286,32,0.5050009796395898,-10.354919999837875,0.0017856084759841906,0.001
2112,val,-9.460564702749252,32,,,,0.001
2176,train,-9.907811686396599,33,0.5053240298293531,-10.413135543465614,0.0016400692093156977,0.001
2176,val,-9.999766409397125,33,,,,0.001
2240,train,-10.027640029788017,34,0.5057121734134853,-10.53335228562355,0.0013395278874668293,0.001
2240,val,-10.03305447101593,34,,,,0.001
2304,train,-9.938781931996346,35,0.49740692554041743,-10.43618868291378,0.0015824365491425851,0.001
2304,val,-9.639472708106041,35,,,,0.001
2368,train,-9.952954143285751,36,0.497071863617748,-10.450026050209999,0.001547843216030742,0.001
2368,val,-9.996487081050873,36,,,,0.001
2432,train,-9.907209977507591,37,0.4952880535274744,-10.402498170733452,0.0016666631781845354,0.001
2432,val,-10.013354659080505,37,,,,0.001
2496,train,-10.063284888863564,38,0.4931666720658541,-10.556451588869095,0.0012817793376598274,0.001
2496,val,-10.106720268726349,38,,,,0.001
2560,train,-9.554393723607063,39,0.4976730374619365,-10.052066802978516,0.002542741556680994,0.001
2560,val,-10.019827798008919,39,,,,0.001
2624,train,-10.038787961006165,40,0.4930014330893755,-10.531789362430573,0.0013434348784358008,0.001
