step,phase,loss_total,epoch,kld_loss,nll_loss,mse_loss,lr
16,train,335.4852705001831,0,0.22625280730426311,335.2590112686157,0.8658205009996891,0.001
16,val,234.77193450927734,0,,,,0.001
32,train,203.91476345062256,1,0.28817757964134216,203.6265869140625,0.5367393959313631,0.001
32,val,168.035382270813,1,,,,0.001
48,train,149.55294704437256,2,0.48227259144186974,149.07067584991455,0.40034962259233,0.001
48,val,127.07146644592285,2,,,,0.001
64,train,113.25475406646729,3,0.7031291052699089,112.55162286758423,0.30905198864638805,0.001
64,val,97.23198699951172,3,,,,0.001
80,train,87.76135969161987,4,1.062807023525238,86.69855308532715,0.24441930558532476,0.001
80,val,80.20677423477173,4,,,,0.001
96,train,71.08424592018127,5,1.3906347155570984,69.69361019134521,0.20190695021301508,0.001
96,val,59.27519989013672,5,,,,0.001
112,train,52.763569831848145,6,1.5069093778729439,51.25666046142578,0.15581456664949656,0.001
112,val,47.861944913864136,6,,,,0.001
128,train,44.53606128692627,7,1.6117771789431572,42.92428493499756,0.13498363131657243,0.001
128,val,41.28378915786743,7,,,,0.001
144,train,38.225985288619995,8,1.5890517756342888,36.63693332672119,0.11926525086164474,0.001
144,val,36.941773891448975,8,,,,0.001
160,train,38.34075140953064,9,1.5151527523994446,36.8255980014801,0.11973691452294588,0.001
160,val,34.465604066848755,9,,,,0.001
176,train,28.818442702293396,10,1.4722771868109703,27.346165776252747,0.09603832755237818,0.001
176,val,27.324726700782776,10,,,,0.001
192,train,20.807976245880127,11,1.6978045478463173,19.11017143726349,0.07544834166765213,0.001
192,val,16.201847314834595,11,,,,0.001
208,train,10.805580049753189,12,1.7279514744877815,9.07762861251831,0.050366983748972416,0.001
208,val,5.547165900468826,12,,,,0.001
224,train,4.305030956864357,13,1.8981653973460197,2.406865516677499,0.033690074225887656,0.001
224,val,2.420059986412525,13,,,,0.001
240,train,1.4669826533645391,14,1.786715343594551,-0.31973266415297985,0.026873578666709363,0.001
240,val,4.433024674654007,14,,,,0.001
256,train,2.4120823089033365,15,1.7379064038395882,0.674175838008523,0.029358350206166506,0.001
256,val,0.49217898957431316,15,,,,0.001
272,train,-0.9574033226817846,16,1.6865136250853539,-2.643916964530945,0.02106311754323542,0.001
272,val,-1.4392906501889229,16,,,,0.001
288,train,-1.601394895464182,17,1.657461553812027,-3.258856490254402,0.019525768468156457,0.001
288,val,-1.1186183951795101,17,,,,0.001
304,train,-2.262001445516944,18,1.6045687198638916,-3.866570107638836,0.01800648425705731,0.001
304,val,-2.3642828166484833,18,,,,0.001
320,train,-3.095844805240631,19,1.5711221471428871,-4.666966944932938,0.01600549154682085,0.001
320,val,-2.9408131688833237,19,,,,0.001
