epoch,total_loss,kld_loss,nll_loss,mse_loss,lr
0,25.403585083782673,0.3964717750204727,25.00711301714182,0.5278152170358226,0.001
1,3.0511855613440275,0.5318340337835252,2.5193515326827765,0.0780599444406107,0.001
2,1.2562781277229078,0.4775637239217758,0.77871441890602,0.04324719950091094,0.001
3,-0.03400718930060975,0.39018974592909217,-0.4241969486756716,0.0191889706911752,0.001
4,-0.33677974063903093,0.34568057395517826,-0.682460306910798,0.014023703406564891,0.001
5,-0.4605352208018303,0.32042446732521057,-0.7809596764855087,0.012053715458023362,0.001
6,-0.38077451195567846,0.3072353848256171,-0.6880098965484649,0.01391271133616101,0.001
7,-0.6807361876126379,0.3004027991555631,-0.9811389690730721,0.008050129232287873,0.001
8,-0.6891842382028699,0.2858731937594712,-0.9750574128702283,0.008171760397090111,0.001
9,-0.7100022030062973,0.2787893256172538,-0.988791539799422,0.007897078328824136,0.001
10,-0.7311645355075598,0.2752705877646804,-1.0064351395703852,0.0075442063389346,0.001
11,-0.8110742936842144,0.26867937855422497,-1.0797536801546812,0.006077835238102125,0.001
12,-0.8020746982656419,0.2671792325563729,-1.0692539270967245,0.006287829961365787,0.001
13,-0.7817222755402327,0.2598492738325149,-1.0415715500712395,0.006841477945272345,0.001
14,-0.7777625918388367,0.25766082643531263,-1.0354234217084013,0.006964440599404043,0.001
15,-0.8685938073322177,0.2566491453908384,-1.1252429634332657,0.005168049512576545,0.001
16,-0.8999631693586707,0.2541153950151056,-1.1540785571560264,0.004591337405145168,0.001
17,-0.8648199192248285,0.2501394043210894,-1.1149593126028776,0.0053737223643111065,0.001
18,-0.8694177544675767,0.2490234503056854,-1.1184411933645606,0.005304084810632048,0.001
19,-0.9302244265563786,0.24606964993290603,-1.1762940743938088,0.004147027069848264,0.001
20,-0.8718998623080552,0.2509329824242741,-1.1228328617289662,0.005216251585807186,0.001
21,-0.9613686739467084,0.243165421532467,-1.2045341050252318,0.0035822266690956894,0.001
22,-0.8444248093292117,0.24157035630196333,-1.0859951619058847,0.005953005515038967,0.001
23,-0.9635520158335567,0.2421963601373136,-1.205748368985951,0.003557941206963733,0.001
24,-0.7948310639476404,0.2392165525816381,-1.0340475961565971,0.006991956648562336,0.001
25,-0.9032779294066131,0.2414618928451091,-1.144739811308682,0.0047781122993910685,0.001
