step,train_bce
50,0.694797
100,0.693107
150,0.692221
200,0.694464
250,0.690462
300,0.695391
350,0.69306
400,0.693169
450,0.692156
500,0.694668
550,0.695701
600,0.693827
650,0.692659
700,0.69307
750,0.692659
800,0.69384
850,0.692809
900,0.692902
950,0.693184
1000,0.693317
1050,0.693321
1100,0.693637
1150,0.693132
1200,0.693233
1250,0.691961
1300,0.692536
1350,0.697229
1400,0.693265
1450,0.692852
1500,0.700273
1550,0.693276
1600,0.692577
1650,0.693101
1700,0.693171
1750,0.693159
1800,0.692798
1850,0.693013
1900,0.691275
1950,0.692871
2000,0.692833
