epoch,loss_D_0,loss_G_0,loss_CD
0,0.70975,-2.72818,0.69352
1,0.70662,-2.77038,0.69255
2,0.71240,-2.75076,0.69329
3,0.70472,-2.75566,0.69336
4,0.68204,-2.75196,0.69367
5,0.70810,-2.76674,0.69186
6,0.70502,-2.75384,0.69129
7,0.70319,-2.75983,0.68870
8,0.69643,-2.75723,0.69320
9,0.69735,-2.79172,0.69098
10,0.71049,-2.75282,0.69013
11,0.69617,-2.77321,0.69232
12,0.69814,-2.73535,0.68803
13,0.70682,-2.74783,0.69190
14,0.69143,-2.74335,0.69188
15,0.69895,-2.70030,0.69480
16,0.69211,-2.69498,0.69491
17,0.68830,-2.76150,0.70233
18,0.71489,-2.76183,0.69122
19,0.69974,-2.67961,0.69123
20,0.71314,-2.71793,0.68804
21,0.70054,-2.73738,0.69209
22,0.69402,-2.75582,0.68850
23,0.70058,-2.80416,0.69124
24,0.71841,-2.75535,0.69121
25,0.70959,-2.82400,0.69563
26,0.70658,-2.70158,0.69611
27,0.70434,-2.75302,0.69107
28,0.69370,-2.77980,0.69338
29,0.69352,-2.77066,0.69691
30,0.70128,-2.73007,0.69071
31,0.70146,-2.72746,0.69220
32,0.71192,-2.77051,0.69966
33,0.69039,-2.75649,0.69273
34,0.69915,-2.75975,0.69464
35,0.69821,-2.81172,0.69414
36,0.69177,-2.71817,0.69416
37,0.69391,-2.74876,0.69247
38,0.69628,-2.75805,0.68837
39,0.68326,-2.77734,0.70155
40,0.69661,-2.74793,0.68419
41,0.71201,-2.77888,0.69011
42,0.70141,-2.80466,0.69116
43,0.70028,-2.75582,0.69588
44,0.69629,-2.68891,0.69159
45,0.69064,-2.75047,0.69207
46,0.69697,-2.76672,0.69262
47,0.68323,-2.78241,0.69169
48,0.72139,-2.78921,0.69232
49,0.69685,-2.73073,0.68918
50,0.69849,-2.76105,0.69009
51,0.70536,-2.83856,0.69478
52,0.68712,-2.77501,0.69442
53,0.69257,-2.80817,0.69928
54,0.69514,-2.75605,0.68751
55,0.70222,-2.76945,0.69121
56,0.68678,-2.81068,0.69077
57,0.71239,-2.78866,0.69857
58,0.67875,-2.73339,0.69490
59,0.70391,-2.75423,0.69105
60,0.70982,-2.72766,0.69440
61,0.67591,-2.68079,0.69326
62,0.70193,-2.77603,0.69509
63,0.69959,-2.76768,0.69489
64,0.70046,-2.74241,0.69330
65,0.70845,-2.82117,0.69283
66,0.71012,-2.74009,0.69015
67,0.67379,-2.67663,0.69632
68,0.69998,-2.67655,0.69867
69,0.70436,-2.80664,0.69580
70,0.68753,-2.75319,0.69345
71,0.69623,-2.85556,0.69421
72,0.70652,-2.65016,0.69250
73,0.68555,-2.76005,0.69037
74,0.68737,-2.74786,0.69132
75,0.67648,-2.71238,0.69718
76,0.68943,-2.75171,0.69138
77,0.71142,-2.75940,0.68918
78,0.70529,-2.71923,0.69016
79,0.70455,-2.70141,0.69526
80,0.71967,-2.76824,0.68770
81,0.68004,-2.74398,0.69514
82,0.70395,-2.74304,0.69026
83,0.72018,-2.73856,0.69216
84,0.69673,-2.74825,0.69475
85,0.71818,-2.84216,0.69718
86,0.70410,-2.69201,0.69159
87,0.69442,-2.72768,0.69055
88,0.70522,-2.74368,0.69089
89,0.70504,-2.72212,0.69058
90,0.71378,-2.75525,0.69585
91,0.70272,-2.82652,0.68862
92,0.69121,-2.68017,0.69774
93,0.69283,-2.68795,0.69228
94,0.69313,-2.81153,0.69716
95,0.69013,-2.60956,0.69557
96,0.68888,-2.77392,0.69042
97,0.67573,-2.75618,0.69021
98,0.69537,-2.75059,0.69435
99,0.68764,-2.78065,0.68879
100,0.70639,-2.69294,0.69799
101,0.69996,-2.76400,0.69326
102,0.69678,-2.68906,0.69223
103,0.68394,-2.86215,0.69258
104,0.69126,-2.78122,0.69585
105,0.72189,-2.86098,0.69466
106,0.71498,-2.70116,0.69345
107,0.70350,-2.81604,0.69289
108,0.70131,-2.73435,0.69223
109,0.68431,-2.67479,0.69053
110,0.69260,-2.83739,0.69247
111,0.70432,-2.73802,0.70019
112,0.70275,-2.78018,0.69353
113,0.73037,-2.75146,0.69371
114,0.71325,-2.74280,0.68959
115,0.70297,-2.69741,0.69305
116,0.70215,-2.75576,0.69050
117,0.69798,-2.79161,0.69374
118,0.72047,-2.63375,0.69287
119,0.69208,-2.84017,0.69286
