epoch,loss_D_0,loss_G_0,loss_CD
0,0.69786,-2.71538,0.69326
1,0.69143,-2.72872,0.69349
2,0.69261,-2.73443,0.69349
3,0.70290,-2.76337,0.69319
4,0.71021,-2.74084,0.69418
5,0.69486,-2.78874,0.69150
6,0.71095,-2.75671,0.69878
7,0.70143,-2.71791,0.68882
8,0.71767,-2.76836,0.69056
9,0.69530,-2.76890,0.69517
10,0.69624,-2.69564,0.69197
11,0.68146,-2.73752,0.69330
12,0.70873,-2.72549,0.69101
13,0.70419,-2.75650,0.69583
14,0.69094,-2.72700,0.69111
15,0.71673,-2.79116,0.69591
16,0.70649,-2.75787,0.69090
17,0.69873,-2.69567,0.69688
18,0.68951,-2.71678,0.69232
19,0.69903,-2.78014,0.69154
20,0.69187,-2.75307,0.69450
21,0.70731,-2.71809,0.68964
22,0.70314,-2.75991,0.69025
23,0.70005,-2.70722,0.69064
24,0.70908,-2.74725,0.69573
25,0.68686,-2.77450,0.69556
26,0.69913,-2.78029,0.69234
27,0.70682,-2.68591,0.69657
28,0.69649,-2.76537,0.69387
29,0.69682,-2.80622,0.69324
30,0.70249,-2.75305,0.69094
31,0.70765,-2.69360,0.69111
32,0.71227,-2.79272,0.69500
33,0.69551,-2.71298,0.69528
34,0.68747,-2.76837,0.69285
35,0.69696,-2.81276,0.69644
36,0.70567,-2.78902,0.69607
37,0.68421,-2.78262,0.69700
38,0.70229,-2.71067,0.68864
39,0.68838,-2.74688,0.69510
40,0.70397,-2.80747,0.69261
41,0.69402,-2.78343,0.69096
42,0.69779,-2.81094,0.69789
43,0.69603,-2.72940,0.69228
44,0.71928,-2.73598,0.69025
45,0.69551,-2.75446,0.69510
46,0.69777,-2.76025,0.69361
47,0.70024,-2.75175,0.68853
48,0.69532,-2.76594,0.69205
49,0.69180,-2.77663,0.69253
50,0.69195,-2.74329,0.68887
51,0.70449,-2.72049,0.68550
52,0.69499,-2.74188,0.68722
53,0.71524,-2.74171,0.69291
54,0.67611,-2.74524,0.70051
55,0.70803,-2.74739,0.69831
56,0.71045,-2.70192,0.68822
57,0.69697,-2.74261,0.69408
58,0.70748,-2.69414,0.69233
59,0.69345,-2.80772,0.69692
60,0.70200,-2.78859,0.69226
61,0.68639,-2.73716,0.69451
62,0.70320,-2.79188,0.69276
63,0.69612,-2.78476,0.68704
64,0.68799,-2.75612,0.68500
65,0.68980,-2.76908,0.69036
66,0.72509,-2.76544,0.68895
67,0.69719,-2.71730,0.68828
68,0.69739,-2.72375,0.69329
69,0.69450,-2.68055,0.70700
70,0.68668,-2.73122,0.69565
71,0.70551,-2.74429,0.69063
72,0.70645,-2.71616,0.69118
73,0.69808,-2.68430,0.69312
74,0.71134,-2.70670,0.68914
75,0.71732,-2.68156,0.69361
76,0.70099,-2.73536,0.69496
77,0.70752,-2.79291,0.69098
78,0.69737,-2.75366,0.69406
79,0.69654,-2.82287,0.69103
80,0.70684,-2.76772,0.69631
81,0.70542,-2.70120,0.69221
82,0.70424,-2.66907,0.69418
83,0.70683,-2.72730,0.69231
84,0.69608,-2.73905,0.69297
85,0.66599,-2.66528,0.69318
86,0.72621,-2.74394,0.68900
87,0.71305,-2.77042,0.68927
88,0.68553,-2.77116,0.69648
89,0.72046,-2.72730,0.69691
90,0.70944,-2.69618,0.69416
91,0.69951,-2.73176,0.68584
92,0.68498,-2.76558,0.69783
93,0.66891,-2.80905,0.69114
94,0.70142,-2.74787,0.69207
95,0.70013,-2.74369,0.69492
96,0.70016,-2.65771,0.69568
97,0.70658,-2.70957,0.69064
98,0.70027,-2.66058,0.69350
99,0.68172,-2.68358,0.69762
100,0.70195,-2.71213,0.68962
101,0.71601,-2.78973,0.69263
102,0.68806,-2.74616,0.69436
103,0.69875,-2.69659,0.69396
104,0.69844,-2.68589,0.69262
105,0.68503,-2.86779,0.69194
106,0.73139,-2.79059,0.69255
107,0.67521,-2.71667,0.69192
108,0.71076,-2.72508,0.68859
109,0.70060,-2.82469,0.68992
110,0.69712,-2.64973,0.69198
111,0.72950,-2.71761,0.69907
112,0.69668,-2.69899,0.69692
113,0.68860,-2.72235,0.69342
114,0.69210,-2.78692,0.69279
115,0.68143,-2.74039,0.68906
116,0.70899,-2.81996,0.69515
117,0.72541,-2.72689,0.69439
118,0.69101,-2.73135,0.69367
119,0.69584,-2.63499,0.68941
