epoch,loss_D_0,loss_G_0,loss_CD
0,0.67632,-2.72973,0.69324
1,0.67822,-2.76244,0.69281
2,0.70420,-2.74601,0.69160
3,0.72631,-2.72627,0.69555
4,0.68164,-2.72622,0.69139
5,0.69140,-2.75917,0.68916
6,0.70057,-2.74567,0.69033
7,0.68996,-2.76190,0.69484
8,0.68879,-2.75191,0.69152
9,0.70221,-2.74879,0.70136
10,0.69193,-2.75967,0.69596
11,0.70515,-2.75034,0.68810
12,0.68756,-2.76821,0.69344
13,0.70083,-2.77122,0.69172
14,0.69703,-2.80041,0.69588
15,0.70991,-2.78807,0.69364
16,0.69272,-2.74246,0.69372
17,0.70202,-2.75861,0.69839
18,0.70486,-2.74914,0.68809
19,0.69092,-2.77356,0.69642
20,0.68641,-2.76048,0.69152
21,0.69269,-2.73806,0.69380
22,0.70570,-2.74397,0.68598
23,0.70162,-2.74811,0.69912
24,0.70809,-2.79909,0.69202
25,0.69581,-2.82047,0.70008
26,0.70050,-2.73386,0.69458
27,0.69740,-2.79785,0.68902
28,0.70346,-2.71536,0.68878
29,0.70318,-2.75439,0.69937
30,0.69209,-2.73725,0.69191
31,0.70362,-2.72541,0.68921
32,0.71242,-2.72444,0.69153
33,0.70836,-2.75974,0.69313
34,0.68684,-2.77642,0.69595
35,0.68934,-2.71737,0.69337
36,0.68538,-2.77012,0.69485
37,0.71236,-2.79042,0.69500
38,0.69177,-2.75725,0.69659
39,0.69871,-2.73658,0.69189
40,0.70428,-2.78223,0.69929
41,0.70115,-2.72516,0.69078
42,0.68874,-2.73415,0.69379
43,0.69490,-2.73904,0.69548
44,0.69810,-2.74197,0.68551
45,0.71186,-2.73332,0.68977
46,0.69236,-2.72632,0.68724
47,0.68306,-2.73338,0.68894
48,0.70440,-2.80994,0.68979
49,0.68970,-2.72595,0.68745
50,0.71364,-2.76279,0.69307
51,0.69217,-2.75998,0.69239
52,0.69521,-2.75320,0.69727
53,0.70693,-2.76371,0.69664
54,0.70190,-2.73240,0.68813
55,0.68866,-2.73266,0.69136
56,0.70896,-2.73570,0.69152
57,0.71715,-2.76064,0.69581
58,0.69753,-2.77751,0.69307
59,0.71701,-2.63312,0.69505
60,0.68590,-2.76250,0.69105
61,0.69788,-2.72820,0.69442
62,0.67976,-2.73257,0.69620
63,0.68936,-2.71317,0.69378
64,0.70018,-2.71785,0.69337
65,0.69740,-2.77113,0.68851
66,0.69076,-2.75158,0.69228
67,0.68823,-2.71362,0.69381
68,0.71453,-2.68285,0.68764
69,0.70620,-2.70672,0.69288
70,0.70633,-2.81729,0.69512
71,0.69124,-2.79022,0.69804
72,0.70124,-2.79079,0.69523
73,0.69666,-2.75860,0.69318
74,0.68859,-2.72247,0.69388
75,0.68149,-2.66905,0.69393
76,0.71504,-2.73562,0.69091
77,0.69017,-2.76893,0.69598
78,0.70222,-2.79188,0.69636
79,0.68869,-2.82007,0.69108
80,0.71303,-2.78814,0.69583
81,0.73413,-2.72809,0.69898
82,0.68899,-2.70548,0.69172
83,0.71157,-2.66004,0.68804
84,0.69500,-2.70565,0.69548
85,0.74013,-2.78405,0.69436
86,0.71462,-2.73509,0.69856
87,0.67778,-2.69074,0.68686
88,0.70017,-2.77805,0.69687
89,0.73642,-2.76956,0.70196
90,0.70307,-2.75213,0.69137
91,0.70274,-2.72109,0.69207
92,0.70017,-2.68631,0.69066
93,0.70233,-2.75852,0.69335
94,0.70861,-2.72892,0.68703
95,0.71078,-2.71316,0.68923
96,0.70447,-2.70780,0.69276
97,0.70140,-2.74743,0.69407
98,0.70656,-2.68713,0.69050
99,0.69656,-2.80793,0.69292
100,0.70488,-2.72956,0.69388
101,0.69720,-2.75933,0.69121
102,0.69148,-2.75622,0.69760
103,0.72493,-2.77648,0.69237
104,0.66648,-2.72387,0.69230
105,0.70796,-2.72706,0.69131
106,0.70501,-2.66828,0.69179
107,0.69587,-2.71082,0.69217
108,0.70998,-2.80809,0.69084
109,0.71664,-2.70051,0.69429
110,0.71103,-2.63585,0.69537
111,0.71454,-2.62435,0.69086
112,0.67410,-2.79454,0.69516
113,0.69222,-2.64168,0.69443
114,0.71909,-2.76653,0.69173
115,0.72969,-2.80990,0.69206
116,0.71390,-2.69984,0.68397
117,0.71195,-2.71232,0.69210
118,0.70136,-2.81841,0.69248
119,0.70622,-2.79814,0.69177
