epoch,loss_D_0,loss_G_0,loss_CD
0,0.66917,-2.69537,0.69324
1,0.68233,-2.72969,0.69208
2,0.70629,-2.72475,0.69358
3,0.70925,-2.77169,0.69205
4,0.69301,-2.77412,0.69538
5,0.68356,-2.73423,0.69189
6,0.69864,-2.78561,0.69102
7,0.69965,-2.73219,0.69434
8,0.69400,-2.73485,0.68833
9,0.69593,-2.73909,0.69646
10,0.69355,-2.74511,0.69136
11,0.69233,-2.72058,0.69499
12,0.69729,-2.74505,0.69317
13,0.70427,-2.75535,0.69228
14,0.70310,-2.74694,0.69724
15,0.68507,-2.73653,0.68680
16,0.69268,-2.72552,0.68708
17,0.69273,-2.74144,0.69405
18,0.71412,-2.76384,0.69187
19,0.70109,-2.78334,0.69605
20,0.69944,-2.76350,0.68893
21,0.69966,-2.75648,0.69745
22,0.68298,-2.71823,0.69144
23,0.70452,-2.73913,0.68989
24,0.69442,-2.72210,0.69245
25,0.69424,-2.72431,0.68993
26,0.69750,-2.76019,0.69298
27,0.70583,-2.76143,0.69635
28,0.70237,-2.75113,0.69201
29,0.69501,-2.75965,0.69449
30,0.70481,-2.79370,0.69053
31,0.69399,-2.75968,0.69375
32,0.68638,-2.73760,0.68882
33,0.70142,-2.79299,0.69454
34,0.69269,-2.76052,0.68945
35,0.68748,-2.72552,0.69212
36,0.69702,-2.74798,0.68873
37,0.71862,-2.78169,0.69596
38,0.69896,-2.72843,0.68954
39,0.69588,-2.71461,0.68635
40,0.67491,-2.74840,0.68909
41,0.68999,-2.72629,0.69473
42,0.69582,-2.76619,0.68955
43,0.71186,-2.76127,0.68885
44,0.70976,-2.77834,0.69088
45,0.71100,-2.73697,0.69208
46,0.69508,-2.72701,0.69531
47,0.70245,-2.76236,0.70017
48,0.70762,-2.72656,0.69059
49,0.69503,-2.71082,0.69319
50,0.69914,-2.75380,0.69619
51,0.70751,-2.77507,0.69472
52,0.69254,-2.74803,0.69102
53,0.70138,-2.73619,0.68797
54,0.70043,-2.78612,0.69523
55,0.68329,-2.73869,0.69803
56,0.69179,-2.81754,0.69436
57,0.70250,-2.71781,0.69352
58,0.70156,-2.76241,0.69194
59,0.69458,-2.79962,0.68697
60,0.70213,-2.73647,0.69169
61,0.70503,-2.71446,0.68921
62,0.69527,-2.81308,0.68692
63,0.68942,-2.72619,0.69224
64,0.70995,-2.79535,0.69237
65,0.67506,-2.68086,0.69384
66,0.69400,-2.78299,0.69397
67,0.69452,-2.72308,0.69360
68,0.71426,-2.75859,0.68969
69,0.70312,-2.77934,0.69693
70,0.68939,-2.67606,0.68671
71,0.69478,-2.71747,0.68845
72,0.69171,-2.69700,0.69614
73,0.72904,-2.69262,0.69107
74,0.69796,-2.71266,0.68963
75,0.69814,-2.76875,0.69692
76,0.70966,-2.81540,0.68652
77,0.70436,-2.68951,0.69835
78,0.71045,-2.78925,0.69796
79,0.69758,-2.77419,0.69103
80,0.70396,-2.80920,0.69034
81,0.68657,-2.68291,0.69580
82,0.69670,-2.72906,0.69058
83,0.67840,-2.79437,0.69686
84,0.69963,-2.73552,0.69120
85,0.69715,-2.73278,0.69308
86,0.70619,-2.75324,0.69244
87,0.70324,-2.70399,0.69205
88,0.71374,-2.71981,0.69250
89,0.70157,-2.78357,0.69216
90,0.69864,-2.73851,0.69649
91,0.69159,-2.76080,0.69152
92,0.68519,-2.72408,0.69182
93,0.72900,-2.72943,0.69275
94,0.70412,-2.79094,0.69364
95,0.69330,-2.65332,0.68969
96,0.69939,-2.72114,0.69674
97,0.70415,-2.80348,0.69043
98,0.68041,-2.76718,0.68833
99,0.71153,-2.76815,0.69515
100,0.71187,-2.79653,0.69210
101,0.70488,-2.65193,0.69250
102,0.70487,-2.75569,0.69350
103,0.70972,-2.89328,0.69724
104,0.71340,-2.85010,0.69421
105,0.72522,-2.72436,0.69284
106,0.68470,-2.76030,0.69230
107,0.68886,-2.74601,0.68956
108,0.72686,-2.79834,0.69307
109,0.73352,-2.80640,0.69461
110,0.70924,-2.72234,0.69377
111,0.70692,-2.72370,0.69304
112,0.66889,-2.61503,0.69215
113,0.69195,-2.66933,0.69267
114,0.73026,-2.80071,0.69328
115,0.70206,-2.70142,0.69625
116,0.70030,-2.58472,0.69131
117,0.72059,-2.69329,0.69182
118,0.73122,-2.73984,0.69307
119,0.70871,-2.85773,0.69353
