step,phase,loss_total,objective,grad_norm,control_rms,elapsed_sec
1,train,1.1106046438217163,8.074963124236092,0.2863571927667118,0.06862487643957138,9.75151910900604
100,train,0.33268922567367554,1.5589796155691147,0.04201965377333204,0.06996307522058487,798.800485896063
200,train,0.20268882811069489,1.3510228395462036,0.024145364904959752,0.06988053768873215,1591.348826214089
300,train,0.2985527515411377,1.4626134932041168,0.08620354612291124,0.06905423104763031,2381.8766931960126
400,train,0.2555163502693176,1.4318154379725456,0.02377542682452781,0.07108734548091888,3174.444664818002
500,train,0.2135694921016693,1.6649091392755508,0.044638041003799304,0.07069375365972519,3981.0693560240325
600,train,0.33395621180534363,1.5471976026892662,0.09823485548959815,0.06799525022506714,4798.521050682059
700,train,0.28301894664764404,1.3609245270490646,0.04769628686302139,0.06840206682682037,5601.000978352036
800,train,0.12513291835784912,1.216407597064972,0.016974959666340484,0.0694780945777893,6406.737091673072
900,train,0.2520858347415924,1.3299865499138832,0.05056083056419319,0.06933535635471344,7213.26756590209
1000,train,0.32582706212997437,1.7131204381585121,0.08178719675803142,0.07092457264661789,8020.283941992093
1100,train,0.14919452369213104,1.3872032165527344,0.05023357750509474,0.06946520507335663,8825.897644832032
1200,train,0.31114721298217773,1.3469519168138504,0.05989147017184406,0.06776992231607437,9631.557259362075
1300,train,0.22963669896125793,1.3360509425401688,0.03605125809730917,0.06996528059244156,10436.332666501054
1400,train,0.13412567973136902,1.1981227397918701,0.027659814000049663,0.06856696307659149,11242.935383332078
1500,train,0.23873746395111084,1.3547967076301575,0.06465989470367807,0.06881485879421234,12049.35093453608
1600,train,0.21420863270759583,1.3604975491762161,0.07619728590379633,0.06980280578136444,12856.036820998997
1700,train,0.4265115261077881,1.4786871075630188,0.05055191444235782,0.06776557862758636,13664.269388923072
1800,train,0.16614043712615967,1.2085795402526855,0.037783429972784575,0.06835321336984634,14470.86904254905
1900,train,0.14374834299087524,1.310044750571251,0.05920535443734033,0.06864762306213379,15276.731746893027
2000,train,0.23709632456302643,1.3596350401639938,0.026981674908110206,0.07027617841959,16080.225867627072
2100,train,0.1784123331308365,1.2660559490323067,0.01576665432433693,0.0684363842010498,16875.77296258707
2200,train,0.11821267008781433,1.2198905497789383,0.023298170171548883,0.06975829601287842,17668.636827582028
2300,train,0.2948310673236847,1.5136368423700333,0.03189836053338983,0.06846017390489578,18466.763457030058
2400,train,0.25811102986335754,1.2946665063500404,0.026439851957910175,0.0692453533411026,19263.258501125034
2500,train,0.16572637856006622,1.3834003806114197,0.060807357026136044,0.07020372897386551,20049.107005457045
