step,phase,loss_total,objective,grad_norm,control_rms,elapsed_sec
1,train,4.909444808959961,16.639976383652538,0.6441014330561509,0.06855053454637527,12.814754293998703
100,train,0.8015913367271423,2.6433772146701813,0.05533268461583086,0.06909967958927155,1108.8282986329868
200,train,1.0691256523132324,2.863194167613983,0.09252478215041834,0.06862807273864746,2221.6913850840647
300,train,1.026153326034546,2.4883886575698853,0.021572779681094553,0.0691647008061409,3404.217343883007
400,train,1.2677803039550781,2.875014543533325,0.05631115270740829,0.06998353451490402,4827.83912798902
500,train,1.3113844394683838,3.120118074119091,0.04714764556063201,0.07028914988040924,5694.607101854053
600,train,1.0382102727890015,2.4584318101406097,0.04765147055232286,0.06906598061323166,6451.133208760992
700,train,1.1087344884872437,2.858646333217621,0.18034448580788381,0.06674887984991074,7219.274493572069
800,train,0.959813117980957,2.3994705826044083,0.029964028053461794,0.06894250959157944,7711.436081364052
900,train,1.3635421991348267,2.405995585024357,0.059016638415167154,0.06900175660848618,8371.660113680991
1000,train,1.4346389770507812,3.445950597524643,0.35097397659151136,0.06765030324459076,9018.12124979205
1100,train,1.2996644973754883,3.0549020767211914,0.17963066669294922,0.06862390786409378,9737.688160761027
1200,train,1.278480052947998,2.335822656750679,0.08157937405368286,0.06918734312057495,10307.00230488705
1300,train,0.7441468238830566,2.188280299305916,0.030790985369257836,0.06958425790071487,10948.723424138036
1400,train,0.9014517068862915,2.3783593848347664,0.04739392235474029,0.06894909590482712,11596.27449572098
1500,train,1.477693796157837,3.166290447115898,0.17595519487778147,0.06670472770929337,12203.175752826035
1600,train,0.3547975420951843,2.03997490555048,0.029545712661533535,0.06940175592899323,12855.490768234013
1700,train,1.8674455881118774,3.449639856815338,0.11726178410149447,0.07068559527397156,13501.262886179029
1800,train,2.384150743484497,3.729030415415764,0.2745989158082871,0.06707596778869629,14110.831433331012
1900,train,0.5578047037124634,2.2438771575689316,0.03724560651229344,0.06954547017812729,14719.820538611966
2000,train,0.7342566251754761,2.2117643505334854,0.11467880876844977,0.06829015165567398,15187.67704997107
2100,train,0.9799555540084839,2.612813003361225,0.17538740054911486,0.07006217539310455,15654.196899128961
2200,train,0.9025822877883911,2.627823293209076,0.1797678194854269,0.07028579711914062,16118.149230918032
2300,train,1.0174674987792969,2.5539111495018005,0.17149707699486796,0.06731531023979187,16581.566816620063
2400,train,0.6443436741828918,2.219961643218994,0.04313195991747621,0.06934458017349243,17047.943840162014
2500,train,0.7537844777107239,2.393663741648197,0.051442924085671346,0.0676099881529808,17514.403918215074
2600,train,1.2373144626617432,3.1933857649564743,0.2927643292052059,0.0679333508014679,18018.946849806
2700,train,1.3144832849502563,2.5897327959537506,0.07563119554689096,0.06986907869577408,18547.56386061001
2800,train,1.2848515510559082,2.23531211912632,0.03348755054090094,0.06786473095417023,19068.23018290603
2900,train,1.547336220741272,2.647169306874275,0.12054287787230289,0.06977483630180359,19637.05988701398
3000,train,1.0484803915023804,2.6902353912591934,0.1018459685388107,0.06847671419382095,20142.718093264964
