seed,n_samples,T,d,n_steps,selected_step,ridge_lambda,batch_size,n_workers,elapsed_sec,elapsed_min
0,8192,252,8,3000,3000,1000.0,256,8,4.5,0.07
2,8192,252,8,3000,2500,1000.0,256,8,4.1,0.07
4,8192,252,8,3000,2500,1000.0,256,8,4.0,0.07
5,8192,252,8,3000,2500,1000.0,256,8,4.1,0.07
6,8192,252,8,3000,2500,1000.0,256,8,4.1,0.07
