step,phase,loss_total,val_loss
1,k0,4.72131074,4.73491940
2,k0,4.63861449,4.71359565
3,k0,4.65032263,4.70646906
4,k0,4.63425271,4.69022300
5,k0,4.63347208,4.66310501
6,k0,4.58461025,4.64500955
7,k0,4.58126379,4.61873652
8,k0,4.54569535,4.62487045
9,k0,4.56300666,4.62034809
10,k0,4.55037772,4.60912506
11,k0,4.55324671,4.61108949
12,k0,4.51389286,4.62350512
13,k0,4.57260489,4.61778703
14,k0,4.53536889,4.59449412
15,k0,4.57634731,4.62147471
16,k0,4.54690697,4.60348801
17,k0,4.53117869,4.62936816
18,k0,4.56115059,4.59671186
19,k0,4.53933930,4.61364053
20,k0,4.55922631,4.60599588
21,k0,4.54345111,4.61081784
22,k0,4.56127943,4.60714956
23,k0,4.55081727,4.59905657
24,k0,4.56384614,4.59573295
25,k0,4.52580521,4.59658344
26,k0,4.55973649,4.59850212
27,k0,4.55212016,4.59936435
28,k0,4.54495839,4.59917604
29,k0,4.56350849,4.60387864
30,k1,4.54892487,4.57662058
31,k1,4.52504493,4.58142849
32,k1,4.51367743,4.57899842
33,k1,4.50445545,4.59568104
34,k1,4.58010122,4.57917459
35,k1,4.54448805,4.57402710
36,k1,4.58917543,4.57756380
37,k1,4.55311551,4.57364141
38,k1,4.54128073,4.57840494
39,k1,4.55785475,4.57104232
40,k1,4.50845524,4.57113185
41,k1,4.56431193,4.58274588
42,k1,4.55643547,4.57817998
43,k1,4.54452779,4.57578527
44,k1,4.52716432,4.57116252
45,k1,4.54561874,4.57360253
46,k1,4.53808155,4.57666929
47,k1,4.56337050,4.57059967
48,k1,4.55070136,4.57801397
49,k1,4.55423706,4.57926193
50,k1,4.55048986,4.57339573
51,k1,4.52862409,4.57254289
52,k1,4.54003209,4.57988299
53,k1,4.54774950,4.57093815
54,k1,4.52936204,4.56926936
55,k1,4.53180952,4.57555217
56,k1,4.49660060,4.56801737
57,k1,4.54327338,4.57297468
58,k1,4.57012232,4.56502214
59,k1,4.55359430,4.56884347
60,k1,4.52817624,4.56574158
61,k1,4.56272965,4.56885008
62,k1,4.57327420,4.56420587
63,k1,4.57073038,4.57132292
64,k1,4.53382918,4.57501543
65,k1,4.54928726,4.57721329
66,k1,4.55616363,4.56873542
67,k1,4.53533118,4.57428499
68,k1,4.52434783,4.57548978
69,k1,4.57027503,4.56680067
70,k1,4.52915721,4.57269654
71,k1,4.54182976,4.57434104
72,k1,4.51353983,4.57213013
73,k1,4.51588699,4.56973942
74,k2,4.51629576,4.55691305
75,k2,4.52784975,4.54158200
76,k2,4.53044808,4.55293417
77,k2,4.54096269,4.54570682
78,k2,4.55830764,4.54743118
79,k2,4.57120999,4.55675826
80,k2,4.49442682,4.54609108
81,k2,4.54100700,4.55472293
82,k2,4.59165971,4.54619540
83,k2,4.56259785,4.55271875
84,k2,4.54198681,4.55141867
85,k2,4.51474948,4.54734333
86,k2,4.55403678,4.54735921
87,k2,4.56005707,4.55873665
88,k2,4.53337293,4.54936482
89,k2,4.52337513,4.55711321
90,k2,4.54127392,4.54403294
91,k3,4.50593665,4.45822763
92,k3,4.52537429,4.45574467
93,k3,4.51315192,4.45751975
94,k3,4.52320236,4.45353831
95,k3,4.52635418,4.45441657
96,k3,4.53595233,4.45550772
97,k3,4.52870379,4.46253366
98,k3,4.54650574,4.45388790
99,k3,4.53375010,4.45780677
100,k3,4.56349730,4.45900961
101,k3,4.54028520,4.44949157
102,k3,4.51895067,4.45516568
103,k3,4.53329405,4.45414675
104,k3,4.54509731,4.45153666
105,k3,4.56721752,4.45325976
106,k3,4.51514037,4.46132007
107,k3,4.53121220,4.45325415
108,k3,4.55207822,4.45842486
109,k3,4.56200463,4.44784267
110,k3,4.56925532,4.45869050
111,k3,4.50928340,4.45100696
112,k3,4.55493299,4.45288544
113,k3,4.54582982,4.44897307
114,k3,4.54620163,4.46335110
115,k3,4.57372448,4.44958203
116,k3,4.57268962,4.45008296
117,k3,4.55525578,4.45696193
118,k3,4.50827057,4.45220448
119,k3,4.53829374,4.45488321
120,k3,4.54005296,4.45895356
121,k3,4.54834497,4.46000624
122,k3,4.52736591,4.45236885
123,k3,4.55705097,4.45447757
124,k3,4.50882920,4.44915192
125,k4,4.54470193,4.54577611
126,k4,4.54337956,4.54573367
127,k4,4.56860814,4.54461347
128,k4,4.55212906,4.54310182
129,k4,4.54657126,4.54521616
130,k4,4.55898226,4.54323350
131,k4,4.54425285,4.53802527
132,k4,4.53378168,4.54187932
133,k4,4.52411145,4.54369336
134,k4,4.54481963,4.54084305
135,k4,4.53887478,4.53777566
136,k4,4.55643945,4.53814873
137,k4,4.54443947,4.54466875
138,k4,4.49811000,4.54136925
139,k4,4.54235085,4.55321041
140,k4,4.52687222,4.54141698
141,k4,4.56535896,4.53932946
142,k4,4.51376503,4.54627041
143,k4,4.56802640,4.54065172
144,k4,4.52565720,4.54676459
145,k4,4.53621102,4.54050933
146,k4,4.54945992,4.54294982
