step,phase,loss_total,val_loss
1,k0,4.74684827,4.62789814
2,k0,4.65221062,4.61461647
3,k0,4.69090338,4.59156176
4,k0,4.59200368,4.53218908
5,k0,4.61191099,4.53543333
6,k0,4.60654721,4.51823392
7,k0,4.54043264,4.51028699
8,k0,4.54893744,4.51083022
9,k0,4.55907749,4.51613257
10,k0,4.57990777,4.50477369
11,k0,4.53549969,4.50586271
12,k0,4.53362204,4.50966098
13,k0,4.53492684,4.51637668
14,k0,4.54627930,4.50941856
15,k0,4.55582914,4.51995479
16,k0,4.56529696,4.50352882
17,k0,4.54905388,4.50418480
18,k0,4.58927724,4.50449085
19,k0,4.53524075,4.50143147
20,k0,4.53889287,4.49761937
21,k0,4.53665587,4.50156850
22,k0,4.55166767,4.51300489
23,k0,4.58076154,4.50562352
24,k0,4.54977080,4.49762509
25,k0,4.54424753,4.50898574
26,k0,4.51402242,4.49496966
27,k0,4.53808811,4.49780438
28,k0,4.54176194,4.50361945
29,k0,4.56350236,4.50160045
30,k0,4.52610588,4.49322022
31,k0,4.54000610,4.49259208
32,k0,4.52660678,4.49986722
33,k0,4.53190630,4.49588827
34,k0,4.52586410,4.49141220
35,k0,4.56339494,4.50412714
36,k0,4.53801324,4.49492297
37,k0,4.53806315,4.49650651
38,k0,4.53840314,4.49586982
39,k0,4.51879691,4.49300667
40,k0,4.51773199,4.49022355
41,k0,4.52789420,4.49967315
42,k0,4.55778247,4.49397080
43,k0,4.53148042,4.49867025
44,k0,4.54970904,4.48955947
45,k0,4.52349459,4.50841225
46,k0,4.56948514,4.49095055
47,k0,4.55962197,4.50022584
48,k0,4.56328023,4.49208923
49,k0,4.53597693,4.49386974
50,k0,4.52315521,4.49599835
51,k0,4.53928748,4.48815812
52,k0,4.53808306,4.49222755
53,k0,4.50964781,4.49704046
54,k0,4.51630432,4.49442614
55,k0,4.53728776,4.49764718
56,k0,4.52662393,4.49264387
57,k0,4.52908720,4.49561878
58,k0,4.52894849,4.49899508
59,k0,4.54094932,4.49467626
60,k0,4.55573887,4.50039816
61,k0,4.53501720,4.48960601
62,k0,4.53065955,4.49101760
63,k0,4.52045134,4.48999713
64,k0,4.55398295,4.49150052
65,k0,4.53224598,4.49291680
66,k0,4.53551881,4.49534563
67,k1,4.54586958,4.59107469
68,k1,4.50242395,4.58956374
69,k1,4.54869145,4.59216389
70,k1,4.55609098,4.58902025
71,k1,4.57929273,4.59028868
72,k1,4.53961897,4.59204578
73,k1,4.55376261,4.58932381
74,k1,4.55564194,4.59129968
75,k1,4.55806011,4.59122060
76,k1,4.52128832,4.58536537
77,k1,4.54075214,4.59486323
78,k1,4.51124173,4.58980755
79,k1,4.51645895,4.59510132
80,k1,4.55580079,4.59452831
81,k1,4.52753349,4.59314508
82,k1,4.53687650,4.59259785
83,k1,4.52501859,4.58875799
84,k1,4.53608210,4.59336963
85,k1,4.53409562,4.58822481
86,k1,4.54612140,4.58793864
87,k1,4.54556782,4.58584056
88,k1,4.53858588,4.58607824
89,k1,4.54052123,4.58642270
90,k1,4.54019804,4.59068570
91,k1,4.56343619,4.58818344
92,k2,4.55532987,4.50119360
93,k2,4.53160843,4.49532432
94,k2,4.54110357,4.49231819
95,k2,4.55336798,4.50284822
96,k2,4.55591333,4.49776778
97,k2,4.54952845,4.49826644
98,k2,4.55713613,4.49760874
99,k2,4.53797242,4.50005165
100,k2,4.55718331,4.49570029
101,k2,4.52852853,4.49780879
102,k2,4.56859072,4.49203836
103,k2,4.53392925,4.50526458
104,k2,4.53664411,4.49207291
105,k2,4.50275467,4.49552213
106,k2,4.54921500,4.49560363
107,k2,4.54236194,4.49832465
108,k2,4.52636619,4.49287961
109,k2,4.56470268,4.49418391
110,k3,4.55711408,4.45228936
111,k3,4.54678833,4.45423464
112,k3,4.54300111,4.44687693
113,k3,4.51418420,4.45528815
114,k3,4.52896524,4.44807522
115,k3,4.53945980,4.44917158
116,k3,4.54254966,4.44918317
117,k3,4.57905353,4.45197615
118,k3,4.54464503,4.45806023
119,k3,4.57581631,4.45092814
120,k3,4.55435149,4.44940769
121,k3,4.55769419,4.44814741
122,k3,4.55496947,4.45064713
123,k3,4.52038099,4.44672548
124,k3,4.54743402,4.44615225
125,k3,4.57388654,4.44827318
126,k3,4.52485634,4.45058672
127,k3,4.55922598,4.44479557
128,k3,4.51064336,4.44894395
129,k3,4.54877543,4.44775442
130,k3,4.54297505,4.45624047
131,k3,4.52939004,4.44853526
132,k3,4.53166717,4.44475482
133,k3,4.53380311,4.44500553
134,k3,4.55699933,4.44476902
135,k3,4.55527349,4.44997509
136,k3,4.53477064,4.44773487
137,k3,4.52911389,4.44464086
138,k3,4.52229013,4.44031946
139,k3,4.51332195,4.45109488
140,k3,4.49162289,4.44943986
141,k3,4.49991988,4.45219146
142,k3,4.55040553,4.44399819
143,k3,4.51634606,4.45539210
144,k3,4.52232071,4.44774976
145,k3,4.53842406,4.45026042
146,k3,4.54592452,4.44628319
147,k3,4.56527510,4.44981454
148,k3,4.57632134,4.44729545
149,k3,4.51866941,4.44683794
150,k3,4.56877001,4.44719736
151,k3,4.54936001,4.44646175
152,k3,4.54641659,4.44352330
153,k3,4.55542783,4.44143526
154,k4,4.50595045,4.56006149
155,k4,4.54240821,4.55802213
156,k4,4.55478720,4.55464326
157,k4,4.51050106,4.55183781
158,k4,4.50214686,4.54679878
159,k4,4.52974133,4.55732382
160,k4,4.53118834,4.54518678
161,k4,4.52376250,4.54733673
162,k4,4.54762409,4.55249676
163,k4,4.53691550,4.54706306
164,k4,4.54167829,4.55583209
165,k4,4.54265422,4.55028860
166,k4,4.55641397,4.54834582
167,k4,4.54621822,4.54976694
168,k4,4.53980959,4.55436516
169,k4,4.51561573,4.55011063
170,k4,4.51481217,4.54677373
171,k4,4.53023843,4.54825361
172,k4,4.50976697,4.54762954
173,k4,4.53793384,4.54998757
174,k4,4.54442885,4.54188006
175,k4,4.53915822,4.54649364
176,k4,4.58653559,4.54952185
177,k4,4.53112710,4.54641445
178,k4,4.54505713,4.54560291
179,k4,4.53330150,4.54871445
180,k4,4.53328881,4.55864059
181,k4,4.56623673,4.54625882
182,k4,4.49716271,4.54618476
183,k4,4.56754285,4.55110939
184,k4,4.55166742,4.54777039
185,k4,4.56013727,4.54848561
186,k4,4.52138151,4.54685365
187,k4,4.56186011,4.55159426
188,k4,4.53816734,4.55069160
189,k4,4.54908261,4.55546904
