step,phase,loss_total,val_loss
1,k0,4.80599002,4.67194403
2,k0,4.64525491,4.67384331
3,k0,4.64968176,4.66095297
4,k0,4.63923523,4.63455086
5,k0,4.55698887,4.60939646
6,k0,4.55717957,4.59254511
7,k0,4.57673419,4.57773520
8,k0,4.56425210,4.56887201
9,k0,4.54414174,4.57457062
10,k0,4.54648638,4.58243454
11,k0,4.58229027,4.56759258
12,k0,4.57082147,4.55600034
13,k0,4.57487630,4.55607730
14,k0,4.52954559,4.56490568
15,k0,4.57832494,4.55260324
16,k0,4.55496967,4.56011387
17,k0,4.55212395,4.56796430
18,k0,4.55780242,4.54922933
19,k0,4.56888000,4.55862185
20,k0,4.51715277,4.56112084
21,k0,4.49783426,4.56573959
22,k0,4.54810294,4.56206124
23,k0,4.54286797,4.55110183
24,k0,4.53562204,4.55531744
25,k0,4.50937777,4.55989141
26,k0,4.53256718,4.55072227
27,k0,4.53358085,4.55105206
28,k0,4.53461144,4.55078844
29,k0,4.56745823,4.56815452
30,k0,4.52673288,4.55156807
31,k0,4.55607406,4.55223417
32,k0,4.53523969,4.55242531
33,k0,4.56600567,4.55296304
34,k1,4.53217286,4.51642418
35,k1,4.53637852,4.50930694
36,k1,4.56016348,4.54574049
37,k1,4.57203394,4.51367008
38,k1,4.56664496,4.52781509
39,k1,4.54695403,4.50867869
40,k1,4.54699174,4.51746981
41,k1,4.52990526,4.52438545
42,k1,4.53360670,4.50849625
43,k1,4.54690009,4.51988499
44,k1,4.53187469,4.51321877
45,k1,4.54217034,4.51074560
46,k1,4.52825969,4.51163827
47,k1,4.56782557,4.50956047
48,k1,4.53601236,4.51853444
49,k1,4.53980301,4.51140745
50,k1,4.52587142,4.50824184
51,k1,4.54867554,4.51110297
52,k1,4.56899877,4.50608756
53,k1,4.56238685,4.51056983
54,k1,4.51824165,4.51284482
55,k1,4.51866325,4.52537100
56,k1,4.55207450,4.50755893
57,k1,4.54196503,4.51524104
58,k1,4.54749404,4.51787145
59,k1,4.53652710,4.51126697
60,k1,4.53260307,4.51603064
61,k1,4.53933432,4.51801076
62,k1,4.55702777,4.50531791
63,k1,4.53495722,4.50553149
64,k1,4.55068955,4.50934381
65,k1,4.53134109,4.50546525
66,k1,4.56457581,4.51277935
67,k1,4.55210688,4.51292728
68,k2,4.55060521,4.54968863
69,k2,4.54142815,4.54425848
70,k2,4.55017163,4.55033515
71,k2,4.56191697,4.55762221
72,k2,4.57666657,4.54404068
73,k2,4.51702953,4.54312372
74,k2,4.54707353,4.54979541
75,k2,4.54435022,4.54435026
76,k2,4.55173060,4.53887466
77,k2,4.53438986,4.55095995
78,k2,4.56243244,4.54593948
79,k2,4.52845270,4.54251033
80,k2,4.56422741,4.54306294
81,k2,4.53720609,4.54847567
82,k2,4.52079631,4.55874703
83,k2,4.56164678,4.54654415
84,k2,4.52170579,4.53956226
85,k2,4.52993383,4.54804963
86,k2,4.60220245,4.54189572
87,k2,4.55116075,4.54840117
88,k2,4.54287191,4.54325889
89,k2,4.51044980,4.54633808
90,k2,4.53334463,4.54204233
91,k2,4.53352107,4.53880552
92,k3,4.55648709,4.50732613
93,k3,4.54364270,4.51980774
94,k3,4.52153827,4.50744523
95,k3,4.53966391,4.50959085
96,k3,4.51777643,4.50819716
97,k3,4.54169419,4.50836292
98,k3,4.51991675,4.51022133
99,k3,4.52806140,4.51330871
100,k3,4.55160984,4.51398127
101,k3,4.56838849,4.52192556
102,k3,4.56699493,4.51192731
103,k3,4.54196724,4.50772021
104,k3,4.52763665,4.51115498
105,k3,4.54804296,4.51122449
106,k3,4.53774028,4.50961982
107,k3,4.55572798,4.51068585
108,k4,4.54150162,4.51505147
109,k4,4.56744544,4.50436247
110,k4,4.49367183,4.50486906
111,k4,4.53015659,4.50989059
112,k4,4.53346988,4.50788263
113,k4,4.55051367,4.50641907
114,k4,4.53141286,4.50624734
115,k4,4.52980940,4.50351528
116,k4,4.55190847,4.50712068
117,k4,4.53548485,4.50778866
118,k4,4.54568764,4.50411437
119,k4,4.55841886,4.50982659
120,k4,4.54451047,4.50906434
121,k4,4.50209630,4.49881102
122,k4,4.54728938,4.51023113
123,k4,4.51159026,4.50910029
124,k4,4.54506179,4.50400958
125,k4,4.51116743,4.50601295
126,k4,4.52141311,4.51299675
127,k4,4.51927930,4.50649474
128,k4,4.50829857,4.50756550
129,k4,4.54021558,4.50892005
130,k4,4.56051608,4.50730419
131,k4,4.54809890,4.50300470
132,k4,4.50258374,4.51095599
133,k4,4.55139372,4.50588850
134,k4,4.54604625,4.50665214
135,k4,4.54686626,4.50482794
136,k4,4.55417737,4.50496501
