step,phase,loss_total,val_loss
1,k0,4.76143634,4.66497440
2,k0,4.68785672,4.65369107
3,k0,4.66611288,4.63931102
4,k0,4.57403369,4.59234197
5,k0,4.60978455,4.59572246
6,k0,4.55820896,4.56576039
7,k0,4.57768908,4.56662189
8,k0,4.56108681,4.56669727
9,k0,4.54924380,4.55923271
10,k0,4.55383160,4.54675506
11,k0,4.56414769,4.54649320
12,k0,4.58190934,4.55684838
13,k0,4.55196258,4.56690810
14,k0,4.54756320,4.55484306
15,k0,4.55532466,4.55133046
16,k0,4.57208407,4.54538177
17,k0,4.54303343,4.55161139
18,k0,4.54071118,4.54079118
19,k0,4.53254955,4.56345848
20,k0,4.51972785,4.55342315
21,k0,4.53426493,4.54723949
22,k0,4.55343961,4.55636622
23,k0,4.53245235,4.55522585
24,k0,4.56803898,4.54096266
25,k0,4.54869699,4.54525265
26,k0,4.53677195,4.55029392
27,k0,4.53326875,4.55443496
28,k0,4.53337048,4.54074449
29,k0,4.53061187,4.54420695
30,k0,4.55290899,4.54437322
31,k0,4.56898322,4.54779192
32,k0,4.55983433,4.55260552
33,k0,4.55281210,4.54668643
34,k1,4.54720034,4.58682412
35,k1,4.56163311,4.57965183
36,k1,4.56605590,4.57061016
37,k1,4.54143642,4.58390856
38,k1,4.54200222,4.57703660
39,k1,4.54135412,4.57207977
40,k1,4.55411464,4.56959336
41,k1,4.49651221,4.57472552
42,k1,4.56564943,4.56921676
43,k1,4.52634375,4.57149766
44,k1,4.55716451,4.57879657
45,k1,4.55552511,4.57190976
46,k1,4.56817612,4.58116095
47,k1,4.56559797,4.56795615
48,k1,4.53057594,4.57315155
49,k1,4.53170713,4.57750665
50,k1,4.52788875,4.57370919
51,k1,4.57213525,4.57005904
52,k1,4.52880632,4.57051050
53,k1,4.54753869,4.56672786
54,k1,4.54073980,4.58281972
55,k1,4.53140796,4.57421585
56,k1,4.51958811,4.57087968
57,k1,4.53958029,4.58137875
58,k1,4.51742554,4.57323104
59,k1,4.54230876,4.57518545
60,k1,4.52937410,4.56895645
61,k1,4.57657135,4.57181975
62,k1,4.54179666,4.57762678
63,k1,4.52642612,4.57368117
64,k1,4.53261607,4.57137874
65,k1,4.52853301,4.56363388
66,k1,4.54264995,4.57019791
67,k1,4.51265546,4.57173725
68,k1,4.53283006,4.56806132
69,k1,4.54716457,4.57669786
70,k1,4.55654073,4.57091016
71,k1,4.52974998,4.57017550
72,k1,4.53580020,4.56372584
73,k1,4.54676603,4.58365356
74,k1,4.57908369,4.56556973
75,k1,4.54348397,4.57747907
76,k1,4.54121823,4.56812356
77,k1,4.50757641,4.56687509
78,k1,4.54310734,4.56571594
79,k1,4.52662394,4.56165842
80,k1,4.54868515,4.56571238
81,k1,4.55196679,4.56605075
82,k1,4.55208990,4.56735138
83,k1,4.51943171,4.56446659
84,k1,4.53625403,4.56493671
85,k1,4.55655906,4.56752641
86,k1,4.56071436,4.56616149
87,k1,4.54786221,4.56346926
88,k1,4.55187014,4.56777378
89,k1,4.55330598,4.56676773
90,k1,4.51979000,4.56961522
91,k1,4.54708985,4.56995553
92,k1,4.54755584,4.57796970
93,k1,4.54766177,4.56995458
94,k1,4.53432437,4.57057161
95,k2,4.57728333,4.55696209
96,k2,4.58868824,4.56789347
97,k2,4.54601964,4.56210969
98,k2,4.53986846,4.56301495
99,k2,4.51360173,4.57287711
100,k2,4.52136027,4.57837516
101,k2,4.56059760,4.56867024
102,k2,4.52510394,4.56315081
103,k2,4.54733586,4.57178736
104,k2,4.56707539,4.56343680
105,k2,4.50561293,4.56395875
106,k2,4.55948645,4.57449715
107,k2,4.49678473,4.56672107
108,k2,4.53672159,4.56181977
109,k2,4.55862262,4.55863953
110,k2,4.53351267,4.55962383
111,k3,4.55425722,4.55368145
112,k3,4.54880824,4.55970775
113,k3,4.56420238,4.54669930
114,k3,4.53787447,4.55683679
115,k3,4.55011389,4.54529263
116,k3,4.54699316,4.54484609
117,k3,4.54269372,4.54963611
118,k3,4.54301079,4.55457577
119,k3,4.54781951,4.55145586
120,k3,4.50709524,4.55183557
121,k3,4.56300333,4.55343133
122,k3,4.55001762,4.55502881
123,k3,4.54488152,4.55021656
124,k3,4.53730800,4.55262070
125,k3,4.52939340,4.54913888
126,k3,4.51968626,4.54895537
127,k3,4.55617940,4.54783975
128,k3,4.54689737,4.56376611
129,k3,4.52380140,4.54792125
130,k3,4.55699288,4.55707198
131,k4,4.49865527,4.50186990
132,k4,4.52961877,4.50245050
133,k4,4.54039304,4.50706262
134,k4,4.55792102,4.50042328
135,k4,4.54943433,4.50599505
136,k4,4.52052601,4.50061538
137,k4,4.52142398,4.50767499
138,k4,4.54514958,4.50152731
139,k4,4.55540012,4.50325427
140,k4,4.56056124,4.49757679
141,k4,4.53163082,4.50448667
142,k4,4.52552178,4.51562225
143,k4,4.52062390,4.51014548
144,k4,4.56050259,4.49982665
145,k4,4.52461216,4.49955181
146,k4,4.53973956,4.50276621
147,k4,4.54456661,4.50570239
148,k4,4.53749931,4.50475700
149,k4,4.51954489,4.49942277
150,k4,4.54952290,4.52385690
151,k4,4.58014683,4.51297467
152,k4,4.51253167,4.50818861
153,k4,4.52838518,4.50268056
154,k4,4.55830820,4.51010748
155,k4,4.50767260,4.50573375
