metric,asset,seed_0,seed_1,seed_2,mean
A12_rv_law_loss,0,0.002197524464240231,0.0035081072106333145,0.0012079072337266067,0.00230451
A12_rv_law_loss,1,0.0038214844503419543,0.004732820454467511,0.004153354907253169,0.00423589
A12_rv_law_loss,2,0.0028148246575337658,0.005453992882763434,0.001834657804738753,0.00336783
A12_rv_law_loss,3,0.014713737582539606,0.02522131426707422,0.014709798459958921,0.01821495
A12_rv_law_loss,4,0.011468086918990287,0.002401469804699707,0.004596222809264097,0.00615526
A12_rv_law_loss,5,0.014131481948442595,0.013864178196330052,0.008197914185416731,0.01206452
A12_rv_law_loss,6,0.008105336120108055,0.007615320696123154,0.010482365899542899,0.00873434
A12_rv_law_loss,7,0.00770559831957854,0.0112682479538234,0.013014844762964719,0.0106629
A13_mean_path_rmse,0,0.003952340675726631,0.006616035313832689,0.004043134072005922,0.0048705
A13_mean_path_rmse,1,0.0073100367567432165,0.0066948947964575395,0.003986410184194815,0.00599711
A13_mean_path_rmse,2,0.009899654934242141,0.0159667320211208,0.010822031439574798,0.01222947
A13_mean_path_rmse,3,0.008673667322105357,0.027352457015795136,0.014439783647823046,0.01682197
A13_mean_path_rmse,4,0.011272812573190398,0.012895149130701663,0.0051720832618735255,0.00978001
A13_mean_path_rmse,5,0.021951284964397598,0.013663906411627392,0.01602249357201582,0.01721256
A13_mean_path_rmse,6,0.007371029616630254,0.015759212378946823,0.010530166900681145,0.01122014
A13_mean_path_rmse,7,0.011232512852676811,0.016446261372992592,0.006094964533238125,0.01125791
A14_ks_logreturns,0,0.0698947055446194,0.06508622457349078,0.06061351706036744,0.06519815
A14_ks_logreturns,1,0.06178231627296593,0.07240147227690297,0.08378701197506555,0.07265693
A14_ks_logreturns,2,0.14794024770341208,0.15501968503937014,0.16086624425853024,0.15460873
A14_ks_logreturns,3,0.11631602690288712,0.12841156085958005,0.13367115731627288,0.12613292
A14_ks_logreturns,4,0.08831098261154857,0.09738968175853019,0.10453576115485563,0.09674548
A14_ks_logreturns,5,0.07489542322834641,0.0820671341863517,0.10291328330052496,0.08662528
A14_ks_logreturns,6,0.0795424253608924,0.09067933891076119,0.09706928723753283,0.08909702
A14_ks_logreturns,7,0.12556645751312334,0.13515009842519687,0.14227054625984248,0.13432903
A15_skewness_error,0,0.9020621202211025,0.018170374047245752,0.5349260695182345,0.48505285
A15_skewness_error,1,1.17616191652335,1.8049597615759372,0.05997934663147553,1.01370034
A15_skewness_error,2,0.4776743621371321,1.3203776617734686,0.8236131459187255,0.87388839
A15_skewness_error,3,3.9361384767573124,1.876174756097032,16.907552422634538,7.57328855
A15_skewness_error,4,3.991205615103218,1.7084404951402492,1.6009233044882802,2.43352314
A15_skewness_error,5,0.6012793859937016,0.2502752898041142,0.7153790457537126,0.52231124
A15_skewness_error,6,0.051855300474098254,0.00534532205542787,0.35944452767585816,0.13888172
A15_skewness_error,7,1.1097714331165323,0.49382698592203544,1.2047464415145088,0.93611495
A16_qq_rmse,0,5.5081848133576564e-05,6.851701425582812e-05,2.584929759626503e-05,4.982e-05
A16_qq_rmse,1,9.583896388036746e-05,9.295469575827332e-05,0.0001180784695248016,0.00010229
A16_qq_rmse,2,0.00010759042589213103,0.00011166981744971753,9.03257385962725e-05,0.0001032
A16_qq_rmse,3,0.00017575988379611563,0.00022010661019389077,0.00015727181313460536,0.00018438
A16_qq_rmse,4,8.902854311588774e-05,6.049748503078593e-05,0.00010592228156964792,8.515e-05
A16_qq_rmse,5,0.00012614766149880588,0.00012730815099706213,0.00019588715828096787,0.00014978
A16_qq_rmse,6,0.0001558327419871582,0.00016987395410046906,0.00020198887076855847,0.0001759
A16_qq_rmse,7,0.0001896042960052128,0.0002285589345253982,0.0002723551814432162,0.00023017
A17_terminal_ks,0,0.01985677083333337,0.03971354166666663,0.04720052083333337,0.03559028
A17_terminal_ks,1,0.07063802083333337,0.08756510416666674,0.09309895833333337,0.08376736
A17_terminal_ks,2,0.028971354166666685,0.05696614583333337,0.046875,0.04427083
A17_terminal_ks,3,0.032877604166666685,0.04329427083333337,0.03352864583333337,0.03656684
A17_terminal_ks,4,0.0244140625,0.03841145833333337,0.046549479166666685,0.03645833
A17_terminal_ks,5,0.0712890625,0.0712890625,0.08430989583333331,0.07562934
A17_terminal_ks,6,0.05826822916666663,0.08333333333333337,0.08138020833333337,0.07432726
A17_terminal_ks,7,0.0556640625,0.0634765625,0.07356770833333334,0.06423611
A19_pred_score_gru,0,0.005248,0.005214,0.005224,0.00522867
A19_pred_score_gru,1,0.004868,0.00483,0.004865,0.00485433
A19_pred_score_gru,2,0.003616,0.003335,0.003187,0.00337933
A19_pred_score_gru,3,0.007706,0.007708,0.00771,0.007708
A19_pred_score_gru,4,0.001927,0.001927,0.001939,0.001931
A19_pred_score_gru,5,0.002395,0.002172,0.002188,0.00225167
A19_pred_score_gru,6,0.002663,0.002683,0.002677,0.00267433
A19_pred_score_gru,7,0.003053,0.003331,0.003129,0.003171
A19_pred_score_mlp,0,0.005339,0.005736,0.005495,0.00552333
A19_pred_score_mlp,1,0.0052,0.004905,0.005152,0.00508567
A19_pred_score_mlp,2,0.003251,0.00346,0.00381,0.003507
A19_pred_score_mlp,3,0.008257,0.007777,0.007761,0.00793167
A19_pred_score_mlp,4,0.002041,0.002381,0.001957,0.00212633
A19_pred_score_mlp,5,0.002466,0.002812,0.002235,0.00250433
A19_pred_score_mlp,6,0.002884,0.002713,0.002891,0.00282933
A19_pred_score_mlp,7,0.003896,0.003129,0.003494,0.00350633
