step,phase,loss_total
0,diffusion,0.9973660707473755
100,diffusion,0.0742078498005867
200,diffusion,0.06260472536087036
300,diffusion,0.0916375070810318
400,diffusion,0.07088227570056915
500,diffusion,0.06588011980056763
600,diffusion,0.06870795786380768
700,diffusion,0.07523740828037262
800,diffusion,0.06732217222452164
900,diffusion,0.06688801944255829
1000,diffusion,0.06813944876194
1100,diffusion,0.07672789692878723
1200,diffusion,0.07739117741584778
1300,diffusion,0.06893374025821686
1400,diffusion,0.06173934414982796
1500,diffusion,0.0497632771730423
1600,diffusion,0.06950019299983978
1700,diffusion,0.07512004673480988
1800,diffusion,0.07392248511314392
1900,diffusion,0.06985830515623093
2000,diffusion,0.0505928099155426
2100,diffusion,0.06461456418037415
2200,diffusion,0.05608639493584633
2300,diffusion,0.06077433377504349
2400,diffusion,0.06895820796489716
2500,diffusion,0.07675734907388687
2600,diffusion,0.057552769780159
2700,diffusion,0.0764477550983429
2800,diffusion,0.06075454130768776
2900,diffusion,0.0630514919757843
3000,diffusion,0.055544085800647736
3100,diffusion,0.0815451592206955
3200,diffusion,0.08276298642158508
3300,diffusion,0.08321672677993774
3400,diffusion,0.07177034020423889
3500,diffusion,0.05922304838895798
3600,diffusion,0.07862180471420288
3700,diffusion,0.06838150322437286
3800,diffusion,0.06372138857841492
3900,diffusion,0.07022964954376221
4000,diffusion,0.07935984432697296
4100,diffusion,0.058639395982027054
4200,diffusion,0.07186593860387802
4300,diffusion,0.08065780997276306
4400,diffusion,0.06938017904758453
4500,diffusion,0.05653393268585205
4600,diffusion,0.06928028166294098
4700,diffusion,0.07780033349990845
4800,diffusion,0.07318255305290222
4900,diffusion,0.0757821649312973
5000,diffusion,0.07078329473733902
5100,diffusion,0.06986479461193085
5200,diffusion,0.060192979872226715
5300,diffusion,0.07106634974479675
5400,diffusion,0.0704251229763031
5500,diffusion,0.06633832305669785
5600,diffusion,0.05568829923868179
5700,diffusion,0.08388116210699081
5800,diffusion,0.06219964846968651
5900,diffusion,0.060040973126888275
6000,diffusion,0.07481054961681366
6100,diffusion,0.06225305795669556
6200,diffusion,0.0650193840265274
6300,diffusion,0.08143921196460724
6400,diffusion,0.07329711318016052
6500,diffusion,0.051851943135261536
6600,diffusion,0.0719435065984726
6700,diffusion,0.0667138323187828
6800,diffusion,0.0639989897608757
6900,diffusion,0.05874893069267273
7000,diffusion,0.07548294961452484
7100,diffusion,0.06838114559650421
7200,diffusion,0.04225115850567818
7300,diffusion,0.07625384628772736
7400,diffusion,0.07661805301904678
7500,diffusion,0.06723137944936752
7600,diffusion,0.06629300117492676
7700,diffusion,0.0699610710144043
7800,diffusion,0.06694957613945007
7900,diffusion,0.06732608377933502
8000,diffusion,0.05905178189277649
8100,diffusion,0.07106322050094604
8200,diffusion,0.07057356089353561
8300,diffusion,0.07752007246017456
8400,diffusion,0.07701186835765839
8500,diffusion,0.07473744451999664
8600,diffusion,0.06933548301458359
8700,diffusion,0.051827527582645416
8800,diffusion,0.04383954033255577
8900,diffusion,0.07468763738870621
9000,diffusion,0.06645222753286362
9100,diffusion,0.06270824372768402
9200,diffusion,0.07154981046915054
9300,diffusion,0.053338129073381424
9400,diffusion,0.07503173500299454
9500,diffusion,0.0784325897693634
9600,diffusion,0.0634874552488327
9700,diffusion,0.08095043152570724
9800,diffusion,0.06911765784025192
9900,diffusion,0.07432372123003006
10000,diffusion,0.05161747708916664
10100,diffusion,0.08095897734165192
10200,diffusion,0.059963732957839966
10300,diffusion,0.06510795652866364
10400,diffusion,0.0608028918504715
10500,diffusion,0.06269367784261703
10600,diffusion,0.06755448877811432
10700,diffusion,0.07804019004106522
10800,diffusion,0.07099180668592453
10900,diffusion,0.06896025687456131
11000,diffusion,0.05949892848730087
11100,diffusion,0.05405246093869209
11200,diffusion,0.050347745418548584
11300,diffusion,0.07911652326583862
11400,diffusion,0.07182417809963226
11500,diffusion,0.06537129729986191
11600,diffusion,0.09191080927848816
11700,diffusion,0.063010074198246
11800,diffusion,0.08396608382463455
11900,diffusion,0.07808557897806168
12000,diffusion,0.07315250486135483
12100,diffusion,0.08576080203056335
12200,diffusion,0.06952688843011856
12300,diffusion,0.06726989150047302
12400,diffusion,0.06476563960313797
12500,diffusion,0.07320623099803925
12600,diffusion,0.06535641849040985
12700,diffusion,0.0542672798037529
12800,diffusion,0.0813283622264862
12900,diffusion,0.08360089361667633
13000,diffusion,0.0809408649802208
13100,diffusion,0.06713666021823883
13200,diffusion,0.06095868721604347
13300,diffusion,0.07117754220962524
13400,diffusion,0.08016814291477203
13500,diffusion,0.07172928750514984
13600,diffusion,0.06322852522134781
13700,diffusion,0.07331210374832153
13800,diffusion,0.0689016580581665
13900,diffusion,0.066866435110569
14000,diffusion,0.09700838476419449
14100,diffusion,0.07433433830738068
14200,diffusion,0.06333833932876587
14300,diffusion,0.06439070403575897
14400,diffusion,0.08058208227157593
14500,diffusion,0.05465593934059143
14600,diffusion,0.061267998069524765
14700,diffusion,0.06052646040916443
14800,diffusion,0.07319878041744232
14900,diffusion,0.061447326093912125
14999,diffusion,0.05891624838113785
