step,phase,loss_total,objective,grad_norm,control_rms,elapsed_sec
1,train,2000.2325439453125,19.877191605006445,9.146416549219344,0.34857913851737976,6.829148916061968
100,train,1016.5111694335938,4.33995021602459,3.305428998056272,0.23130036890506744,260.787721876055
200,train,342.3068542480469,2.5341576350983814,1.612335343225689,0.27882465720176697,505.16835720813833
300,train,888.3351440429688,3.8733770871476736,2.859098805901804,0.2287033647298813,748.4455043980852
400,train,279.0336608886719,1.9950820551166544,0.9032572671429749,0.26990774273872375,991.1695483021904
500,train,372.35052490234375,2.176718297369007,1.051754014262413,0.23908871412277222,1234.3549822501373
600,train,670.6195678710938,4.152818613198178,1.7568850916683627,0.23958232998847961,1477.3629298082087
700,train,604.8364868164062,2.5446980776141572,1.262917521155452,0.2648421823978424,1720.7677915079985
800,train,252.69845581054688,2.2006172768305987,1.0717168626916853,0.2753097116947174,1964.0039371519815
900,train,998.6573486328125,3.2093267616910452,0.6473939807919996,0.25596320629119873,2207.178551207995
1000,train,247.069580078125,2.4378207866757293,1.1497519250416943,0.27864909172058105,2450.952376177069
1100,train,991.139892578125,4.717605859834293,2.5879939743453364,0.23043446242809296,2694.4402628000826
1200,train,278.39324951171875,4.617451190610154,3.0804592278054077,0.31523939967155457,2938.6805951800197
1300,train,284.1788330078125,1.967935306187428,0.9848593991336732,0.25651174783706665,3184.1332420520484
1400,train,394.3324890136719,2.6940741494654503,1.4726135880192754,0.24987967312335968,3430.044883012073
1500,train,240.5533447265625,3.016241540397459,2.011964183750864,0.2911614179611206,3675.0327886531595
1600,train,179.88995361328125,2.3193254333855293,1.3502269414702144,0.28127098083496094,3920.782071063062
1700,train,808.23095703125,3.05323986968142,2.216403087259892,0.2215166985988617,4166.249445124064
1800,train,309.5320129394531,2.1835126509795373,1.1146466460289066,0.25526610016822815,4411.051326000132
1900,train,439.7646484375,3.2750482800183818,2.0554428961606726,0.28713059425354004,4656.849849660182
2000,train,861.0501708984375,2.6885565686243353,1.503417909044768,0.24502301216125488,4901.758334805025
2100,train,220.1173095703125,1.9723981751230895,0.577957571649836,0.2648846209049225,5146.972299561137
2200,train,352.603271484375,3.1742785245660343,1.9505973327401718,0.22792507708072662,5392.704656779068
2300,train,1518.8858642578125,7.227944567035593,4.873408083890957,0.20582394301891327,5638.475322265178
2400,train,1978.29833984375,9.040337269427255,5.516656434074866,0.19344283640384674,5884.031703089131
2500,train,249.47862243652344,2.1981143314842484,0.7768128174929315,0.2694525122642517,6129.586160513107
2600,train,341.1720886230469,5.315933477944782,3.8126795621191687,0.32218363881111145,6375.947031476069
2700,train,629.8999633789062,2.556989804670593,1.7745758063565582,0.26311102509498596,6622.015320991166
2800,train,1189.3067626953125,22.645659254274506,6.660383530948979,0.4295251965522766,6867.755195040023
2900,train,236.71669006347656,2.165296470215253,0.7438279302677702,0.2690829038619995,7113.670180102112
3000,train,1038.21240234375,3.0845771864078415,1.895947042572947,0.2362879067659378,7360.165263677016
