step,train_bce
50,0.692474
100,0.693218
150,0.693114
200,0.693228
250,0.693733
300,0.692185
350,0.692448
400,0.696054
450,0.693803
500,0.693144
550,0.693266
600,0.693337
650,0.693262
700,0.693948
750,0.700834
800,0.693401
850,0.693412
900,0.693215
950,0.692769
1000,0.691017
1050,0.693358
1100,0.690524
1150,0.693177
1200,0.693158
1250,0.692921
1300,0.692492
1350,0.693355
1400,0.692996
1450,0.69473
1500,0.693474
1550,0.694988
1600,0.693262
1650,0.694649
1700,0.692117
1750,0.696296
1800,0.693237
1850,0.687307
1900,0.69295
1950,0.690204
2000,0.694728
