seed,A1_path_mmd2,A2_terminal_mmd2,A3_increment_mmd2,A4_volatility_mmd,A5_terminal_swd,A6_path_swd,A7_cov_error,A8_mean_rmse,A9_std_error,A10_kurtosis_error,A11_acf_abs,A12_acf_sq,A13_disc_score_gru,A13_disc_score_mlp,A14_pred_score_gru,A14_pred_score_mlp,A15_sigma_corr,A15_sigma_rmse,B1_mean_path_rmse,B2_vol_path_rmse,B3_ks_logreturns,B4_skewness_error,B5_qq_rmse,B6_tail_qq_error,B7_acf_lag1_abs,compute_time_sec,B8_acf_lag1_sq,B9_rolling_vol_ks,B10_vol_of_vol_error,B11_terminal_ks,B12_tail_index_error,A16_logreturn_std_error,A17_abs_r_q95_error,A18_abs_r_q99_error,A19_kurtosis_ratio,A20_sigma_mean_error,A21_learned_oracle_sigma_corr,A22_acf_lag1_abs_error,A23_acf_lag1_sq_error,A24_rv_law_loss,A25_mean_path_rmse,A26_vol_path_rmse,A27_ks_logreturns,A28_skewness_error,A29_qq_rmse,A30_tail_qq_error,A31_rolling_vol_ks,A32_vol_of_vol_error,A33_terminal_ks,A34_hill_tail_index_error,B_log_ret_hist_funct,B_log_ret_hist_der,B_log_ret_hist_sec_der,B_qq_plot_funct,B_qq_plot_der,B_qq_plot_sec_der,B_acf_abs_r_funct,B_acf_abs_r_der,B_acf_abs_r_sec_der,B_acf_sq_r_funct,B_acf_sq_r_der,B_acf_sq_r_sec_der,B_roll_vol_hist_funct,B_roll_vol_hist_der,B_roll_vol_hist_sec_der,B_tail_surv_funct,B_tail_surv_der,B_tail_surv_sec_der
0,0.012861050529247908,0.011282288129700169,0.006672040725359096,0.2970000764134797,4.114729558540764,2.84451114160034,143.73609623732273,1.297231716181244,0.2503382235358116,0.11562695735654893,0.06007151179211284,0.06246822352370264,0.000458,0.002899,0.058567,0.058448,0.004605334754583296,0.09553903587472704,0.7951225270884841,3.2044462521757,0.05365903358759842,0.01963135220981501,0.002843594024492119,0.006282069046627389,0.14470127527719923,52.88,0.16872964137132188,0.3444069963160569,0.002110954568497994,0.0892333984375,9.285656800899158,0.0030146098449680796,0.00637212411802883,0.009807329646067831,1.9906811027563367,0.04419082660851828,0.004605334754583296,0.14356189515690637,0.16740106151800457,2.155926188849497,0.7951225270884841,3.2044462521757,0.05365903358759842,0.01963135220981487,0.0028435940244920556,0.0062820690466274115,0.3444069963160569,0.0021109545684979926,0.0892333984375,9.285656800899158,11.748359624636137,0.2107927373643063,0.254109746379799,8.775375927914864e-06,1.6798537595899764e-07,3.518965463018001e-08,0.002438215791869686,0.001333656623508834,0.0008310221426644322,0.002568757267213623,0.0016376232102071878,0.0010450841787443825,1221.2323972154861,11.72531268400251,1.1958187924793713,0.00581179279065138,6.948520012401926e-06,7.534708737500788e-08
1,0.011970318724984191,0.009699424300891268,0.006633875378964094,0.28726685688546894,3.6846407365390688,2.611015022647698,145.82844724468464,0.919935863956951,0.2516765272903053,0.11160462915763558,0.059462352841094135,0.06175376892497383,0.428593,0.001373,0.058561,0.057879,0.00454696473855727,0.09547708879905131,0.5148287121596468,3.296096064127422,0.0529544860359252,0.018399268983556878,0.0028286485828883895,0.006238911083263343,0.1430555603609947,47.87,0.16501701138303967,0.3433063786204269,0.002114630534098195,0.09375,9.200515067237143,0.003001430520858526,0.006318720400827878,0.009782835002424786,1.9977601542967771,0.04401550873471685,0.00454696473855727,0.14192913862586862,0.16371766483671654,2.1509554886042905,0.5148287121596468,3.296096064127422,0.0529544860359252,0.018399268983556843,0.0028286485828883704,0.0062389110832633795,0.3433063786204269,0.002114630534098194,0.09375,9.200515067237143,11.612538882486005,0.22829650718452285,0.34665930400118206,8.696728668571316e-06,1.7053597605564115e-07,3.844234546080906e-08,0.0024245008273794323,0.00130200100046913,0.000813896948360418,0.002516664476140023,0.0015613033315642092,0.0009890813371801715,1212.6275456145568,11.775471933971378,2.034330967607054,0.005745729530507674,6.879268407619637e-06,6.733848697766187e-08
2,0.010405629424317886,0.008549183478618827,0.006924321724663063,0.2968009273950976,3.675668391767058,2.582649647163028,142.90291049986,1.481939068279786,0.2485163262953276,0.11654348937504855,0.059639328951750475,0.06142359676926834,0.464297,0.008392,0.058542,0.058371,0.0015578445225117666,0.09567122412594133,0.9252645524269525,3.2959932940759775,0.05385799858513779,0.021737900942616066,0.002837850036565989,0.006245258898482298,0.14504267000318027,48.5,0.16721226330651687,0.34402093654725613,0.0021098547818115,0.09033203125,9.852525993094268,0.0030090146634855278,0.006327460659740276,0.009857237069511846,1.9876786014801289,0.04409927214813872,0.0015578445225117666,0.14390060173543873,0.16589563131197746,2.1552042434948806,0.9252645524269525,3.2959932940759775,0.05385799858513779,0.021737900942615934,0.0028378500365659363,0.006245258898482288,0.34402093654725613,0.002109854781811499,0.09033203125,9.852525993094268,11.773200058763207,0.23839523110065544,0.36225970870627144,8.765403893163433e-06,1.7610431011566136e-07,3.8356199964781826e-08,0.002409963321188762,0.0013189926424209534,0.0008201865927652745,0.0025056508406826475,0.0015824667069422372,0.001006363211598983,1217.6971731072654,11.803867790024757,1.4504485301103636,0.005803756215668218,6.916939699471777e-06,6.75496864233376e-08
3,0.01001845477730745,0.009214672748763919,0.006324513827403289,0.28205711876294776,3.1564247180393408,2.1667641376449307,139.92732693313036,1.0986360500914145,0.24907723498096235,0.12933771918640735,0.05872411708071079,0.06122418049021369,0.468874,0.012054,0.058607,0.058112,0.004780705965275243,0.09543876734709932,0.5595019341326827,3.208564332026734,0.053016001783956684,0.02489903719203808,0.0028156722478613937,0.006214298633658787,0.14478973496300462,48.04,0.16808425986551626,0.3430433816056911,0.0021058761251504104,0.0863037109375,9.981409499593692,0.002986581804023074,0.006291152110625423,0.009783880487986958,2.0121448660320436,0.043741235212561735,0.004780705965275243,0.14364965830975265,0.166760761756339,2.1410503671351293,0.5595019341326827,3.208564332026734,0.053016001783956684,0.02489903719203804,0.0028156722478613685,0.006214298633658713,0.3430433816056911,0.002105876125150409,0.0863037109375,9.981409499593692,11.384956446558418,0.22063607424250378,0.3110158511577071,8.628327064552112e-06,1.7371658193310887e-07,3.951384602254143e-08,0.0023727495315772865,0.0013209767865629864,0.0008420471684110932,0.0024952605259005575,0.0016100257943853819,0.0010500060065132997,1209.4889241734472,11.81540203614273,1.8934837721052624,0.005656097101902104,6.785931971706042e-06,6.44154067060152e-08
4,0.010526679688991902,0.012438051487702717,0.007740175077577849,0.3188125407373962,3.9169072607731636,2.4624508746766027,154.35869807187805,1.7087544562944714,0.24621631555950385,0.12026654040612783,0.05991798113761043,0.062419595714657286,0.007782,0.006561,0.05863,0.058176,0.007415132664874406,0.09541958972570053,0.9545454239751862,3.375061452785553,0.053581177718996065,0.028729010885122724,0.0028148548361647684,0.00620799703777008,0.14676444377034775,48.28,0.1701408793038494,0.34264640497967486,0.002098269499316051,0.10107421875,9.174790847590906,0.002983223437465151,0.006291820838025819,0.009707396611791777,1.956886033807953,0.04374673699203782,0.007415132664874406,0.14560881822884889,0.16880118734082702,2.1379931782211585,0.9545454239751862,3.375061452785553,0.053581177718996065,0.028729010885122648,0.002814854836164725,0.006207997037770183,0.34264640497967486,0.00209826949931605,0.10107421875,9.174790847590906,11.447415265124985,0.226094341082996,0.324578163339183,8.611338081158471e-06,1.6638809932273412e-07,3.586018196794644e-08,0.002474469527679295,0.001338557591647186,0.0008258909403621671,0.0026056203133027625,0.0016337911607303291,0.0010397597071790585,1207.5297325667598,11.943665434099634,2.299431732594015,0.005665652351275478,6.7881287104002904e-06,5.807126873473222e-08
