step,train_bce
50,0.693619
100,0.693884
150,0.695643
200,0.692813
250,0.689808
300,0.693369
350,0.693013
400,0.69261
450,0.693005
500,0.693165
550,0.694721
600,0.694158
650,0.692215
700,0.693917
750,0.693042
800,0.69303
850,0.691012
900,0.694373
950,0.693063
1000,0.69397
1050,0.693589
1100,0.689827
1150,0.695178
1200,0.693399
1250,0.693013
1300,0.693072
1350,0.693042
1400,0.692997
1450,0.692701
1500,0.692295
1550,0.693835
1600,0.692363
1650,0.693443
1700,0.693924
1750,0.692107
1800,0.69389
1850,0.694102
1900,0.69306
1950,0.692851
2000,0.693065
