metric,scope,mean,std,seed_0,seed_1,seed_2
A6_path_mmd2,native,0.00123293,0.00077194,0.0023204907204719127,0.0007713012640313543,0.0006069869732836519
A7_terminal_mmd2,native,0.00220663,0.00125836,0.003984821865207433,0.0012563516771610939,0.0013787247576733108
A8_increment_mmd2,native,1.536e-05,2.79e-06,1.8992117868599223e-05,1.488217590872587e-05,1.2218042739320367e-05
A9_volatility_mmd,native,0.00341888,0.00178517,0.0059432370632925835,0.0021870271832222787,0.002126362042048413
A10_terminal_swd,native,0.09545739,0.02431823,0.12878292006050981,0.08615134993115715,0.07143791425813728
A11_path_swd,native,0.06414894,0.01840789,0.08976524886645978,0.05535693574216246,0.04732463946875551
A20_cov_error,native,1.38919243,0.62426114,1.2721408517472426,2.20552897992648,0.6899074501416489
A25_mean_rmse,native,0.04805076,0.0288031,0.08756910416324291,0.019738629476244263,0.03684453772133767
A18_disc_score_gru,native,0.00800133,0.00432271,0.013426,0.00773,0.002848
A18_disc_score_mlp,native,0.01342567,0.00805489,0.022376,0.015053,0.002848
A1_kurtosis_error,per-asset-mean,383.32855451,290.32226659,247.6725055412332,115.5547241228445,786.7584338739728
A2_abs_r_q95_error,per-asset-mean,0.00020192,3.419e-05,0.0002400223645082723,0.00020864138773277207,0.00015709787768195996
A3_abs_r_q99_error,per-asset-mean,0.00047068,0.00018369,0.000543087965629799,0.0006505275547425537,0.00021842334684328622
A4_tail_qq_error,per-asset-mean,0.00021062,3.726e-05,0.0002506855802766518,0.0002202132311557978,0.0001609472407131458
A5_hill_tail_index_error,per-asset-mean,50.19030907,9.35575099,54.70896940401206,58.70044483860442,37.16151297642653
A12_rv_law_loss,per-asset-mean,0.00823617,0.00212323,0.009053072897557347,0.01033004540126134,0.005325377209257364
A13_mean_path_rmse,per-asset-mean,0.0120894,0.0057772,0.019774414665881465,0.00584491141421187,0.010648861038559129
A14_ks_logreturns,per-asset-mean,0.08908815,0.00074409,0.08811329919209315,0.0899187223179134,0.08923243725393701
A15_skewness_error,per-asset-mean,1.84509747,0.68213183,1.6823108776611968,1.103033947489181,2.749947591422037
A16_qq_rmse,per-asset-mean,0.00012846,1.353e-05,0.00013921653689020293,0.000136780625168467,0.0001093710826002038
A17_terminal_ks,per-asset-mean,0.04581706,0.00563731,0.05289713541666667,0.03910319010416667,0.04545084635416666
A21_acf_abs,per-asset-mean,0.01343896,0.00017874,0.013256508007437082,0.01337866560995421,0.013681698132436321
A22_acf_sq,per-asset-mean,0.00890781,0.00025198,0.009017892482828308,0.008559252629168646,0.009146272439597349
A23_acf_lag1_abs_error,per-asset-mean,0.01686819,0.00038205,0.016484989086660913,0.01738965824981005,0.016729917289557174
A24_acf_lag1_sq_error,per-asset-mean,0.01056523,0.00074439,0.010132556033963139,0.01161268778148546,0.009950444755707756
A26_std_error,per-asset-mean,0.01491386,0.00285604,0.01623732829560226,0.017556944574996337,0.010947315280980141
A27_logreturn_std_error,per-asset-mean,0.00014701,2.93e-05,0.00015929740255086537,0.00017514544831232902,0.00010659924972814313
A28_kurtosis_ratio,per-asset-mean,0.33628223,0.06561049,0.25483003143991084,0.3385211841734818,0.41549546180099917
A29_sigma_mean_error,per-asset-mean,0.00176588,0.0001379,0.0019170350438828697,0.001797041992849752,0.0015835778580805277
A30_vol_path_rmse,per-asset-mean,0.11542872,0.04273366,0.13982667214233382,0.15111297161746767,0.05534651513653967
