metric,asset,seed_0,seed_1,seed_2,mean
A12_rv_law_loss,0,0.0012310607637655258,0.0026874803144788287,0.0010371857155121193,0.00165191
A12_rv_law_loss,1,0.0017264017935052823,0.004608185627541818,0.0015979904912760046,0.00264419
A12_rv_law_loss,2,0.004376291347417918,0.007128169767480525,0.0033695840129936185,0.00495802
A12_rv_law_loss,3,0.019602499089030286,0.03011072877961802,0.019599212972502715,0.02310415
A12_rv_law_loss,4,0.01807879082849307,0.006097202658566149,0.0020990627028704325,0.00875835
A12_rv_law_loss,5,0.01644873599412081,0.016691859334054135,0.0018791189111967066,0.01167324
A12_rv_law_loss,6,0.00562589035474348,0.005314420283557479,0.006069202310447364,0.00566984
A12_rv_law_loss,7,0.0053349130093823935,0.010002316444793767,0.0069516605572599475,0.00742963
A13_mean_path_rmse,0,0.012789166825958384,0.00546331320690782,0.008244327781238138,0.00883227
A13_mean_path_rmse,1,0.016708109716319763,0.006200222868797075,0.009482997296690672,0.01079711
A13_mean_path_rmse,2,0.007627325821840242,0.003933426902782519,0.008461816244882571,0.00667419
A13_mean_path_rmse,3,0.024734553175847045,0.011146180991579487,0.010317729342478413,0.01539949
A13_mean_path_rmse,4,0.019982998725704068,0.004734368823172056,0.013609961132508933,0.01277578
A13_mean_path_rmse,5,0.03194216382970296,0.005172011241263981,0.009174637311588883,0.0154296
A13_mean_path_rmse,6,0.019380560829601608,0.005382696940226553,0.009729109195091935,0.01149746
A13_mean_path_rmse,7,0.02503043840207764,0.004727070338965468,0.016170310003993483,0.01530927
A14_ks_logreturns,0,0.046677636975065606,0.041910166502624635,0.03741439058398949,0.04200073
A14_ks_logreturns,1,0.03245980971128615,0.039882709973753205,0.05489767880577434,0.0424134
A14_ks_logreturns,2,0.17306430446194232,0.16469047326115482,0.15539903215223105,0.1643846
A14_ks_logreturns,3,0.12198316519028862,0.12563566272965887,0.12361076935695539,0.1237432
A14_ks_logreturns,4,0.10331826197506566,0.09045378116797909,0.08124948736876636,0.09167384
A14_ks_logreturns,5,0.0438966125328083,0.03841145833333337,0.0478156783136483,0.04337458
A14_ks_logreturns,6,0.0689822219488189,0.08952335547900264,0.09071522309711283,0.0830736
A14_ks_logreturns,7,0.11452438074146976,0.12884217109580054,0.12275723835301833,0.12204126
A15_skewness_error,0,1.2762129961954687,0.3923212500216119,0.9090769454926007,0.85920373
A15_skewness_error,1,1.6385103178671763,1.3426113602321108,0.5223277479753019,1.16781648
A15_skewness_error,2,0.9156188448518097,2.7136708687624105,0.5696800610702162,1.39965659
A15_skewness_error,3,3.8679353293278607,1.8079716086675808,16.839349275205088,7.5050854
A15_skewness_error,4,3.8350401624127906,1.5522750424498215,1.4447578517978525,2.27735769
A15_skewness_error,5,1.0168568945472907,0.6658527983577034,0.29980153720012337,0.66083708
A15_skewness_error,6,0.2031009202296388,0.26030154275916495,0.6144007483795952,0.35926774
A15_skewness_error,7,0.7052115558575406,0.08926710866304376,0.8001865642555173,0.53155508
A16_qq_rmse,0,1.1142554707663295e-05,2.969105709326809e-05,3.4039965302829685e-05,2.496e-05
A16_qq_rmse,1,3.18677218322364e-05,4.223547719470576e-05,5.36101445363067e-05,4.257e-05
A16_qq_rmse,2,0.00014292934883151361,0.00014783937894843974,0.0001191514936911209,0.00013664
A16_qq_rmse,3,0.0002727219312144746,0.00029958427633655144,0.00024739372472256673,0.00027323
A16_qq_rmse,4,0.0002053101233188482,9.10235321251868e-05,5.3487630187271356e-05,0.00011661
A16_qq_rmse,5,0.00019136724808764733,0.00019368894075459743,3.047741917826267e-05,0.00013851
A16_qq_rmse,6,9.153073702253048e-05,0.00010071944544272299,0.0001267095818479015,0.00010632
A16_qq_rmse,7,0.00016686263010670937,0.0001894628934522636,0.0002100987013353708,0.00018881
A17_terminal_ks,0,0.0556640625,0.0419921875,0.057291666666666685,0.05164931
A17_terminal_ks,1,0.05631510416666663,0.045572916666666685,0.06380208333333331,0.05523003
A17_terminal_ks,2,0.043294270833333315,0.02864583333333337,0.02311197916666663,0.03168403
A17_terminal_ks,3,0.0810546875,0.046223958333333315,0.06022135416666666,0.0625
A17_terminal_ks,4,0.06608072916666674,0.04166666666666663,0.041015625,0.04958767
A17_terminal_ks,5,0.02473958333333337,0.023111979166666657,0.026041666666666657,0.02463108
A17_terminal_ks,6,0.04036458333333334,0.05696614583333334,0.056966145833333315,0.05143229
