epoch,total_loss,reconstruction_loss,kl_loss,lr
0,570.1368575245142,158.7735023908317,93.81634658714756,0.001
1,114.32693161070347,28.171689547598362,29.811862986534834,0.001
2,98.45680432021618,22.46564044430852,31.05988283082843,0.001
3,92.8778498917818,20.270931899547577,32.06505413725972,0.001
4,91.73546367883682,19.833827167749405,32.233982272446156,0.001
5,92.12332716584206,19.76596816070378,32.82542271539569,0.001
6,90.71325369179249,19.572750702500343,31.99500146508217,0.001
7,90.71244032680988,19.36033207178116,32.63144424930215,0.001
8,89.90098404884338,19.126439228653908,32.52166632935405,0.001
9,89.76307420432568,19.085145154967904,32.50763854756951,0.001
10,90.28844729810953,19.10120396129787,32.98483522981405,0.001
11,89.3214504122734,18.80735009908676,32.89940012618899,0.001
12,88.90713573992252,18.530288580805063,33.31627004593611,0.001
13,88.42965272068977,18.37225043028593,33.312901359051466,0.001
14,89.01080204546452,18.5171749740839,33.45927709341049,0.001
15,88.47381366789341,18.47838001139462,33.038673754781485,0.001
16,88.45068018883467,18.32802899554372,33.466593246906996,0.001
17,88.28435429930687,18.268995713442564,33.47736704349518,0.001
18,88.01024520397186,18.12907174602151,33.62302989512682,0.001
19,87.7742197662592,17.949105735868216,33.926902774721384,0.001
20,87.42961518466473,18.04430383630097,33.296703815460205,0.001
21,87.26367077231407,17.74857947230339,34.017932306975126,0.001
22,87.63689158856869,17.903383703902364,33.926740512251854,0.001
23,87.38966379314661,17.732117246836424,34.19331215322018,0.001
24,87.46663683652878,17.74251589924097,34.23908918350935,0.001
25,86.74055936932564,17.605291279032826,33.92468562349677,0.001
26,87.48416128754616,17.61736812442541,34.63205673545599,0.001
27,87.08270408213139,17.51488523557782,34.53804812952876,0.001
28,86.61930991709232,17.49469213373959,34.13523348048329,0.001
29,86.55007000267506,17.462363677099347,34.16297899931669,0.001
30,87.13854579627514,17.58380782417953,34.38712242245674,0.001
31,86.29046605527401,17.419742077589035,34.03123991563916,0.001
32,86.30472786724567,17.30285748653114,34.39615549892187,0.001
33,87.14850476384163,17.461494648829103,34.76402059197426,0.001
34,86.33725592494011,17.286760224029422,34.4769752882421,0.001
35,87.03944608569145,17.453058356419206,34.68027125671506,0.001
36,86.04137919843197,17.253510182723403,34.280848771333694,0.001
37,86.00117483735085,17.22665397077799,34.32121282815933,0.001
38,86.230843141675,17.23247162811458,34.53342831879854,0.001
39,86.6828305721283,17.234175343066454,34.98030460998416,0.001
40,86.40952636301517,17.315986653789878,34.461566630750895,0.001
41,85.99944667518139,17.255408570170403,34.23322079330683,0.001
42,86.32688027620316,17.274576414376497,34.5031510964036,0.001
43,86.2474177852273,17.210161874070764,34.61693213507533,0.001
44,86.1381329447031,17.318167774006724,34.18362947553396,0.001
45,85.98397040367126,17.14678313024342,34.5436210334301,0.001
46,85.76134523749352,17.095406111329794,34.475127052515745,0.001
47,85.70043439418077,17.1028752643615,34.39180861786008,0.001
48,85.71270659565926,17.122124494984746,34.34633319079876,0.001
49,85.59098895639181,17.132953077554703,34.1921297237277,0.001
50,85.73304587602615,17.141012117266655,34.31000953167677,0.001
51,86.00235998630524,17.120967037975788,34.63945873081684,0.001
52,85.31807461380959,17.06903644837439,34.11096532642841,0.001
53,85.23993219435215,17.042711220681667,34.11179840192199,0.001
54,85.03955712914467,16.846612460911274,34.49971982091665,0.001
55,85.69164109230042,17.000016789883375,34.69159063696861,0.001
56,85.44649669528008,16.955281797796488,34.58065143600106,0.001
57,85.8394207060337,17.01650855317712,34.78989518806338,0.001
58,85.30152347683907,16.911650838330388,34.566570829600096,0.001
59,85.62077458202839,16.99568354524672,34.633723858743906,0.001
60,85.34461757540703,17.041143586859107,34.22118682786822,0.001
61,85.53064666688442,17.061675308272243,34.34562073275447,0.001
62,85.14065232872963,16.93036749213934,34.34954987093806,0.001
63,85.82441553473473,17.038195602595806,34.70982884988189,0.001
64,85.42882481217384,17.022848347201943,34.36027965694666,0.001
65,85.0611421763897,16.941153140738606,34.23768266662955,0.001
66,85.65423609316349,17.003566225990653,34.64353735372424,0.001
67,85.5196194499731,16.99771413207054,34.52647726610303,0.001
68,85.80733101069927,17.10601330921054,34.48929101228714,0.001
69,85.51799691468477,17.0513130184263,34.36405786499381,0.001
70,85.21330904960632,16.96797121874988,34.30939529836178,0.001
71,85.25304544717073,16.91229936480522,34.516147285699844,0.001
72,85.49376624822617,16.95130684413016,34.63984591513872,0.001
73,85.34592771530151,16.93347955495119,34.545488845556974,0.001
74,85.02059191465378,16.94196463562548,34.19469818845391,0.001
75,85.39738692343235,16.931405810639262,34.60316951945424,0.001
76,85.72551506757736,17.00101174786687,34.72247963398695,0.001
77,85.4787965118885,16.977716650813818,34.54564655944705,0.001
78,85.5568108856678,17.022098138928413,34.49051646143198,0.001
79,84.88214962184429,16.858570074662566,34.306439358741045,0.001
80,85.29524728655815,16.948215564712882,34.45060047879815,0.001
81,84.88543596863747,16.93716232664883,34.0739492289722,0.001
82,85.34410698711872,16.963582687079906,34.45335913449526,0.001
83,85.0072965323925,16.84924895130098,34.45954953506589,0.001
84,85.2852673381567,16.884361300617456,34.63218341767788,0.001
85,84.86857484281063,16.820566158741713,34.406876258552074,0.001
86,85.48978996276855,16.93493209220469,34.68499365076423,0.001
87,85.03637526929379,16.896671414375305,34.34636116400361,0.001
88,84.94347558915615,16.7586582750082,34.66750084236264,0.001
89,84.83043295145035,16.772851265966892,34.51187904179096,0.001
90,85.49220907688141,16.935139652341604,34.68679005280137,0.001
91,85.21177080273628,16.926802821457386,34.431362591683865,0.001
92,85.1891476213932,16.881623787805438,34.544276244938374,0.001
93,85.2006525695324,16.902656231075525,34.49268348142505,0.001
94,85.15416982769966,16.87424818240106,34.531425192952156,0.001
95,84.5577970892191,16.82691565901041,34.077050156891346,0.001
96,85.22380246222019,16.95170826651156,34.3686775714159,0.001
97,85.05262459814548,16.782866863533854,34.70402403175831,0.001
98,84.83934870362282,16.75656257197261,34.56966122984886,0.001
99,84.9074907451868,16.777362801134586,34.57540263980627,0.001
100,84.57472743093967,16.73104497976601,34.38159257173538,0.001
101,85.14749976992607,16.894479528069496,34.46406116336584,0.001
102,85.3997932523489,16.868654696270823,34.79382900521159,0.001
103,85.0614920258522,16.866590782999992,34.461719661951065,0.001
104,84.93847884237766,16.81064828298986,34.50653401762247,0.001
105,85.13744303584099,16.894887275993824,34.45278117060661,0.001
106,84.8366993740201,16.778693145141006,34.5006201826036,0.001
107,84.98413899540901,16.796839954331517,34.593619246035814,0.001
108,85.05605654418468,16.729597872123122,34.86726291850209,0.001
109,84.94452610611916,16.79132793098688,34.57054226472974,0.001
110,84.90790919959545,16.742974201217294,34.67898669838905,0.001
111,84.88850216567516,16.830429388210177,34.39721415936947,0.001
112,84.95902442932129,16.8256580196321,34.48205016553402,0.001
113,85.41005569696426,16.950586354359984,34.55829668790102,0.001
114,85.33790147304535,16.845763836055994,34.80060987174511,0.001
115,85.6089701205492,16.911627219989896,34.874088536947966,0.001
116,84.73298591375351,16.744040701538324,34.500863682478666,0.001
117,84.82260525226593,16.767682034522295,34.51955911144614,0.001
118,84.79785433411598,16.8623436819762,34.210823368281126,0.001
119,84.57460758090019,16.636589219793677,34.66483983397484,0.001
120,84.88478680700064,16.69319650158286,34.805197197943926,0.001
121,85.2564200013876,16.82187282666564,34.79080166295171,0.001
122,84.43056990206242,16.724200550466776,34.25796829536557,0.001
123,84.59635502099991,16.674270709976554,34.573542796075344,0.001
124,85.35195553302765,16.772905522957444,35.03323897346854,0.001
125,85.01726282387972,16.747649693861604,34.77431370690465,0.001
126,84.69932770729065,16.756527876481414,34.42974393442273,0.001
127,84.87818027287722,16.695081636309624,34.79293507710099,0.001
128,84.5394357740879,16.653546316549182,34.578796930611134,0.001
129,84.87941354513168,16.742036102339625,34.65330524370074,0.001
130,84.83992659300566,16.674821723252535,34.81546153873205,0.001
131,84.76014874875546,16.669525749981403,34.75157142803073,0.001
132,84.81322740018368,16.79148380458355,34.43877613916993,0.001
133,85.16211502254009,16.76745790615678,34.8597414419055,0.001
134,85.23464411497116,16.777516324073076,34.90209526568651,0.001
135,84.55488383769989,16.689383463934064,34.486733574420214,0.001
136,84.8573267608881,16.763486854732037,34.56686604395509,0.001
137,85.23487068712711,16.785975389182568,34.876944579184055,0.001
138,84.40793240815401,16.681449119001627,34.363584984093904,0.001
139,84.60384437441826,16.804432455450296,34.190547216683626,0.001
140,84.43313843756914,16.65285500138998,34.474573347717524,0.001
141,84.71394091844559,16.690218806266785,34.64328446611762,0.001
142,85.05043025314808,16.717437928542495,34.89811638742685,0.001
143,84.81259646266699,16.782027643173933,34.46651357039809,0.001
144,84.3835621997714,16.66417815349996,34.39102787151933,0.001
145,84.56884402036667,16.60203603282571,34.76273591443896,0.001
146,84.44193967431784,16.64727110415697,34.500126130878925,0.001
147,84.52721287310123,16.69105995632708,34.45403300970793,0.001
148,84.93779528141022,16.63705866597593,35.026619244366884,0.001
149,84.62416760623455,16.654815645888448,34.65972067415714,0.001
150,84.47682517766953,16.631586717441678,34.58206504955888,0.001
151,84.58989499509335,16.638423517346382,34.67462442070246,0.001
152,84.52053990215063,16.604905085638165,34.705824598670006,0.001
