step,loss
0,1.0054470300674438
1,0.9980378150939941
2,0.9763202667236328
3,0.9016327857971191
4,0.8312538862228394
5,0.7819961309432983
6,0.6528269052505493
7,0.6020689606666565
8,0.6244621276855469
9,0.48733460903167725
10,0.5384928584098816
11,0.4983783960342407
12,0.4371751546859741
13,0.43597057461738586
14,0.44742268323898315
15,0.38516008853912354
16,0.34039971232414246
17,0.2209898978471756
18,0.5113531947135925
19,0.6542534232139587
20,0.1919659525156021
21,0.5057382583618164
22,0.454652339220047
23,0.690600574016571
24,0.25208747386932373
25,0.3069964647293091
26,0.2949831783771515
27,0.5052351951599121
28,0.2630348205566406
29,0.27606678009033203
30,0.49082720279693604
31,0.44941842555999756
32,0.2850719094276428
33,0.25615209341049194
34,0.3111129105091095
35,0.3307383358478546
36,0.32212960720062256
37,0.11137454956769943
38,0.20742946863174438
39,0.3354858160018921
40,0.19983065128326416
41,0.40685486793518066
42,0.41717562079429626
43,0.4550084173679352
44,0.35527729988098145
45,0.21012815833091736
46,0.22520709037780762
47,0.5938851833343506
48,0.17068929970264435
49,0.16403190791606903
50,0.33628833293914795
51,0.2705429792404175
52,0.36142536997795105
53,0.3050283193588257
54,0.222490131855011
55,0.2944585680961609
56,0.32179906964302063
57,0.43740612268447876
58,0.20334717631340027
59,0.24040614068508148
60,0.28449246287345886
61,0.3966315686702728
62,0.30360621213912964
63,0.3137357831001282
64,0.3384389877319336
65,0.34383872151374817
66,0.3414877653121948
67,0.3333670496940613
68,0.391521155834198
69,0.19444888830184937
70,0.2757394313812256
71,0.24525941908359528
72,0.29682233929634094
73,0.4906703233718872
74,0.3959115147590637
75,0.3210678696632385
76,0.3804100751876831
77,0.2829166650772095
78,0.3932168185710907
79,0.16467350721359253
80,0.164744570851326
81,0.28682947158813477
82,0.32847559452056885
83,0.29224419593811035
84,0.3739436864852905
85,0.22274132072925568
86,0.38022270798683167
87,0.3610548973083496
88,0.1578097939491272
89,0.2094430774450302
90,0.3657626509666443
91,0.26195406913757324
92,0.35069718956947327
93,0.4264748990535736
94,0.5056107044219971
95,0.3688164949417114
96,0.18449410796165466
97,0.32569241523742676
98,0.2673833966255188
99,0.2979987859725952
100,0.2353040724992752
101,0.2085062861442566
102,0.3049653172492981
103,0.2632850408554077
104,0.1738487333059311
105,0.37683823704719543
106,0.35545283555984497
107,0.14609768986701965
108,0.465053528547287
109,0.1440390646457672
110,0.37693357467651367
111,0.29808610677719116
112,0.18392805755138397
113,0.20967794954776764
114,0.39194655418395996
115,0.43641403317451477
116,0.5557695627212524
117,0.35388728976249695
118,0.1976102590560913
119,0.24895033240318298
120,0.3654336929321289
121,0.286469042301178
122,0.22134530544281006
123,0.3686416745185852
124,0.3919263482093811
125,0.07847020030021667
126,0.32536453008651733
127,0.2826581299304962
128,0.22116276621818542
129,0.1732340157032013
130,0.43706437945365906
131,0.43543559312820435
132,0.18246066570281982
133,0.10982808470726013
134,0.299323171377182
135,0.2376450151205063
136,0.294123113155365
137,0.27292782068252563
138,0.2585207223892212
139,0.45193296670913696
140,0.32453614473342896
141,0.3182249069213867
142,0.30533045530319214
143,0.3058468699455261
144,0.2728961110115051
145,0.1723930388689041
146,0.31455814838409424
147,0.36950644850730896
148,0.17287945747375488
149,0.25084763765335083
150,0.1690402626991272
151,0.2862892746925354
152,0.2174912542104721
153,0.12017930299043655
154,0.33370643854141235
155,0.3720681667327881
156,0.27067670226097107
157,0.11985620111227036
158,0.34612104296684265
159,0.17432227730751038
160,0.3821600079536438
161,0.3238224387168884
162,0.11379721760749817
163,0.3105788230895996
164,0.33813801407814026
165,0.28999099135398865
166,0.24383042752742767
167,0.33411210775375366
168,0.18776951730251312
169,0.25457465648651123
170,0.25803208351135254
171,0.16245770454406738
172,0.38769227266311646
173,0.25221115350723267
174,0.3157600164413452
175,0.20206955075263977
176,0.5064492225646973
177,0.20172759890556335
178,0.26196950674057007
179,0.30908024311065674
180,0.229289248585701
181,0.1565108597278595
182,0.19192370772361755
183,0.3784860372543335
184,0.3263546824455261
185,0.17040684819221497
186,0.05492711067199707
187,0.14532241225242615
188,0.41514307260513306
189,0.2637864053249359
190,0.1452867090702057
191,0.21828967332839966
192,0.2699320912361145
193,0.22191740572452545
194,0.15938568115234375
195,0.2910696864128113
196,0.1832507997751236
197,0.4551066756248474
198,0.1905072033405304
199,0.40744781494140625
200,0.19227544963359833
201,0.36190682649612427
202,0.24446967244148254
203,0.21327079832553864
204,0.1940767914056778
205,0.1097445860505104
206,0.14664950966835022
207,0.2333773374557495
208,0.266673743724823
209,0.12569451332092285
210,0.13208483159542084
211,0.2832297384738922
212,0.17464888095855713
213,0.15307119488716125
214,0.22842669486999512
215,0.21616613864898682
216,0.44989389181137085
217,0.24807186424732208
218,0.22768667340278625
219,0.3921772241592407
220,0.2673110365867615
221,0.15591010451316833
222,0.21343709528446198
223,0.3982420861721039
224,0.10935045778751373
225,0.18076695501804352
226,0.20687556266784668
227,0.41904622316360474
228,0.26033926010131836
229,0.12034247815608978
230,0.3257380723953247
231,0.0731506198644638
232,0.35007208585739136
233,0.1269104778766632
234,0.2485555112361908
235,0.17606869339942932
236,0.30918508768081665
237,0.3452364206314087
238,0.20280104875564575
239,0.3078620433807373
240,0.16045036911964417
241,0.09930970519781113
242,0.33506202697753906
243,0.33578547835350037
244,0.2290477156639099
245,0.34089890122413635
246,0.19632336497306824
247,0.347088485956192
248,0.19186967611312866
249,0.09219808876514435
250,0.21751683950424194
251,0.2693840563297272
252,0.3266490697860718
253,0.22916480898857117
254,0.39704298973083496
255,0.2664472162723541
256,0.11036959290504456
257,0.27478522062301636
258,0.14735767245292664
259,0.043426014482975006
260,0.3316246271133423
261,0.50788414478302
262,0.24416664242744446
263,0.13848921656608582
264,0.1383606493473053
265,0.42316439747810364
266,0.19609251618385315
267,0.22965751588344574
268,0.2018667310476303
269,0.2386745810508728
270,0.28186720609664917
271,0.11118264496326447
272,0.26892364025115967
273,0.20569665729999542
274,0.3111106753349304
275,0.25601738691329956
276,0.32798847556114197
277,0.1715022474527359
278,0.16244551539421082
279,0.2839171886444092
280,0.3389779329299927
281,0.12128391861915588
282,0.3309308886528015
283,0.22235774993896484
284,0.26864439249038696
285,0.2693738043308258
