step,loss
0,0.9960838556289673
1,0.9929691553115845
2,0.9898984432220459
3,0.9371316432952881
4,0.8596459627151489
5,0.7567082643508911
6,0.6475898623466492
7,0.49379676580429077
8,0.4898132383823395
9,0.5027651190757751
10,0.49640092253685
11,0.6697015762329102
12,0.5065646171569824
13,0.4359436631202698
14,0.3230549693107605
15,0.41590356826782227
16,0.39810818433761597
17,0.4223833382129669
18,0.26996517181396484
19,0.4009575843811035
20,0.2803169786930084
21,0.24509382247924805
22,0.3392561078071594
23,0.2662205696105957
24,0.20506593585014343
25,0.40576988458633423
26,0.36697816848754883
27,0.36269038915634155
28,0.30779707431793213
29,0.18989112973213196
30,0.39245742559432983
31,0.28948909044265747
32,0.2816256284713745
33,0.3051949143409729
34,0.3388303518295288
35,0.4020148515701294
36,0.2939724326133728
37,0.5071861147880554
38,0.39382869005203247
39,0.3737766146659851
40,0.3365679085254669
41,0.28763464093208313
42,0.3478338122367859
43,0.29497861862182617
44,0.42565569281578064
45,0.20708845555782318
46,0.13407278060913086
47,0.23595675826072693
48,0.38713693618774414
49,0.31713181734085083
50,0.3282153010368347
51,0.23256930708885193
52,0.3090028762817383
53,0.3240271508693695
54,0.2637912929058075
55,0.22846290469169617
56,0.376997709274292
57,0.33931559324264526
58,0.2711295187473297
59,0.19154784083366394
60,0.32296398282051086
61,0.27710431814193726
62,0.40076225996017456
63,0.19493675231933594
64,0.25660616159439087
65,0.3277549743652344
66,0.11390737444162369
67,0.14054009318351746
68,0.13079386949539185
69,0.35789984464645386
70,0.20863065123558044
71,0.23747435212135315
72,0.1508195400238037
73,0.3053380846977234
74,0.2123579978942871
75,0.296175479888916
76,0.1827443242073059
77,0.30765795707702637
78,0.3028010427951813
79,0.0963568240404129
80,0.15074047446250916
81,0.34994134306907654
82,0.2693127393722534
83,0.05210397392511368
84,0.19122129678726196
85,0.15343397855758667
86,0.333935022354126
87,0.254996657371521
88,0.36192870140075684
89,0.22558772563934326
90,0.24003827571868896
91,0.3991958796977997
92,0.4043343961238861
93,0.36688536405563354
94,0.35813167691230774
95,0.4280881881713867
96,0.4181424379348755
97,0.233155757188797
98,0.12888801097869873
99,0.12909522652626038
100,0.3157569468021393
101,0.30428555607795715
102,0.28043437004089355
103,0.3054196238517761
104,0.2990254759788513
105,0.2004721760749817
106,0.33896103501319885
107,0.17030306160449982
108,0.3696696162223816
109,0.3926139771938324
110,0.3645826280117035
111,0.34983736276626587
112,0.22922903299331665
113,0.19653376936912537
114,0.30235666036605835
115,0.1751188337802887
116,0.40513932704925537
117,0.40842533111572266
118,0.167254239320755
119,0.24319449067115784
120,0.2654300034046173
121,0.29217368364334106
122,0.269948810338974
123,0.350040078163147
124,0.314591646194458
125,0.17277982831001282
126,0.2284940481185913
127,0.3657003343105316
128,0.2003062218427658
129,0.17932802438735962
130,0.32838112115859985
131,0.1976330429315567
132,0.20712196826934814
133,0.36875391006469727
134,0.307914137840271
135,0.27865153551101685
136,0.3796693980693817
137,0.27806973457336426
138,0.38741183280944824
139,0.31985312700271606
