epoch,avg_loss,min_loss,lr
0,0.24407185881500482,0.031147046014666557,0.001
1,0.1723737044048903,0.028818730264902115,0.001
2,0.15372161511913873,0.024007555097341537,0.001
3,0.1482182852778351,0.021642232313752174,0.001
4,0.14186243490257766,0.030691251158714294,0.001
5,0.14550233668705914,0.01923443004488945,0.001
6,0.1440750579095038,0.025224093347787857,0.001
7,0.14934793309294037,0.020543823018670082,0.001
8,0.13971394856343977,0.024657797068357468,0.001
9,0.14031863403943134,0.019723866134881973,0.001
10,0.13661242511079763,0.02243220992386341,0.001
11,0.13717044374061516,0.0223151296377182,0.001
12,0.13436659141734708,0.03025606833398342,0.001
13,0.13276668495018384,0.019231095910072327,0.001
14,0.13499952734127874,0.0318182110786438,0.001
15,0.13127522964714444,0.019420279189944267,0.001
16,0.13348651156775304,0.02099054679274559,0.001
17,0.1288881620275788,0.027455968782305717,0.001
18,0.13122517424199032,0.021698929369449615,0.001
19,0.12822647233770113,0.015260128304362297,0.001
20,0.13217191351941437,0.022662853822112083,0.001
21,0.12967912479871302,0.014824211597442627,0.001
22,0.1285605953562481,0.02794358879327774,0.001
23,0.13194226780251483,0.015779048204421997,0.001
24,0.13188531273772242,0.02361227385699749,0.001
25,0.13015460259339307,0.020205382257699966,0.001
26,0.13080417959827173,0.014108165167272091,0.001
27,0.1273648745373066,0.0243490319699049,0.001
28,0.13490020294193528,0.016896843910217285,0.001
29,0.13633217177448387,0.0127136604860425,0.001
30,0.13005101276212372,0.016677916049957275,0.001
31,0.12757420761408866,0.01762939617037773,0.001
32,0.12354201574999024,0.01448996365070343,0.001
33,0.1266182701820071,0.014323354698717594,0.001
34,0.13290365477769228,0.015291010029613972,0.001
35,0.12845403957908275,0.01096445880830288,0.001
36,0.1316634846953093,0.019146792590618134,0.001
37,0.12922727757904795,0.02826911024749279,0.001
38,0.12822570119533339,0.020343884825706482,0.001
39,0.12766142996770213,0.028341324999928474,0.001
40,0.127899790986703,0.014290722087025642,0.001
41,0.13005122500180732,0.021243903785943985,0.001
42,0.12667698866061983,0.019129248335957527,0.001
43,0.12686026426308672,0.016465505585074425,0.001
44,0.12603845226112753,0.012894196435809135,0.001
45,0.1263391023312579,0.023982906714081764,0.001
46,0.13104596712219063,0.024404725059866905,0.001
47,0.12714442289507133,0.0174645334482193,0.001
48,0.12603021694667405,0.012444933876395226,0.001
49,0.1245359124877723,0.020747873932123184,0.001
50,0.12435027479841665,0.012426541186869144,0.001
51,0.13108678860589862,0.017717109993100166,0.001
52,0.12848436759304604,0.02563110738992691,0.001
53,0.12385084794004797,0.01899096369743347,0.001
54,0.12603213887268794,0.020575344562530518,0.001
55,0.13022195278244908,0.022654447704553604,0.001
56,0.12714098807919072,0.021887723356485367,0.001
57,0.12597791929147206,0.008542800322175026,0.001
58,0.12520072936968063,0.008965807035565376,0.001
59,0.12509689865328255,0.010798683390021324,0.001
60,0.12528742428912665,0.017486942932009697,0.001
61,0.12767708470710204,0.01864180527627468,0.001
62,0.12405391128413612,0.014728883281350136,0.001
63,0.12473486084491014,0.015725716948509216,0.001
64,0.1235286108985747,0.012381572276353836,0.001
65,0.12716454931432963,0.01817268505692482,0.001
66,0.1270074091880815,0.018775248900055885,0.001
67,0.12777532275140402,0.02612932026386261,0.001
68,0.1234317635462503,0.008175835013389587,0.001
69,0.12603756788303144,0.025886934250593185,0.001
70,0.1249789328139741,0.018206726759672165,0.001
71,0.12334953858953668,0.021565992385149002,0.001
72,0.12483542505651712,0.01673002913594246,0.001
73,0.12710889815571136,0.02050318941473961,0.001
74,0.12379021422748337,0.011820850893855095,0.001
75,0.12395883968201815,0.021896902471780777,0.001
76,0.12768052801402519,0.021571142598986626,0.001
77,0.12264289226732217,0.016137126833200455,0.001
78,0.12744961526914267,0.016877125948667526,0.001
79,0.12435070033825468,0.017536573112010956,0.001
80,0.12518494055620977,0.021374115720391273,0.001
81,0.12362012200901518,0.020790811628103256,0.001
82,0.1241254822434712,0.013901046477258205,0.001
83,0.12348320794990286,0.019599253311753273,0.001
84,0.12635326734016417,0.022399330511689186,0.001
85,0.1261345309612807,0.015976296737790108,0.001
86,0.13101295449996542,0.01105827558785677,0.001
87,0.12744493012723979,0.011434011161327362,0.001
88,0.12087781793161412,0.016410445794463158,0.001
89,0.12127140144366422,0.011927984654903412,0.001
90,0.12354597862758965,0.01369111891835928,0.001
91,0.1287475634344446,0.010274270549416542,0.001
92,0.12590633213767433,0.02064945176243782,0.001
93,0.12553253747319104,0.012979516759514809,0.001
94,0.12706373885339417,0.014614650048315525,0.001
95,0.1264510077999148,0.024615593254566193,0.001
96,0.12591843376503675,0.017549652606248856,0.001
97,0.12828645686022355,0.0161113403737545,0.001
98,0.12302248628839152,0.01644040457904339,0.001
99,0.12791423675662372,0.01566566899418831,0.001
100,0.12388433212254313,0.01600063033401966,0.001
101,0.1241701341496082,0.01952054724097252,0.001
102,0.12355821545861545,0.025799347087740898,0.001
103,0.12383274817693746,0.014940110966563225,0.001
104,0.1319663523499912,0.01718151941895485,0.001
105,0.12437548544767196,0.016749057918787003,0.001
106,0.1273402624647133,0.018094828352332115,0.001
107,0.11971026757237269,0.009504055604338646,0.001
108,0.126469662078307,0.02101055160164833,0.001
109,0.12546273386033135,0.017860524356365204,0.001
110,0.12416700273024617,0.01646256074309349,0.001
111,0.12510257173562422,0.018749194219708443,0.001
112,0.12047605430780095,0.023764796555042267,0.001
113,0.12342515489945072,0.015047874301671982,0.001
114,0.12492780564207351,0.022990308701992035,0.001
115,0.12672310693233158,0.022326309233903885,0.001
116,0.12473371047599358,0.02272360399365425,0.001
117,0.12423121193933184,0.012739917263388634,0.001
118,0.12136370618827641,0.021266860887408257,0.001
119,0.12162852414257941,0.019261231645941734,0.001
120,0.12648528888166766,0.01766524463891983,0.001
121,0.12360766444544424,0.014155406504869461,0.001
122,0.1278071387368982,0.015581565909087658,0.001
123,0.12504986337080481,0.01836613565683365,0.001
124,0.12557536365784472,0.019515402615070343,0.001
125,0.1259246736226487,0.025540752336382866,0.001
126,0.12488363815282355,0.016025256365537643,0.001
127,0.12439878112854785,0.011099288240075111,0.001
128,0.1209843277320033,0.015311330556869507,0.001
129,0.12033595158936805,0.0194021537899971,0.001
130,0.12547910546709318,0.025647806003689766,0.001
131,0.12034526241041021,0.01840594783425331,0.001
132,0.12164271286383155,0.021137047559022903,0.001
133,0.12684201343472523,0.014669042080640793,0.001
134,0.12668652728098095,0.02347208559513092,0.001
135,0.12508970782801043,0.02048180066049099,0.001
136,0.12222124874824658,0.02131728082895279,0.001
137,0.12343614971905481,0.015690423548221588,0.001
138,0.12401099103590241,0.015491887927055359,0.001
139,0.1246264109868207,0.011651141569018364,0.001
140,0.12352181997266598,0.026796121150255203,0.001
141,0.12152962470281636,0.029374685138463974,0.001
142,0.1214052202521998,0.017858009785413742,0.001
143,0.13041129990233458,0.022095413878560066,0.001
144,0.12198391064521275,0.017955608665943146,0.001
145,0.12335959276060748,0.014184840954840183,0.001
146,0.12332033170423529,0.015384982340037823,0.001
147,0.12180695518327411,0.018375007435679436,0.001
148,0.12289478475577198,0.02102559618651867,0.001
149,0.1234300455362245,0.01927116885781288,0.001
150,0.12020793657575268,0.017014577984809875,0.0001
151,0.11943725335368072,0.012229684740304947,0.0001
152,0.12115105152770411,0.020662933588027954,0.0001
153,0.12069699102903542,0.005939665250480175,0.0001
154,0.11729835317055404,0.015134734101593494,0.0001
155,0.11812145535623131,0.008099852129817009,0.0001
156,0.1233041414852778,0.016929572448134422,0.0001
157,0.11925482406513765,0.01721496693789959,0.0001
158,0.11798121774336323,0.015676332637667656,0.0001
159,0.12030790953213,0.017787691205739975,0.0001
160,0.11602765703355544,0.013898191973567009,0.0001
161,0.11801049431596766,0.014198943972587585,0.0001
162,0.12358868366936804,0.01870625652372837,0.0001
163,0.11714012430093135,0.01950070448219776,0.0001
164,0.11476012397542945,0.016853628680109978,0.0001
165,0.11993063738555065,0.017291102558374405,0.0001
166,0.1145982867492421,0.020698705688118935,0.0001
167,0.1159854647157772,0.023166168481111526,0.0001
168,0.11680275936669204,0.020665239542722702,0.0001
169,0.12419316171508399,0.01763073354959488,0.0001
170,0.12036140852069366,0.01905956119298935,0.0001
171,0.12404902643538662,0.016977202147245407,0.0001
172,0.11614877749343577,0.014962720684707165,0.0001
