epoch,avg_loss,min_loss,lr
0,0.2774560968755395,0.04520400986075401,0.001
1,0.1880813072421006,0.043618328869342804,0.001
2,0.17624229168359307,0.027289295569062233,0.001
3,0.1755943749230937,0.042169004678726196,0.001
4,0.17290394187148195,0.035677410662174225,0.001
5,0.16685462098394055,0.031958408653736115,0.001
6,0.1697704482867266,0.03612034395337105,0.001
7,0.16705835981701966,0.041123099625110626,0.001
8,0.16465821230667643,0.03550956770777702,0.001
9,0.16233640976497554,0.02225825935602188,0.001
10,0.16706334582704585,0.04230330139398575,0.001
11,0.16598505801084684,0.037995681166648865,0.001
12,0.15855041662143776,0.026613909751176834,0.001
13,0.15756984040490352,0.02053728699684143,0.001
14,0.15826330448908266,0.04169110208749771,0.001
15,0.1596433182276087,0.027871914207935333,0.001
16,0.16002757322712569,0.016762055456638336,0.001
17,0.15634297974975198,0.021307900547981262,0.001
18,0.163079529251263,0.02594582736492157,0.001
19,0.16102961485012202,0.021281246095895767,0.001
20,0.15627013470657403,0.03215344250202179,0.001
21,0.1542058229824761,0.022917501628398895,0.001
22,0.15699006309296237,0.03350839018821716,0.001
23,0.16016206529457122,0.028880055993795395,0.001
24,0.1588289411374717,0.01854601502418518,0.001
25,0.15751265257858904,0.03936571627855301,0.001
26,0.15702782306470908,0.02671576663851738,0.001
27,0.1528586666318006,0.02898140251636505,0.001
28,0.1592567901898292,0.03974205255508423,0.001
29,0.1531592877872754,0.03651593253016472,0.001
30,0.1595523526011675,0.020264875143766403,0.001
31,0.155473536469799,0.025991979986429214,0.001
32,0.154221122211311,0.030730046331882477,0.001
33,0.15422065967868548,0.03278757631778717,0.001
34,0.155365307808097,0.026348955929279327,0.001
35,0.15660309856320964,0.025063592940568924,0.001
36,0.15291781804626225,0.019141988828778267,0.001
37,0.15487033138924744,0.029283564537763596,0.001
38,0.15666840305857477,0.02438323386013508,0.001
39,0.14920499570507673,0.017603473737835884,0.001
40,0.15372757097065914,0.03193007409572601,0.001
41,0.15628363432188053,0.02539888769388199,0.001
42,0.1570761333714472,0.03116222470998764,0.001
43,0.15858994392328896,0.017559437081217766,0.001
44,0.15421373422577744,0.03574426472187042,0.001
45,0.1570226425974397,0.03509846329689026,0.001
46,0.15528867840839666,0.021831482648849487,0.001
47,0.15299652113753837,0.034193187952041626,0.001
48,0.15447553597186925,0.02723221480846405,0.001
49,0.15402701530547347,0.02744431048631668,0.001
50,0.1492469117292785,0.03246910497546196,0.001
51,0.1535306555306306,0.03729422762989998,0.001
52,0.15365233035117853,0.011547565460205078,0.001
53,0.15367788200819632,0.020446542650461197,0.001
54,0.1546334530285094,0.03227357193827629,0.001
55,0.1516235144044913,0.029390506446361542,0.001
56,0.1488345373654738,0.0242605023086071,0.001
57,0.15192151660448872,0.01920345053076744,0.001
58,0.15291996314772405,0.03307328373193741,0.001
59,0.15053594801429426,0.021183285862207413,0.001
60,0.15042922092834488,0.02702793851494789,0.001
61,0.15269942249869928,0.032397933304309845,0.001
62,0.15175430099043297,0.029486149549484253,0.001
63,0.1528898524993565,0.02905997261404991,0.001
64,0.1561650216972339,0.03900021314620972,0.001
65,0.15129041001637233,0.022904496639966965,0.001
66,0.15171741162339458,0.03581240773200989,0.001
67,0.1484241716862016,0.030772199854254723,0.001
68,0.15340053192630876,0.031635582447052,0.001
69,0.14838867081562057,0.025741837918758392,0.001
70,0.15816479118802818,0.027806837111711502,0.001
71,0.1549023058032617,0.03956468030810356,0.001
72,0.15338814075221308,0.033532626926898956,0.001
73,0.1507349202838668,0.018808750435709953,0.001
74,0.14921497240720782,0.026067253202199936,0.001
75,0.15627313343065907,0.029578162357211113,0.001
76,0.15560926431498956,0.01849593222141266,0.001
77,0.15289730575022986,0.040431246161460876,0.001
78,0.15814956062968122,0.029109027236700058,0.001
79,0.15595117447446682,0.030221661552786827,0.001
80,0.15530120392213576,0.02691381424665451,0.001
81,0.15390443032811163,0.02994748204946518,0.001
82,0.1519027754329727,0.02250364050269127,0.001
83,0.15035498641736922,0.021240441128611565,0.001
84,0.15169976670586038,0.0332556813955307,0.001
85,0.14909417314993334,0.02288035675883293,0.001
86,0.15607149928837316,0.022244539111852646,0.001
87,0.15697281362736248,0.024845704436302185,0.001
88,0.1538562222776818,0.028627894818782806,0.001
89,0.1528421003895346,0.02996477484703064,0.001
90,0.15285745291112107,0.01544223539531231,0.001
91,0.1561782507924363,0.017509102821350098,0.001
92,0.15441498742075055,0.01931183971464634,0.001
93,0.15551077132113278,0.030843570828437805,0.001
94,0.15407362496989663,0.0307337436825037,0.001
95,0.1512550590232422,0.029024900868535042,0.001
96,0.1547253059761715,0.028951488435268402,0.001
97,0.15380298904347,0.023263275623321533,0.001
98,0.14963464377069613,0.024174001067876816,0.001
99,0.1568129442021018,0.03368859738111496,0.001
100,0.14843345380359096,0.021335843950510025,0.001
101,0.1536083681130549,0.026911724358797073,0.001
102,0.1526733964055893,0.02509348839521408,0.001
103,0.15410407638410106,0.03212343528866768,0.001
104,0.15154001245537074,0.023399237543344498,0.001
105,0.1539070753606211,0.03115357644855976,0.001
106,0.15419340380321955,0.019199885427951813,0.001
107,0.150232956311811,0.023876715451478958,0.001
108,0.1495286404460785,0.025991298258304596,0.001
109,0.15169856600550702,0.02105548605322838,0.001
110,0.1505553038805374,0.032891031354665756,0.001
111,0.15229765603726264,0.027527522295713425,0.001
112,0.1532219202053966,0.028014831244945526,0.001
113,0.15310529932321515,0.029819529503583908,0.001
114,0.1541977165325079,0.024498265236616135,0.001
115,0.14999435765639646,0.03126157075166702,0.001
116,0.1517704893121845,0.020693812519311905,0.001
117,0.150002794664033,0.028005966916680336,0.001
118,0.1516609038808383,0.02374015748500824,0.001
119,0.1509712870538351,0.03967689722776413,0.001
120,0.15167808101614355,0.011520056053996086,0.001
121,0.15367885354862665,0.0216879453510046,0.001
122,0.14931454664474586,0.009311459958553314,0.001
123,0.15058543951818137,0.017522631213068962,0.001
124,0.15293753057994763,0.030414318665862083,0.001
125,0.15241578088898677,0.018333667889237404,0.001
126,0.15381573275953997,0.022666022181510925,0.001
127,0.15259669189617853,0.020120033994317055,0.001
128,0.1547233751261956,0.03309056535363197,0.001
129,0.15531371926772408,0.018540862947702408,0.001
130,0.1551719094350119,0.03998250514268875,0.001
131,0.15114180334057892,0.021948741748929024,0.001
132,0.15417319035623223,0.023468289524316788,0.001
133,0.15287768752750708,0.02611643448472023,0.001
134,0.14775618697603932,0.02185364067554474,0.001
135,0.1528447857417632,0.038268692791461945,0.001
136,0.15015751413011458,0.019106216728687286,0.001
137,0.15514344292023452,0.04018111899495125,0.001
138,0.14727740615489893,0.025932006537914276,0.001
139,0.1526136440152186,0.022450294345617294,0.001
140,0.14983326100627892,0.02690218761563301,0.001
141,0.14894310183808557,0.025406338274478912,0.001
142,0.15432557943131542,0.022283490747213364,0.001
143,0.14952615543006686,0.024149572476744652,0.001
144,0.1481117764778901,0.02460636757314205,0.001
145,0.14523394707066473,0.02339346706867218,0.001
146,0.14670585851126816,0.030022673308849335,0.001
147,0.15324692270951346,0.022501744329929352,0.001
148,0.15379886891605565,0.03532843664288521,0.001
149,0.1518027638157946,0.03123893216252327,0.001
150,0.15039209311726154,0.02934541180729866,0.0001
151,0.1454494853860524,0.03025161474943161,0.0001
152,0.15528108699800214,0.03151476010680199,0.0001
153,0.14412099240144016,0.02322389930486679,0.0001
154,0.14861643637050292,0.021568188443779945,0.0001
155,0.15112039772066055,0.02275235205888748,0.0001
156,0.1484479156351881,0.02511563152074814,0.0001
157,0.1515356255658844,0.019449811428785324,0.0001
158,0.14687710222278838,0.027807531878352165,0.0001
159,0.1501446994188882,0.03006513975560665,0.0001
160,0.15138407121412456,0.019299566745758057,0.0001
161,0.15011211018281756,0.02876890078186989,0.0001
162,0.14744122070624144,0.01606954075396061,0.0001
163,0.1457348234434903,0.029120944440364838,0.0001
164,0.14743419223668752,0.023568768054246902,0.0001
165,0.1437624726604554,0.030874837189912796,0.0001
166,0.1474874795494543,0.030311068519949913,0.0001
167,0.14608108143147547,0.03752243518829346,0.0001
168,0.14977861719671637,0.017870314419269562,0.0001
169,0.14750164217548445,0.025598958134651184,0.0001
170,0.1494374554240494,0.023776475340127945,0.0001
171,0.1497605726472102,0.02285509929060936,0.0001
172,0.14881320721906377,0.022321440279483795,0.0001
173,0.14620855994144222,0.030373837798833847,0.0001
174,0.15034306101006223,0.03317878395318985,0.0001
175,0.1477882084545854,0.022110139951109886,0.0001
176,0.1508633468656626,0.030239304527640343,0.0001
177,0.14892849117313745,0.031261149793863297,0.0001
178,0.145876431142824,0.016807591542601585,0.0001
179,0.1473705212774803,0.026292888447642326,0.0001
180,0.14420523330772994,0.03021005168557167,1e-05
181,0.14451131025271025,0.02600598707795143,1e-05
182,0.14597525729914196,0.019406035542488098,1e-05
183,0.1460111990054429,0.023241722956299782,1e-05
184,0.14812527653703,0.032120976597070694,1e-05
185,0.1485641493127332,0.023771462962031364,1e-05
186,0.14938001196060213,0.028593160212039948,1e-05
187,0.14785100377048366,0.018371880054473877,1e-05
188,0.1521324671775801,0.03181137144565582,1e-05
189,0.15608142218115972,0.03811315447092056,1e-05
190,0.14776459902350325,0.015457339584827423,1e-05
191,0.14939315077936044,0.025411002337932587,1e-05
192,0.150595536637411,0.02720765769481659,1e-05
193,0.148482897253416,0.02826445922255516,1e-05
194,0.15160194013878936,0.02989547699689865,1e-05
195,0.1485091128924978,0.026178967207670212,1e-05
196,0.14518939432309708,0.01755443587899208,1e-05
197,0.14453802693242324,0.028010567650198936,1e-05
198,0.1469392253566184,0.02315046638250351,1e-05
199,0.15262696868376224,0.025852004066109657,1e-05
