step,phase,loss_total,objective,grad_norm,control_rms,elapsed_sec
1,train,70623.375,25.2929105758667,1.8341776509355416,0.6194851398468018,11.662526326952502
100,train,64.34305572509766,11.011900901794434,0.20611103691163737,0.4030117988586426,1033.7864675149322
200,train,29.2935733795166,12.592662811279297,0.1164202064949295,0.4606379568576813,2066.161504775984
300,train,181.16627502441406,12.280877590179443,0.23447081339205778,0.4551701247692108,3098.392182179028
400,train,8977.9326171875,15.137674331665039,0.48590588025960124,0.5379860997200012,4130.715933921048
500,train,503.72198486328125,14.743696689605713,0.33329772337645774,0.5320914387702942,5163.011747312034
600,train,1823.5235595703125,17.04567813873291,0.6928364661770037,0.5791202783584595,6195.429710093886
700,train,271.58013916015625,14.902942657470703,0.20381873320647223,0.5319798588752747,7227.65981923393
800,train,1912.342529296875,13.573620319366455,0.38869028218367885,0.49815472960472107,8259.975572630996
900,train,4688.1455078125,15.995543003082275,0.7123931705586471,0.5562176704406738,9292.262959295884
1000,train,211279712.0,13.32921028137207,70.50672958599775,0.4934637248516083,10324.591574162012
1100,train,21171.7421875,14.37667465209961,1.0386892404527281,0.510271430015564,11356.97633096599
1200,train,189.17967224121094,13.747557163238525,0.19038067045304666,0.5016457438468933,12389.374878403964
1300,train,302.67889404296875,14.036200523376465,0.21723838673553625,0.5063379406929016,13421.602208765922
1400,train,684.968505859375,14.742586135864258,0.2007503758707996,0.5338009595870972,14453.918329964858
1500,train,4920.7763671875,17.95541763305664,0.8363481371127013,0.5919027924537659,15486.25874630292
1600,train,4827.16552734375,14.552128791809082,0.32290051916307716,0.5291630625724792,16518.539165441878
1700,train,75.47500610351562,17.39054012298584,0.5591319725438867,0.5882998108863831,17550.925551292952
1800,train,1192.89013671875,16.18850326538086,0.3074190926966601,0.5634861588478088,18583.233493754873
1900,train,149.24948120117188,16.439841747283936,0.29918716648344684,0.5690645575523376,19615.555996706942
2000,train,118.6241455078125,13.360952854156494,0.3266245257267859,0.4842352867126465,20648.080651501892
2100,train,1370.065185546875,14.071608543395996,0.2468468289988925,0.5112816095352173,21680.496013071854
2200,train,1070.9173583984375,16.459117889404297,0.4051867444578525,0.5614361763000488,22713.06812874996
2300,train,8787.2587890625,14.728138446807861,0.6361166684831651,0.5248743891716003,23745.866121071856
2400,train,577.3724975585938,15.656675815582275,0.15744487103213073,0.5542624592781067,24777.82583392295
2500,train,718.5956420898438,13.548815250396729,0.23762046704769868,0.501967191696167,25809.254258699948
2600,train,81.06982421875,14.25738525390625,0.3420301696611289,0.513978123664856,26838.643026748905
2700,train,380614.0625,13.945738792419434,3.066133462820622,0.5123411417007446,27869.10419279686
2800,train,22836.60546875,13.960006713867188,0.9479760259419895,0.5029619336128235,28899.364547878038
2900,train,11922.138671875,14.371005535125732,0.37487560939714654,0.5283159613609314,29929.978916889988
3000,train,292.23333740234375,13.569628238677979,0.37186711894792496,0.5014464259147644,30959.418022415834
