step,phase,loss_total,discrepancy_objective,complete_objective,running_cost,grad_norm,mmd_observed_path,mmd_increments,mmd_terminal,mmd_global_rv,mmd_abs_return_acf,mmd_squared_return_acf
1,source,704.3229370117188,2.2087008953094482,2.2087008953094487,5.814238496652043e-16,4.0446510242679246,0.0004233121871948242,7.62939453125e-06,0.00036275386810302734,0.0076029300689697266,0.0028183460235595703,0.004578769207000732
100,source,425.2205810546875,2.0052225589752197,2.007552628405392,0.0023300694301724434,8.720107818396157,0.00025773048400878906,7.033348083496094e-06,0.00017404556274414062,0.002657294273376465,0.0030863285064697266,0.032438039779663086
200,source,248.34890747070312,1.567492961883545,1.568421041360125,0.0009280794765800238,11.277923560490576,0.00010192394256591797,6.4373016357421875e-06,0.00023066997528076172,0.0039310455322265625,0.0028100013732910156,0.00538027286529541
300,source,944.000244140625,2.1704142093658447,2.171999213285744,0.0015850039198994637,45.92085898425058,0.0007752180099487305,8.821487426757812e-06,0.0007710456848144531,0.005627155303955078,0.002309083938598633,0.005256772041320801
400,source,2486.0107421875,3.627676248550415,3.632247752510011,0.004571503959596157,69.92372347727279,0.001177072525024414,7.152557373046875e-06,0.0014846324920654297,0.011520028114318848,0.0022019147872924805,0.0044672489166259766
500,source,1051.6702880859375,2.2184863090515137,2.21970393252559,0.0012176234740763903,36.502598532637506,0.0007941722869873047,7.271766662597656e-06,0.0012360811233520508,0.004225015640258789,0.002366304397583008,0.0071866512298583984
600,source,830.0075073242188,2.296464681625366,2.2995084498543292,0.0030437682289630175,42.03909311805635,0.00030922889709472656,9.059906005859375e-06,0.00015878677368164062,0.005532503128051758,0.0022735595703125,0.008366227149963379
700,source,264.9415283203125,1.3494890928268433,1.3510090709896758,0.0015199781628325582,20.183261561110264,0.00019848346710205078,6.4373016357421875e-06,0.00014209747314453125,0.001850128173828125,0.0022420883178710938,0.00510716438293457
800,source,290.3013000488281,1.7013592720031738,1.70256064273417,0.001201370730996132,14.837719569212585,0.00016129016876220703,8.463859558105469e-06,0.00011491775512695312,0.004058122634887695,0.0027980804443359375,0.0072290897369384766
900,source,447.7137451171875,1.6633039712905884,1.6661952887661755,0.0028913174755871296,30.037987494610448,0.00010395050048828125,7.510185241699219e-06,0.00026607513427734375,0.0030624866485595703,0.0020418167114257812,0.005270540714263916
1000,source,314.2990417480469,1.3969978094100952,1.3986820501741022,0.0016842407640069723,21.013811013485906,0.00020182132720947266,5.9604644775390625e-06,0.00014150142669677734,0.0019265413284301758,0.002094864845275879,0.003152608871459961
1100,source,336.9715270996094,1.4738115072250366,1.4749663707334548,0.0011548635084182024,19.114745527786784,0.00012087821960449219,7.62939453125e-06,0.0002827644348144531,0.0019392967224121094,0.0024129152297973633,0.006259799003601074
1200,source,2052.671875,2.4162392616271973,2.418036704300903,0.0017974426737055182,11.187459427248685,0.0004520416259765625,8.344650268554688e-06,0.002093195915222168,0.0034384727478027344,0.003030538558959961,0.032372474670410156
1300,source,201.32164001464844,1.4211541414260864,1.423711261479184,0.0025571200530976057,8.491026824701255,0.00014889240264892578,6.9141387939453125e-06,0.0002847909927368164,0.002305269241333008,0.0023440122604370117,0.0036992430686950684
1400,source,517.8140869140625,1.6748650074005127,1.6768473689444363,0.0019823615439236164,11.273596468390874,0.0006693601608276367,6.318092346191406e-06,0.0004982948303222656,0.001857161521911621,0.002251744270324707,0.005044281482696533
1500,source,408.0633239746094,1.558249592781067,1.560705131618306,0.0024555388372391462,4.114877176443255,0.00019490718841552734,5.364418029785156e-06,0.0006093978881835938,0.0013813972473144531,0.002156853675842285,0.0036177635192871094
1600,source,203.48292541503906,1.3590235710144043,1.3613475679885596,0.002323996974155307,11.751225131796453,0.0007364749908447266,7.3909759521484375e-06,0.0003504753112792969,0.0008602142333984375,0.001981973648071289,0.0033080577850341797
1700,source,441.8519592285156,1.5545834302902222,1.5563993494724855,0.0018159191822633147,16.8169518289221,0.00025212764739990234,8.702278137207031e-06,0.0002655982971191406,0.0013980865478515625,0.0022510290145874023,0.005111336708068848
1800,source,502.1289367675781,1.6765711307525635,1.6794140574056655,0.0028429266531020403,4.051810649941971,0.0001728534698486328,8.821487426757812e-06,0.0007011890411376953,0.0022543668746948242,0.0022237300872802734,0.005943775177001953
1900,source,221.35089111328125,1.305114984512329,1.3073785249143839,0.0022635404020547867,6.627185253041781,5.328655242919922e-05,9.059906005859375e-06,0.0002732276916503906,0.0007871389389038086,0.0021234750747680664,0.0033486485481262207
2000,source,212.82347106933594,1.3585906028747559,1.3609335015062243,0.0023428986314684153,16.38101853709175,0.0005605220794677734,7.152557373046875e-06,0.00022864341735839844,0.0013104677200317383,0.0020952224731445312,0.0032396316528320312
2100,source,762.4030151367188,2.0420572757720947,2.0438951783580706,0.0018379025859758258,35.47712649600843,0.0002237558364868164,6.9141387939453125e-06,0.0002694129943847656,0.005051612854003906,0.002337217330932617,0.0038717985153198242
2200,source,389.05633544921875,1.6418834924697876,1.6441024336963892,0.0022189412266016006,1.9133771260473798,0.00045371055603027344,8.702278137207031e-06,0.0011150836944580078,0.0011137723922729492,0.0021064281463623047,0.003652334213256836
2300,source,656.0222778320312,1.9052157402038574,1.9075551240239292,0.0023393838200718164,25.104785282326297,0.00037229061126708984,6.67572021484375e-06,0.0006154775619506836,0.004331350326538086,0.002328157424926758,0.006344795227050781
2400,source,700.691162109375,1.75862717628479,1.7616509881336242,0.003023811848834157,20.14039409740366,0.0005433559417724609,7.510185241699219e-06,0.0008382797241210938,0.0016753673553466797,0.0021401643753051758,0.003441452980041504
2500,source,174.12013244628906,1.2696444988250732,1.2711405621375889,0.0014960633125156164,7.186804689848738,9.000301361083984e-05,6.794929504394531e-06,0.00023293495178222656,0.0011636018753051758,0.0022230148315429688,0.0034859180450439453
2600,source,122.73402404785156,1.2575210332870483,1.2589307294692844,0.0014096961822360754,6.386842644726331,0.000171661376953125,7.3909759521484375e-06,0.00025284290313720703,0.0004417896270751953,0.0021524429321289062,0.0039667487144470215
2700,source,130.83126831054688,1.2936012744903564,1.295275732409209,0.0016744579188525677,8.101672134788762,0.0001983642578125,5.841255187988281e-06,7.82012939453125e-05,0.001304030418395996,0.002260446548461914,0.0035686492919921875
2800,source,714.7301635742188,1.945042371749878,1.9461989529663697,0.0011565812164917588,25.393431427005154,0.0005052089691162109,7.3909759521484375e-06,0.0009516477584838867,0.0040934085845947266,0.0024143457412719727,0.004438459873199463
2900,source,539.2777099609375,1.7266578674316406,1.7289837857242674,0.0023259182926267385,23.88276324455815,0.00034368038177490234,6.556510925292969e-06,0.00029754638671875,0.0027419328689575195,0.002293825149536133,0.00906991958618164
