step,phase,loss_total,discrepancy_objective,complete_objective,running_cost,grad_norm,mmd_observed_path,mmd_increments,mmd_terminal,mmd_global_rv,mmd_abs_return_acf,mmd_squared_return_acf
1,source,1789.7027587890625,3.4520936012268066,3.452093601226807,5.344613784541105e-16,27.292307636994416,0.0001443624496459961,7.3909759521484375e-06,0.0006939172744750977,0.017530322074890137,0.002960801124572754,0.007508277893066406
100,source,326.890380859375,1.841860294342041,1.8447756196837872,0.002915325341746211,6.094458615232436,8.881092071533203e-05,1.0371208190917969e-05,0.0004229545593261719,0.0029616355895996094,0.0024329423904418945,0.0175095796585083
200,source,677.9868774414062,2.236490249633789,2.238577533280477,0.0020872836466878653,13.997844875023093,0.0005816221237182617,7.271766662597656e-06,0.0010607242584228516,0.005030274391174316,0.0028742551803588867,0.01609945297241211
300,source,1104.8707275390625,2.534672737121582,2.538449434796348,0.003776697674766183,30.33115381518004,0.0017403364181518555,8.58306884765625e-06,0.0030573606491088867,0.0024982690811157227,0.0022873878479003906,0.014675140380859375
400,source,294.3414306640625,1.6036635637283325,1.6053375682095066,0.0016740044811740518,7.511451560221371,0.00013458728790283203,8.106231689453125e-06,0.00023555755615234375,0.0034303665161132812,0.002509593963623047,0.009840250015258789
500,source,193.34934997558594,1.4079904556274414,1.4100971454754472,0.0021066898480057716,4.291465878124866,0.0003336668014526367,6.794929504394531e-06,0.0003139972686767578,0.001519322395324707,0.0020450353622436523,0.00360262393951416
600,source,209.03515625,1.3847997188568115,1.3865142381982878,0.0017145193414762616,2.7473536260797444,0.0002790689468383789,7.3909759521484375e-06,0.0003287792205810547,0.0003981590270996094,0.0021796226501464844,0.0034236907958984375
700,source,546.2969970703125,1.652299404144287,1.6544242959935218,0.0021248918492347,28.03628038405204,0.00027930736541748047,1.0728836059570312e-05,0.0005606412887573242,0.002779841423034668,0.002203702926635742,0.004125118255615234
800,source,338.39703369140625,1.4976376295089722,1.5002598043065518,0.002622174797579646,20.322741693825872,0.000643610954284668,7.510185241699219e-06,0.0007947683334350586,0.0013995170593261719,0.0020978450775146484,0.003351926803588867
900,source,236.93362426757812,1.2559839487075806,1.2580727383028716,0.0020887895952910185,2.668622612331268,9.09566879272461e-05,6.079673767089844e-06,0.00023937225341796875,0.0014213323593139648,0.0020939111709594727,0.003606855869293213
1000,source,344.16339111328125,1.5929099321365356,1.5952793709002435,0.002369438763707876,7.270862040607429,0.0001583099365234375,8.702278137207031e-06,0.001074075698852539,0.0009844303131103516,0.0023267269134521484,0.006372213363647461
1100,source,478.1566162109375,1.635500431060791,1.6393712991848588,0.0038708681240677834,23.487537103890617,0.00040459632873535156,8.344650268554688e-06,0.00019979476928710938,0.0014755725860595703,0.0023175477981567383,0.004904985427856445
