epoch,total_loss,kld_loss,nll_loss,mse_loss,lr
0,53.13069677352905,0.6380232791416347,52.49267339706421,1.0775264520198107,0.001
1,45.94372910261154,0.1458652124274522,45.79786378145218,0.9436302445828915,0.001
2,14.00241394340992,0.9910835474729538,13.011330552399158,0.2878995400387794,0.001
3,3.1015770882368088,1.393678206950426,1.7078989096917212,0.06183089152909815,0.001
4,2.6256198696792126,1.333170760422945,1.292449135798961,0.05352189560653642,0.001
5,2.2862774543464184,1.3118499219417572,0.9744275388657115,0.04716146248392761,0.001
6,0.825476873666048,1.301894761621952,-0.4764178916811943,0.018144551635487005,0.001
7,0.49007664155215025,1.180953036993742,-0.6908763982355595,0.013855381432222202,0.001
8,0.2685950081795454,1.0489060059189796,-0.7803109902888536,0.012066689319908619,0.001
9,0.14212640171172097,0.9996763579547405,-0.8575499579310417,0.010521909862291068,0.001
10,0.17520711531687994,0.9572804477065802,-0.7820733333937824,0.012031442543957382,0.001
11,-0.1864231157815084,0.7939630039036274,-0.9803861174732447,0.008065186513704248,0.001
12,0.13350165757583454,0.7697886619716883,-0.6362870042212307,0.014947168878279626,0.001
13,-0.2781542094890028,0.7561534382402897,-1.0343076512217522,0.006986755892285146,0.001
14,-0.3794376254081726,0.7287640254944563,-1.1082016564905643,0.0055088755616452545,0.001
15,-0.21629196836147457,0.7224603872746229,-0.9387523557525128,0.008897861611330882,0.001
16,-0.44421172700822353,0.7168749328702688,-1.1610866375267506,0.004451175555004738,0.001
17,-0.5134839341044426,0.6972639989107847,-1.210747942328453,0.0034579498023958877,0.001
18,-0.12845307507086545,0.6980789173394442,-0.8265319801867008,0.011142269409901928,0.001
19,-0.48274785559624434,0.6978197768330574,-1.1805676370859146,0.004061555962834973,0.001
20,-0.5452447887510061,0.679373050108552,-1.2246178425848484,0.003180551575496793,0.001
21,-0.5630870647728443,0.6695337034761906,-1.2326207756996155,0.0030204930881154723,0.001
22,-0.49225545674562454,0.6664758343249559,-1.1587312743067741,0.004498282949498389,0.001
23,-0.5689853504300117,0.6622428596019745,-1.2312282212078571,0.003048344158742111,0.001
24,-0.4600477304920787,0.6601281333714724,-1.1201758589595556,0.005269391484034713,0.001
25,-0.5823955684900284,0.6580240484327078,-1.2404196187853813,0.0028645160200539976,0.001
26,-0.594379898160696,0.6521539781242609,-1.2465338744223118,0.00274223079031799,0.001
27,0.10743577685207129,0.6719943918287754,-0.5645586322061718,0.016381737012125086,0.001
28,-0.5269341487437487,0.6712774597108364,-1.19821160659194,0.0037086763986735605,0.001
29,-0.5853208340704441,0.6563033945858479,-1.2416242249310017,0.0028404240219970234,0.001
30,-0.6006075572222471,0.649574501439929,-1.2501820661127567,0.002669267436431255,0.001
31,-0.6092017646878958,0.6445715054869652,-1.2537732906639576,0.0025974429881898686,0.001
32,-0.6138722505420446,0.6417101249098778,-1.255582369863987,0.0025612611207179725,0.001
33,-0.6114612407982349,0.6383073851466179,-1.2497686222195625,0.002677536234841682,0.001
34,-0.6029852889478207,0.6368775255978107,-1.2398628182709217,0.002875652295188047,0.001
35,-0.5405873673735186,0.6359189972281456,-1.1765063386410475,0.0041427813994232565,0.001
36,-0.5728122806176543,0.6386992707848549,-1.2115115597844124,0.0034426776837790385,0.001
37,-0.6255446374416351,0.6358482055366039,-1.2613928280770779,0.0024450518540106714,0.001
38,-0.6304286550730467,0.6327463146299124,-1.2631749659776688,0.002409409105894156,0.001
39,-0.5253013937035576,0.6317754592746496,-1.1570768393576145,0.0045313716982491314,0.001
40,-0.5968749802559614,0.6338697224855423,-1.2307446859776974,0.0030580146121792495,0.001
41,-0.6311511769890785,0.6313234325498343,-1.2624746151268482,0.0024234162920038216,0.001
42,-0.6360662952065468,0.6291043441742659,-1.265170630067587,0.002369495778111741,0.001
43,-0.6351405773311853,0.6265011373907328,-1.2616417296230793,0.00244007400033297,0.001
44,-0.52848592097871,0.6280258987098932,-1.1565118096768856,0.004542672308161855,0.001
