step,phase,loss_total
0,diffusion,0.9973660707473755
100,diffusion,0.2569979429244995
200,diffusion,0.23039638996124268
300,diffusion,0.2813117802143097
400,diffusion,0.2611798346042633
500,diffusion,0.24787452816963196
600,diffusion,0.261969655752182
700,diffusion,0.2725481390953064
800,diffusion,0.2788011133670807
900,diffusion,0.24562890827655792
1000,diffusion,0.24976156651973724
1100,diffusion,0.2718673646450043
1200,diffusion,0.23570722341537476
1300,diffusion,0.2632637321949005
1400,diffusion,0.251913458108902
1500,diffusion,0.24152056872844696
1600,diffusion,0.2716200351715088
1700,diffusion,0.26579952239990234
1800,diffusion,0.27781105041503906
1900,diffusion,0.28907445073127747
2000,diffusion,0.23291531205177307
2100,diffusion,0.2316868156194687
2200,diffusion,0.25524961948394775
2300,diffusion,0.247910737991333
2400,diffusion,0.26516830921173096
2500,diffusion,0.302739679813385
2600,diffusion,0.24401971697807312
2700,diffusion,0.2922617793083191
2800,diffusion,0.26067453622817993
2900,diffusion,0.2745290994644165
3000,diffusion,0.22223621606826782
3100,diffusion,0.30164432525634766
3200,diffusion,0.27117329835891724
3300,diffusion,0.2763085663318634
3400,diffusion,0.27691593766212463
3500,diffusion,0.2472769320011139
3600,diffusion,0.3170311450958252
3700,diffusion,0.2540211081504822
3800,diffusion,0.25841033458709717
3900,diffusion,0.27956122159957886
4000,diffusion,0.29073700308799744
4100,diffusion,0.22855892777442932
4200,diffusion,0.2816380262374878
4300,diffusion,0.2985062897205353
4400,diffusion,0.2744565010070801
4500,diffusion,0.209085613489151
4600,diffusion,0.26507294178009033
4700,diffusion,0.2726108431816101
4800,diffusion,0.28929540514945984
4900,diffusion,0.2686607241630554
5000,diffusion,0.2544235587120056
5100,diffusion,0.2445417046546936
5200,diffusion,0.2345447540283203
5300,diffusion,0.28682494163513184
5400,diffusion,0.26610279083251953
5500,diffusion,0.28768134117126465
5600,diffusion,0.24281156063079834
5700,diffusion,0.29445886611938477
5800,diffusion,0.24418608844280243
5900,diffusion,0.25138378143310547
6000,diffusion,0.27042311429977417
6100,diffusion,0.25426802039146423
6200,diffusion,0.2472420185804367
6300,diffusion,0.2880415618419647
6400,diffusion,0.26142361760139465
6500,diffusion,0.247705340385437
6600,diffusion,0.30082574486732483
6700,diffusion,0.22978048026561737
6800,diffusion,0.2538257837295532
6900,diffusion,0.265935480594635
7000,diffusion,0.2836509943008423
7100,diffusion,0.27049434185028076
7200,diffusion,0.17449316382408142
7300,diffusion,0.30199453234672546
7400,diffusion,0.2866516411304474
7500,diffusion,0.25043052434921265
7600,diffusion,0.2661702632904053
7700,diffusion,0.25913986563682556
7800,diffusion,0.2561991512775421
7900,diffusion,0.23420964181423187
8000,diffusion,0.23800715804100037
8100,diffusion,0.2742081880569458
8200,diffusion,0.24614004790782928
8300,diffusion,0.26124024391174316
8400,diffusion,0.2625260651111603
8500,diffusion,0.2699400782585144
8600,diffusion,0.2688596844673157
8700,diffusion,0.21958541870117188
8800,diffusion,0.2118893265724182
8900,diffusion,0.2610705494880676
9000,diffusion,0.25767743587493896
9100,diffusion,0.25484418869018555
9200,diffusion,0.2574230432510376
9300,diffusion,0.24064520001411438
9400,diffusion,0.2789630591869354
9500,diffusion,0.27805423736572266
9600,diffusion,0.25876516103744507
9700,diffusion,0.27342694997787476
9800,diffusion,0.30866798758506775
9900,diffusion,0.2850189507007599
10000,diffusion,0.2433246374130249
10100,diffusion,0.27465125918388367
10200,diffusion,0.24936234951019287
10300,diffusion,0.26939794421195984
10400,diffusion,0.2323039174079895
10500,diffusion,0.2321709841489792
10600,diffusion,0.26380860805511475
10700,diffusion,0.28493639826774597
10800,diffusion,0.28282564878463745
10900,diffusion,0.26441508531570435
11000,diffusion,0.24643287062644958
11100,diffusion,0.23594458401203156
11200,diffusion,0.22055821120738983
11300,diffusion,0.28048959374427795
11400,diffusion,0.2525683045387268
11500,diffusion,0.2709977626800537
11600,diffusion,0.28917789459228516
11700,diffusion,0.240428626537323
11800,diffusion,0.2841351628303528
11900,diffusion,0.2646769881248474
12000,diffusion,0.26845335960388184
12100,diffusion,0.3005140721797943
12200,diffusion,0.26293542981147766
12300,diffusion,0.28266817331314087
12400,diffusion,0.24351024627685547
12500,diffusion,0.2685350477695465
12600,diffusion,0.24704575538635254
12700,diffusion,0.2320593297481537
12800,diffusion,0.26315802335739136
12900,diffusion,0.28575026988983154
13000,diffusion,0.28096240758895874
13100,diffusion,0.2469157576560974
13200,diffusion,0.2537635862827301
13300,diffusion,0.26216578483581543
13400,diffusion,0.2621999680995941
13500,diffusion,0.2453785538673401
13600,diffusion,0.23503267765045166
13700,diffusion,0.26106661558151245
13800,diffusion,0.2535478472709656
13900,diffusion,0.2583838105201721
14000,diffusion,0.3004993796348572
14100,diffusion,0.2603977918624878
14200,diffusion,0.2463597059249878
14300,diffusion,0.25804653763771057
14400,diffusion,0.2535247206687927
14500,diffusion,0.2415221631526947
14600,diffusion,0.23487788438796997
14700,diffusion,0.2673487365245819
14800,diffusion,0.273213267326355
14900,diffusion,0.25387832522392273
14999,diffusion,0.23329943418502808
