sigma_max,ridge_covariance,ridge_drift,device,elapsed_sec,returncode,sigma_min,lr,steps,seed,num_paths,num_steps,initial_activity,baseline_nll,calibration_nll,validation_nll,validation_gain_over_baseline,clip_saturation_high,clip_saturation_low,spectrum_min,spectrum_mean,spectrum_p99,spectrum_max,saturation_num_paths,failed,stage,admissible,reject_reason
5.0,0.001,0.01,cuda1,191.7,0,0.001,0.01,300,0,6144,127,0.7100957304544644,-0.002318924070943583,-1.4448726930412596,-1.4262007206143001,1.4238817965433566,0.004652128444881889,0.0,0.0862102373824581,0.7174909263277431,3.8713382178695177,5.000000000000015,1024,False,confirm,True,
5.0,0.001,0.001,cuda2,196.0,0,0.001,0.01,300,0,6144,127,0.7100957304544644,-0.002318924070943583,-1.4320212687593803,-1.4174621496085782,1.4151432255376346,0.004744402066929134,0.0,0.08059942194058071,0.7187253615182193,3.896142052065337,5.000000000000013,1024,False,confirm,True,
8.0,0.001,0.01,cuda3,196.2,0,0.001,0.01,300,0,6144,127,0.7100957304544644,-0.002318924070943583,-1.417344470084739,-1.393496458677345,1.3911775346064015,0.0008573757381889764,0.0,0.05429473170558828,0.7198045079524014,3.866900491635013,8.000000000000018,1024,False,confirm,True,
