step,train_loss,lr
10,8.59023208618164,9.910000000000001e-05
20,8.0093505859375,9.81e-05
30,7.8494117736816404,9.71e-05
40,8.226486206054688,9.61e-05
50,8.113502502441406,9.51e-05
60,8.053184509277344,9.41e-05
70,7.8831336975097654,9.310000000000001e-05
80,7.991871643066406,9.21e-05
90,8.008591461181641,9.11e-05
100,7.984417724609375,9.010000000000001e-05
110,7.940037536621094,8.910000000000001e-05
120,8.04992218017578,8.81e-05
130,8.231736755371093,8.71e-05
140,8.071340942382813,8.61e-05
150,7.802900695800782,8.510000000000001e-05
160,7.957872009277343,8.41e-05
170,7.957008361816406,8.31e-05
180,8.065340423583985,8.21e-05
190,7.789747619628907,8.11e-05
200,7.881513214111328,8.010000000000001e-05
210,8.024996185302735,7.910000000000001e-05
220,8.198348236083984,7.81e-05
230,8.056118774414063,7.71e-05
240,8.124215698242187,7.61e-05
250,7.926383209228516,7.510000000000001e-05
260,7.723052978515625,7.41e-05
270,7.958546447753906,7.31e-05
280,7.946549987792968,7.21e-05
290,8.019949340820313,7.11e-05
300,8.048369598388671,7.01e-05
310,8.067250061035157,6.91e-05
320,8.079477691650391,6.81e-05
330,7.971922302246094,6.71e-05
340,7.943827819824219,6.610000000000001e-05
350,7.652591705322266,6.510000000000001e-05
360,8.124835205078124,6.41e-05
370,8.000864410400391,6.31e-05
380,7.899953460693359,6.21e-05
390,7.7944175720214846,6.110000000000001e-05
400,7.909064483642578,6.0100000000000004e-05
410,7.870820617675781,5.91e-05
420,7.984323120117187,5.8099999999999996e-05
430,8.004868316650391,5.71e-05
440,7.97630615234375,5.610000000000001e-05
450,7.770524597167968,5.5100000000000004e-05
460,7.879339599609375,5.410000000000001e-05
470,7.964952087402343,5.31e-05
480,7.793458557128906,5.2100000000000006e-05
490,7.799385833740234,5.11e-05
500,7.726766967773438,5.0100000000000005e-05
510,7.841725158691406,4.91e-05
520,7.9226844787597654,4.8100000000000004e-05
530,8.014894104003906,4.71e-05
540,7.94168701171875,4.61e-05
550,7.958421325683593,4.5100000000000005e-05
560,7.913984680175782,4.41e-05
570,8.015330505371093,4.3100000000000004e-05
580,7.836704254150391,4.21e-05
590,8.074654388427735,4.11e-05
600,7.926605224609375,4.0100000000000006e-05
610,7.886872100830078,3.91e-05
620,7.755635070800781,3.8100000000000005e-05
630,7.7707672119140625,3.71e-05
640,7.777412414550781,3.61e-05
650,7.880412292480469,3.51e-05
660,7.851313781738281,3.41e-05
670,7.82971420288086,3.3100000000000005e-05
680,7.845458221435547,3.21e-05
690,8.126040649414062,3.1100000000000004e-05
700,7.9493156433105465,3.01e-05
710,7.7457427978515625,2.91e-05
720,7.784841918945313,2.8100000000000005e-05
730,7.573320770263672,2.7100000000000005e-05
740,7.8914642333984375,2.61e-05
750,7.755336761474609,2.51e-05
760,7.853794860839844,2.41e-05
770,7.8172607421875,2.3100000000000002e-05
780,7.7635047912597654,2.2100000000000002e-05
790,7.958289337158203,2.11e-05
800,7.754525756835937,2.01e-05
810,7.9328971862792965,1.91e-05
820,7.8943931579589846,1.81e-05
830,7.7538307189941404,1.7100000000000002e-05
840,7.983540344238281,1.6100000000000002e-05
850,7.938392639160156,1.51e-05
860,7.84234848022461,1.4099999999999999e-05
870,7.98089828491211,1.3100000000000002e-05
880,7.979154205322265,1.2100000000000001e-05
890,7.615351867675781,1.11e-05
900,7.866641235351563,1.0100000000000002e-05
910,7.825032043457031,9.100000000000001e-06
920,7.775967407226562,8.1e-06
930,7.934745788574219,7.1e-06
940,7.865334320068359,6.1e-06
950,7.920387268066406,5.1e-06
960,7.760256958007813,4.1000000000000006e-06
970,7.702594757080078,3.1e-06
980,7.904893493652343,2.1000000000000002e-06
990,7.8832038879394535,1.1e-06
1000,7.7562095642089846,1.0000000000000001e-07
1000,7.918328712463379,0.0
