epoch,loss_D_0,loss_D_1,loss_D_2,loss_D_3,loss_D_4,loss_G_0,loss_G_1,loss_G_2,loss_G_3,loss_G_4,loss_CD
50,0.66542,0.69136,0.69455,0.67206,0.68335,-2.65946,-2.68864,-2.63419,-2.67758,-2.66389,0.68021
51,0.65382,0.69703,0.68046,0.67977,0.69418,-2.65287,-2.77312,-2.75794,-2.77253,-2.80878,0.69364
52,0.68966,0.69056,0.69289,0.69598,0.69400,-2.73371,-2.71931,-2.72057,-2.76344,-2.71842,0.69255
53,0.69726,0.68989,0.68521,0.69361,0.70902,-2.77634,-2.74723,-2.80657,-2.77769,-2.79456,0.69802
54,0.66986,0.69690,0.67601,0.67064,0.69251,-2.63727,-2.73516,-2.71178,-2.67982,-2.75753,0.67178
55,0.68624,0.68172,0.70978,0.68774,0.67851,-2.70926,-2.67998,-2.76725,-2.72065,-2.71922,0.68424
56,0.66782,0.69466,0.68012,0.70214,0.69152,-2.60912,-2.79553,-2.72125,-2.72841,-2.75401,0.68741
57,0.70879,0.70585,0.68301,0.68522,0.68825,-2.65584,-2.71377,-2.65324,-2.73638,-2.64559,0.68016
58,0.70194,0.68882,0.70304,0.69669,0.69320,-2.73106,-2.74061,-2.76365,-2.68421,-2.68027,0.68596
59,0.70168,0.69091,0.66662,0.66176,0.69006,-2.74265,-2.74605,-2.77002,-2.72107,-2.83342,0.70808
60,0.66125,0.69520,0.68225,0.68703,0.68578,-2.63712,-2.74860,-2.84471,-2.71777,-2.71938,0.69133
61,0.69829,0.68223,0.69403,0.67714,0.67724,-2.69797,-2.66468,-2.70431,-2.74989,-2.73505,0.68387
62,0.68050,0.69224,0.69812,0.69958,0.68774,-2.67982,-2.69899,-2.73579,-2.65427,-2.70955,0.68768
63,0.68275,0.69690,0.67576,0.70927,0.68968,-2.72034,-2.74172,-2.70435,-2.76729,-2.70327,0.69566
64,0.66909,0.70206,0.68316,0.69093,0.69510,-2.66087,-2.77638,-2.69528,-2.68624,-2.71406,0.68726
65,0.66209,0.69838,0.70994,0.68274,0.69622,-2.61424,-2.73662,-2.72149,-2.72543,-2.70578,0.69673
66,0.64765,0.67934,0.68699,0.68365,0.68604,-2.62073,-2.64714,-2.63260,-2.64167,-2.71229,0.68049
67,0.68137,0.68431,0.67826,0.68969,0.70639,-2.75027,-2.65393,-2.69862,-2.65369,-2.76610,0.70345
68,0.65895,0.67359,0.70137,0.68186,0.68257,-2.68777,-2.69227,-2.75542,-2.76382,-2.65564,0.67638
69,0.67815,0.68601,0.69558,0.71058,0.67554,-2.80287,-2.69884,-2.76308,-2.81967,-2.74281,0.69579
70,0.70574,0.70364,0.70702,0.69614,0.69536,-2.69725,-2.66137,-2.63479,-2.65675,-2.68518,0.68295
71,0.67665,0.68746,0.66913,0.64598,0.68072,-2.60764,-2.58185,-2.59499,-2.57712,-2.67452,0.68399
72,0.70193,0.70090,0.69893,0.69839,0.71093,-2.76484,-2.81893,-2.67759,-2.65426,-2.71989,0.69174
73,0.67458,0.68890,0.68035,0.67872,0.68329,-2.56659,-2.68995,-2.62129,-2.58106,-2.73986,0.67813
74,0.69137,0.69323,0.68018,0.68972,0.69728,-2.67581,-2.71714,-2.69536,-2.70297,-2.74768,0.67550
75,0.70304,0.69943,0.68747,0.70306,0.71028,-2.76067,-2.79899,-2.74514,-2.77203,-2.81623,0.69593
76,0.69165,0.67651,0.69930,0.68268,0.69395,-2.67586,-2.68707,-2.67815,-2.71269,-2.69076,0.69508
77,0.69123,0.68633,0.69183,0.69331,0.70856,-2.71786,-2.78610,-2.75263,-2.73732,-2.78986,0.69286
78,0.69490,0.67496,0.69037,0.67244,0.68880,-2.73125,-2.71674,-2.73535,-2.64630,-2.78167,0.68365
79,0.70331,0.68699,0.69378,0.67815,0.70159,-2.74193,-2.75082,-2.80236,-2.76849,-2.76924,0.69456
80,0.70422,0.69887,0.70357,0.68887,0.70049,-2.73497,-2.69627,-2.72732,-2.72343,-2.76935,0.68009
81,0.66606,0.68501,0.68496,0.68760,0.68393,-2.74578,-2.74414,-2.77749,-2.82199,-2.79454,0.70447
82,0.69564,0.68654,0.70087,0.68732,0.68697,-2.64759,-2.76874,-2.70998,-2.72393,-2.71006,0.68243
83,0.66201,0.68819,0.68214,0.67334,0.67851,-2.53005,-2.55507,-2.58034,-2.56240,-2.51568,0.65094
84,0.67350,0.69367,0.70084,0.66664,0.68358,-2.67887,-2.62473,-2.70497,-2.67563,-2.71661,0.67990
85,0.71823,0.69213,0.69227,0.71997,0.69759,-2.81238,-2.74313,-2.71417,-2.67781,-2.74770,0.70916
86,0.66409,0.69308,0.68498,0.67301,0.70003,-2.57865,-2.63909,-2.67070,-2.64530,-2.70775,0.67684
87,0.69111,0.70544,0.68913,0.65912,0.68089,-2.70722,-2.74055,-2.79217,-2.67977,-2.66732,0.69190
88,0.67455,0.70705,0.69222,0.68849,0.69574,-2.67236,-2.78745,-2.67842,-2.67962,-2.82356,0.68491
89,0.68364,0.69727,0.65762,0.69840,0.70179,-2.69888,-2.72381,-2.72365,-2.65670,-2.72265,0.68454
90,0.70963,0.69672,0.69433,0.68939,0.69049,-2.63067,-2.72045,-2.70084,-2.69027,-2.61128,0.67175
91,0.69327,0.68402,0.68957,0.70530,0.68001,-2.75483,-2.79324,-2.65636,-2.66437,-2.74824,0.68498
92,0.66104,0.69265,0.68224,0.68287,0.66349,-2.56817,-2.68669,-2.67929,-2.63767,-2.66046,0.67407
93,0.69216,0.69672,0.68837,0.68328,0.68991,-2.66709,-2.64152,-2.74776,-2.56049,-2.62832,0.67383
94,0.67383,0.69723,0.67902,0.69083,0.69298,-2.63166,-2.68576,-2.75976,-2.64595,-2.71865,0.67611
95,0.66422,0.69029,0.69487,0.67458,0.69721,-2.64213,-2.63163,-2.67265,-2.52794,-2.70854,0.66933
96,0.71271,0.70374,0.69574,0.68544,0.69086,-2.75714,-2.63150,-2.78835,-2.54522,-2.67812,0.68547
97,0.68492,0.69076,0.69165,0.67819,0.69645,-2.59937,-2.62811,-2.68729,-2.66146,-2.66085,0.70090
98,0.69785,0.66469,0.68718,0.68058,0.69951,-2.62225,-2.66219,-2.64718,-2.61324,-2.65538,0.68910
99,0.67448,0.68816,0.69680,0.66186,0.68848,-2.71518,-2.62344,-2.63747,-2.64467,-2.67171,0.68096
100,0.69690,0.68280,0.68925,0.70185,0.70737,-2.52655,-2.60982,-2.47886,-2.52163,-2.63097,0.64675
101,0.66405,0.67704,0.68896,0.70202,0.67868,-2.52735,-2.60734,-2.55792,-2.73176,-2.57284,0.64709
102,0.68776,0.69164,0.70808,0.68903,0.69369,-2.71175,-2.69696,-2.71601,-2.78190,-2.66115,0.67511
103,0.69363,0.69599,0.68681,0.68262,0.68289,-2.65025,-2.68341,-2.69217,-2.60159,-2.70233,0.69189
104,0.65663,0.65291,0.67122,0.69857,0.68767,-2.49876,-2.51705,-2.55707,-2.60388,-2.59321,0.65154
105,0.70112,0.69026,0.71035,0.68639,0.67838,-2.58091,-2.66827,-2.63091,-2.74777,-2.68024,0.66720
106,0.67049,0.69755,0.65759,0.66211,0.66072,-2.50044,-2.54704,-2.47490,-2.59267,-2.64358,0.66679
107,0.67778,0.70512,0.68841,0.67269,0.69620,-2.74064,-2.74739,-2.61426,-2.60466,-2.75550,0.70094
108,0.69146,0.70952,0.67331,0.67601,0.68449,-2.73843,-2.67626,-2.75987,-2.59785,-2.61309,0.70116
109,0.69139,0.68648,0.68857,0.65227,0.69057,-2.55960,-2.72456,-2.75817,-2.90194,-2.78926,0.66048
110,0.72336,0.68597,0.71517,0.71464,0.70108,-2.74483,-2.53024,-2.55672,-2.58561,-2.50955,0.65640
111,0.67577,0.70062,0.70897,0.68756,0.70570,-2.69019,-2.68910,-2.85011,-2.60563,-2.65329,0.67584
112,0.65014,0.67841,0.66206,0.65819,0.68351,-2.41343,-2.64699,-2.47454,-2.54103,-2.50111,0.67677
113,0.68678,0.69802,0.67443,0.70681,0.69108,-2.76883,-2.59748,-2.71856,-2.64706,-2.69671,0.67051
114,0.71626,0.69217,0.69179,0.65550,0.69334,-2.64409,-2.59803,-2.71061,-2.63619,-2.69524,0.68121
115,0.68469,0.70243,0.66892,0.65856,0.68937,-2.53075,-2.61316,-2.72915,-2.73470,-2.67592,0.69410
116,0.67582,0.67474,0.68104,0.64733,0.67747,-2.69023,-2.80828,-2.80943,-2.79710,-2.68988,0.68970
117,0.67914,0.69481,0.69638,0.68104,0.69012,-2.60933,-2.63171,-2.63164,-2.68060,-2.81769,0.70021
118,0.67887,0.68840,0.68076,0.71958,0.67419,-2.40527,-2.37869,-2.55290,-2.46663,-2.44880,0.71266
119,0.69923,0.69646,0.67565,0.69361,0.69847,-2.68115,-2.67958,-2.70210,-2.61659,-2.54715,0.66438
120,0.69128,0.69067,0.68950,0.67422,0.68770,-2.50821,-2.58963,-2.53681,-2.41864,-2.49861,0.65813
121,0.65974,0.67449,0.67187,0.70524,0.66013,-2.56966,-2.64578,-2.58540,-2.64732,-2.59418,0.65294
122,0.66019,0.68641,0.68363,0.68149,0.66865,-2.58611,-2.77082,-2.53215,-2.64895,-2.56435,0.68683
123,0.68670,0.67572,0.65998,0.68279,0.68758,-2.67927,-2.64008,-2.46568,-2.52483,-2.54107,0.67056
124,0.68488,0.67596,0.67326,0.68134,0.68529,-2.64088,-2.49600,-2.53243,-2.66754,-2.58264,0.68035
125,0.68472,0.69477,0.70170,0.65843,0.68331,-2.60301,-2.53202,-2.63868,-2.60913,-2.64591,0.66953
126,0.68579,0.70293,0.68054,0.67778,0.68614,-2.42138,-2.42807,-2.51272,-2.46708,-2.50315,0.64561
127,0.67528,0.66048,0.68200,0.64240,0.68092,-2.42413,-2.70131,-2.58253,-2.63436,-2.62593,0.65862
128,0.70366,0.68571,0.70232,0.71607,0.69747,-2.51159,-2.55716,-2.44234,-2.75122,-2.79829,0.65746
129,0.68540,0.69340,0.70093,0.68105,0.69910,-2.66431,-2.72905,-2.78019,-2.59024,-2.64218,0.69515
130,0.66936,0.71053,0.66746,0.64260,0.67994,-2.44580,-2.55546,-2.57837,-2.57956,-2.61137,0.65879
131,0.66872,0.68384,0.67334,0.67141,0.67459,-2.38607,-2.57518,-2.48423,-2.54682,-2.60260,0.69122
132,0.66776,0.67625,0.67569,0.68924,0.70362,-2.52148,-2.76356,-2.63602,-2.62545,-2.73187,0.63330
133,0.64238,0.67392,0.66297,0.61249,0.66186,-2.40816,-2.45945,-2.57278,-2.45730,-2.74278,0.66567
134,0.67494,0.69133,0.68572,0.68155,0.69808,-2.45316,-2.48583,-2.78575,-2.58756,-2.78059,0.66842
135,0.70093,0.71185,0.69582,0.67137,0.69102,-2.55387,-2.76246,-2.60571,-2.49910,-2.80347,0.64841
136,0.67146,0.67214,0.66066,0.71216,0.68884,-2.48423,-2.37860,-2.56588,-2.63467,-2.71218,0.64759
137,0.69635,0.70744,0.66383,0.66980,0.69567,-2.52749,-2.70855,-2.72538,-2.64791,-2.71131,0.68277
138,0.67673,0.68215,0.65611,0.65126,0.67861,-2.45613,-2.47477,-2.63992,-2.50554,-2.58897,0.63897
139,0.68686,0.71513,0.68311,0.63179,0.69082,-2.58304,-2.64014,-2.67023,-2.50999,-2.69787,0.69525
140,0.68936,0.68366,0.67929,0.63324,0.70024,-2.65357,-2.59615,-2.56705,-2.29953,-2.76266,0.67957
141,0.68216,0.69241,0.69456,0.65154,0.70654,-2.53235,-2.59984,-2.62408,-2.37844,-2.63536,0.67134
142,0.67995,0.67183,0.67233,0.67943,0.69024,-2.40004,-2.40640,-2.57275,-2.44101,-2.45534,0.61880
143,0.71241,0.66793,0.69187,0.68649,0.68129,-2.60788,-2.50767,-2.49465,-2.51919,-2.45711,0.63734
144,0.66961,0.70753,0.67628,0.68434,0.70789,-2.33145,-2.56493,-2.56062,-2.45492,-2.66179,0.65129
145,0.64373,0.69547,0.65945,0.66226,0.68819,-2.33943,-2.53001,-2.36535,-2.50727,-2.47136,0.63614
146,0.64419,0.65975,0.65824,0.65764,0.67735,-2.52869,-2.45320,-2.41243,-2.22386,-2.39539,0.61443
147,0.67769,0.66489,0.70020,0.64892,0.68119,-2.43126,-2.54091,-2.55106,-2.49041,-2.67795,0.66160
148,0.66715,0.67565,0.69763,0.66281,0.69077,-2.49394,-2.47169,-2.54814,-2.43432,-2.73390,0.67007
149,0.66624,0.69008,0.67929,0.65002,0.69802,-2.47587,-2.78636,-2.90174,-2.63787,-2.65087,0.66504
150,0.71651,0.66247,0.68819,0.66970,0.71306,-2.40562,-2.66635,-2.49576,-2.35849,-2.56690,0.63457
151,0.67757,0.68703,0.68885,0.70072,0.68882,-2.63114,-2.69301,-2.61682,-2.74774,-2.83950,0.62933
152,0.66445,0.67340,0.67506,0.65975,0.68544,-2.54331,-2.44368,-2.70114,-2.48883,-2.70621,0.63000
153,0.68748,0.65055,0.70578,0.66456,0.67002,-2.53178,-2.74698,-2.62358,-2.50654,-2.74461,0.69442
154,0.70362,0.69053,0.73448,0.67070,0.69177,-2.57130,-2.38628,-2.52712,-2.45958,-2.59893,0.69517
155,0.68421,0.66361,0.70584,0.65076,0.68929,-2.45988,-2.53511,-2.70403,-2.56424,-2.58343,0.64626
156,0.70490,0.68736,0.66974,0.69114,0.70295,-2.39491,-2.61815,-2.57827,-2.51247,-2.81073,0.64707
157,0.67327,0.66641,0.66524,0.62208,0.67746,-2.55020,-2.72601,-2.53815,-2.45375,-2.64536,0.64402
158,0.67717,0.73593,0.68268,0.68595,0.67952,-2.68434,-2.74220,-2.82990,-2.72602,-2.54863,0.68346
159,0.67127,0.67982,0.69003,0.67609,0.71423,-2.18786,-2.54495,-2.34365,-2.26453,-2.46245,0.62227
160,0.68238,0.71032,0.67121,0.68537,0.68638,-2.45735,-2.53038,-2.35385,-2.31525,-2.57092,0.65921
161,0.65750,0.68898,0.67709,0.65161,0.68339,-2.42704,-2.41812,-2.58319,-2.37769,-2.39217,0.63373
162,0.67331,0.67967,0.67447,0.61833,0.68219,-2.45370,-2.51870,-2.41634,-2.62615,-2.45657,0.67071
163,0.67185,0.68497,0.67141,0.63519,0.67922,-2.55003,-2.39591,-2.41009,-2.43890,-2.71624,0.64370
164,0.69231,0.69547,0.67721,0.70466,0.66862,-2.65730,-2.63469,-2.57175,-2.32651,-2.56629,0.61657
165,0.69932,0.67512,0.66299,0.69659,0.69371,-2.59595,-2.71260,-2.63654,-2.45925,-2.62900,0.64364
166,0.69727,0.68558,0.68911,0.65377,0.67731,-2.22343,-2.44422,-2.51428,-2.61283,-2.68265,0.71715
167,0.67057,0.68370,0.65973,0.67435,0.71302,-2.55661,-2.49587,-2.55001,-2.47683,-2.60555,0.66772
168,0.68555,0.66577,0.68046,0.64017,0.67894,-2.57161,-2.46840,-2.56178,-2.60696,-2.45543,0.68222
169,0.67305,0.67480,0.66700,0.60680,0.68076,-2.33011,-2.42196,-2.38182,-2.18491,-2.42354,0.65396
170,0.69695,0.66364,0.66063,0.68277,0.69656,-2.57741,-2.50078,-2.39217,-2.48519,-2.64829,0.66999
171,0.64946,0.66361,0.66917,0.66922,0.65709,-2.38913,-2.37263,-2.31316,-2.36648,-2.37216,0.58873
172,0.68898,0.68762,0.67660,0.62582,0.67800,-2.59872,-2.34863,-2.60450,-2.56292,-2.86648,0.66058
173,0.69639,0.69951,0.68848,0.62775,0.68064,-2.64230,-2.56094,-2.58066,-2.49456,-2.59857,0.67468
174,0.67778,0.67623,0.66092,0.66796,0.67782,-2.48897,-2.52722,-2.50032,-2.44767,-2.45295,0.61161
175,0.66945,0.66735,0.68122,0.67775,0.67236,-2.45794,-2.29844,-2.42647,-2.55194,-2.63335,0.62239
