seed,n_samples,T,d,device,elapsed_sec,elapsed_min
0,6144,128,8,cpu,26.3,0.44
1,6144,128,8,cpu,26.4,0.44
2,6144,128,8,cpu,26.7,0.45
3,6144,128,8,cpu,26.5,0.44
4,6144,128,8,cpu,26.6,0.44
