step,train_bce
50,0.693437
100,0.695756
150,0.692329
200,0.692153
250,0.693821
300,0.693724
350,0.691247
400,0.694479
450,0.692312
500,0.693394
550,0.692648
600,0.69317
650,0.692078
700,0.693149
750,0.692626
800,0.693008
850,0.692746
900,0.692616
950,0.693045
1000,0.693407
1050,0.693645
1100,0.692924
1150,0.692753
1200,0.693375
1250,0.692695
1300,0.69236
1350,0.693127
1400,0.693975
1450,0.693454
1500,0.693339
1550,0.695807
1600,0.693528
1650,0.69304
1700,0.693152
1750,0.693062
1800,0.692367
1850,0.693056
1900,0.693038
1950,0.693199
2000,0.692663
