k,epoch,train_loss,val_loss
0,0,9.61585423,9.43084180
0,1,9.28116822,9.36079907
0,2,9.21971518,9.34149945
0,3,9.19132230,9.35067391
0,4,9.21030539,9.31812096
0,5,9.12228170,9.01429486
0,6,8.78034565,8.81885052
0,7,8.68667740,8.75869203
0,8,8.62565520,8.73379445
0,9,8.62293613,8.66955972
0,10,8.54946832,8.67859495
0,11,8.56658560,8.62355340
0,12,8.56723833,8.64899755
0,13,8.53338623,8.60450101
0,14,8.52032349,8.61647999
0,15,8.51233080,8.58629632
0,16,8.46853083,8.57867169
0,17,8.49839684,8.58191419
0,18,8.43012768,8.59585905
0,19,8.45417014,8.58149147
0,20,8.46379369,8.57167673
0,21,8.46732587,8.56557286
0,22,8.46043959,8.57636714
0,23,8.50605375,8.55547392
0,24,8.45920375,8.58657074
0,25,8.45020211,8.55526209
0,26,8.42664215,8.62466240
0,27,8.39098847,8.55447328
0,28,8.39035094,8.55925953
0,29,8.40770321,8.55913091
0,30,8.41080847,8.56197047
0,31,8.40756312,8.54538226
0,32,8.43296009,8.54195988
0,33,8.40455756,8.53947127
0,34,8.44148830,8.56570244
0,35,8.39348406,8.55987740
0,36,8.42702708,8.53574312
0,37,8.40302604,8.54280972
0,38,8.43606097,8.54676187
0,39,8.39039227,8.60447872
0,40,8.50703540,8.63033867
0,41,8.45657468,8.60087776
0,42,8.46254030,8.54768264
0,43,8.44683313,8.54738235
0,44,8.45136857,8.56650543
0,45,8.38788021,8.54391694
0,46,8.42105779,8.55793571
0,47,8.42902935,8.53187060
0,48,8.39072601,8.54167473
0,49,8.41122338,8.53398371
0,50,8.42522101,8.54635775
0,51,8.41715088,8.51913488
0,52,8.44185567,8.54175055
0,53,8.43939608,8.52057230
0,54,8.44173899,8.54742384
0,55,8.46844518,8.56863117
0,56,8.41413182,8.54656029
0,57,8.39087313,8.54164267
0,58,8.42593485,8.52760172
0,59,8.44444335,8.52822518
0,60,8.40355030,8.52681935
0,61,8.42311564,8.54711151
0,62,8.40523481,8.53186643
0,63,8.41141447,8.54947901
0,64,8.45163292,8.53228891
0,65,8.43907604,8.53254759
0,66,8.39603725,8.52753568
1,0,8.43819338,8.46048212
1,1,8.45509255,8.45098627
1,2,8.46175572,8.46132374
1,3,8.44228597,8.48980522
1,4,8.42528939,8.46464109
1,5,8.47788104,8.45402050
1,6,8.37940210,8.44414413
1,7,8.47755799,8.45652783
1,8,8.40728882,8.46271551
1,9,8.44321340,8.45922303
1,10,8.44418532,8.46624708
1,11,8.46089697,8.46150100
1,12,8.41019493,8.46047568
1,13,8.45510414,8.45524788
1,14,8.44801232,8.44588053
1,15,8.42971343,8.47525227
1,16,8.41366620,8.46101737
1,17,8.46393850,8.45063865
1,18,8.38525176,8.46231902
1,19,8.41919377,8.46511483
1,20,8.43162645,8.46247089
1,21,8.45132577,8.45335066
2,0,8.42859155,8.51645374
2,1,8.43180594,8.53029752
2,2,8.42866793,8.52688766
2,3,8.37882791,8.50734961
2,4,8.41902657,8.52938819
2,5,8.44136009,8.52401924
2,6,8.43195432,8.51768267
2,7,8.44249031,8.51030147
2,8,8.47068784,8.51179039
2,9,8.41453949,8.51986444
2,10,8.39201018,8.51318932
2,11,8.38487956,8.52446866
2,12,8.40861481,8.51576245
2,13,8.41874745,8.52020228
2,14,8.41848707,8.51528668
2,15,8.38378312,8.50865376
2,16,8.44536991,8.52427542
2,17,8.43772143,8.51677608
2,18,8.45793453,8.51816428
3,0,8.39924943,8.53294790
3,1,8.44111359,8.51604950
3,2,8.46227422,8.51463819
3,3,8.42730039,8.50877142
3,4,8.45011643,8.52654719
3,5,8.43033385,8.52476025
3,6,8.46218318,8.53633320
3,7,8.39553612,8.53575838
3,8,8.37560053,8.51134849
3,9,8.41559663,8.52509081
3,10,8.40307368,8.51606214
3,11,8.44580454,8.51266372
3,12,8.45436829,8.51491547
3,13,8.40546730,8.50648713
3,14,8.44055563,8.51450849
3,15,8.41904029,8.50426602
3,16,8.43355578,8.52083659
3,17,8.41192961,8.51154995
3,18,8.43398798,8.52674162
3,19,8.40876210,8.51452827
3,20,8.44248691,8.52193141
3,21,8.40072900,8.52194774
3,22,8.38242865,8.52566928
3,23,8.49342856,8.51924121
3,24,8.36590740,8.52182972
3,25,8.42353535,8.51929939
3,26,8.41902284,8.52762294
3,27,8.45204681,8.52543771
3,28,8.41973126,8.51718879
3,29,8.45455825,8.50766766
3,30,8.43667594,8.50675666
4,0,8.43782076,8.48039317
4,1,8.44813997,8.46810913
4,2,8.42879659,8.47820354
4,3,8.45653462,8.48711705
4,4,8.48280272,8.50390959
4,5,8.47143039,8.47310650
4,6,8.44632912,8.48124862
4,7,8.40844075,8.46770096
4,8,8.43368092,8.48024619
4,9,8.43320832,8.46564209
4,10,8.47118767,8.46682334
4,11,8.43343234,8.47282052
4,12,8.43014538,8.47125256
4,13,8.45442104,8.47208369
4,14,8.42447975,8.46482778
4,15,8.39054391,8.46863580
4,16,8.46975294,8.47291625
4,17,8.41011024,8.46694779
4,18,8.45438832,8.49041176
4,19,8.47621307,8.46996534
4,20,8.42285064,8.47306156
4,21,8.44666642,8.47008479
4,22,8.41784367,8.46932828
4,23,8.38882792,8.48128176
4,24,8.41132954,8.47225833
