k,epoch,train_loss,val_loss
0,0,9.61585158,9.43081796
0,1,9.28116500,9.36080670
0,2,9.21968588,9.34172976
0,3,9.19135585,9.35088742
0,4,9.21024513,9.31866038
0,5,9.12382010,9.01550424
0,6,8.78106204,8.81881583
0,7,8.68644953,8.75389767
0,8,8.62204087,8.72824740
0,9,8.62277874,8.67243874
0,10,8.54946214,8.68856192
0,11,8.57002011,8.61941779
0,12,8.56603995,8.63054454
0,13,8.53194392,8.60058653
0,14,8.52108297,8.61641932
0,15,8.51117980,8.58779120
0,16,8.46797752,8.58209276
0,17,8.49982703,8.58431196
0,18,8.43324685,8.60248876
0,19,8.45925701,8.57787478
0,20,8.46565762,8.57074142
0,21,8.46673459,8.56204486
0,22,8.45687220,8.57415080
0,23,8.50437889,8.55491626
0,24,8.45967379,8.58735192
0,25,8.45025942,8.55566752
0,26,8.42773294,8.62345338
0,27,8.39049542,8.55442917
0,28,8.39084561,8.56001353
0,29,8.40763958,8.56047201
0,30,8.40918669,8.55669665
0,31,8.40788430,8.54738581
0,32,8.43493095,8.54542398
0,33,8.40523851,8.53888071
0,34,8.44298157,8.56396890
0,35,8.39457022,8.55992937
0,36,8.42903155,8.54115713
0,37,8.40386462,8.55108976
0,38,8.43844980,8.54852343
0,39,8.39186716,8.60139287
0,40,8.48794594,8.57349885
0,41,8.44122666,8.58106589
0,42,8.45339105,8.55104887
0,43,8.44249445,8.53740346
0,44,8.44557878,8.56333292
0,45,8.38609973,8.54324043
0,46,8.41529149,8.57002199
0,47,8.43547125,8.53840268
0,48,8.39247380,8.54413354
0,49,8.41701329,8.53372741
0,50,8.43652515,8.55464399
0,51,8.42491257,8.52130127
0,52,8.44422174,8.54258370
0,53,8.43784523,8.51997483
0,54,8.44180733,8.54549551
0,55,8.46800080,8.57496858
0,56,8.42071509,8.54755425
0,57,8.40004387,8.55025077
0,58,8.42988995,8.55252218
0,59,8.45828465,8.53064728
0,60,8.40712161,8.53844714
0,61,8.42574331,8.54419541
0,62,8.41144837,8.53782988
0,63,8.41298112,8.54904747
0,64,8.44265068,8.52921069
0,65,8.43356308,8.54006457
0,66,8.38991672,8.52534854
0,67,8.39103408,8.55704021
0,68,8.41012853,8.51957893
1,0,8.47127908,8.47095871
1,1,8.44539402,8.44856429
1,2,8.44423696,8.46295393
1,3,8.50735193,8.44656479
1,4,8.39300087,8.45075023
1,5,8.49779069,8.44475234
1,6,8.48212263,8.44259679
1,7,8.43123455,8.45889962
1,8,8.46708322,8.45554376
1,9,8.42979017,8.46259332
1,10,8.45086363,8.45497441
1,11,8.45159036,8.46591139
1,12,8.47606230,8.46426797
1,13,8.41207394,8.45472693
1,14,8.45804630,8.46926296
1,15,8.49294475,8.45812583
1,16,8.43922028,8.45371771
1,17,8.41503870,8.47659600
1,18,8.45022194,8.46328211
1,19,8.49496111,8.45087481
1,20,8.42128080,8.44190037
1,21,8.44947502,8.47207355
2,0,8.46480042,8.45736170
2,1,8.44007891,8.46187496
2,2,8.45738037,8.44549608
2,3,8.45224904,8.45160615
2,4,8.45759644,8.45702040
2,5,8.46528706,8.44432211
2,6,8.47464481,8.43150461
2,7,8.44823289,8.44233096
2,8,8.41251364,8.46026003
2,9,8.40417078,8.44062841
2,10,8.43484920,8.44693410
2,11,8.39222777,8.43941236
2,12,8.44902188,8.45432138
2,13,8.45639393,8.43857396
2,14,8.40103477,8.44726014
2,15,8.44725662,8.44065487
2,16,8.48533025,8.43388569
2,17,8.42283943,8.44284666
2,18,8.40440807,8.44259405
2,19,8.48577967,8.44991398
2,20,8.42285451,8.43916547
2,21,8.44634736,8.43666577
3,0,8.45031750,8.47754931
3,1,8.48989078,8.48594475
3,2,8.42356329,8.49645674
3,3,8.44739854,8.47332132
3,4,8.43740946,8.48459947
3,5,8.38452014,8.49504244
3,6,8.45671138,8.47162974
3,7,8.47821397,8.47775209
3,8,8.42772782,8.47464037
3,9,8.50233197,8.48817027
3,10,8.48037162,8.47667658
3,11,8.47505599,8.47767556
3,12,8.42705929,8.48587954
3,13,8.49192840,8.47280788
3,14,8.42724067,8.48878372
3,15,8.45055166,8.47062302
3,16,8.48595199,8.46281326
3,17,8.43842858,8.51392829
3,18,8.51707420,8.47966337
3,19,8.42992479,8.47705698
3,20,8.42146215,8.49213016
3,21,8.44383815,8.47883165
3,22,8.44383976,8.48983288
3,23,8.48291743,8.49201977
3,24,8.47477010,8.46738565
3,25,8.47223794,8.52350450
3,26,8.46270108,8.48155892
3,27,8.44221370,8.47421515
3,28,8.39394794,8.48296440
3,29,8.41630486,8.48262441
3,30,8.45508182,8.47607470
3,31,8.45815015,8.48651242
4,0,8.45657967,8.58026421
4,1,8.39744100,8.57872903
4,2,8.48115537,8.57246792
4,3,8.44345981,8.57610106
4,4,8.41375118,8.56522155
4,5,8.44989127,8.57336628
4,6,8.40670177,8.56540787
4,7,8.46332392,8.57478356
4,8,8.43351072,8.59116483
4,9,8.42792684,8.56702137
4,10,8.44592738,8.57053316
4,11,8.43734741,8.57649720
4,12,8.43553489,8.57371151
4,13,8.44932765,8.58862293
4,14,8.42307219,8.57152379
4,15,8.49630636,8.57216811
4,16,8.45459136,8.56578314
4,17,8.44935483,8.56487536
4,18,8.41744360,8.56874168
4,19,8.39053899,8.57459831
