k,epoch,train_loss,val_loss
0,0,9.55009711,9.21859646
0,1,9.27329719,9.18743348
0,2,9.26199365,9.14351618
0,3,9.28758910,9.11670744
0,4,9.15728480,8.89724445
0,5,8.84082401,8.67142069
0,6,8.76659992,8.52504778
0,7,8.62797624,8.56684995
0,8,8.57712220,8.47440577
0,9,8.52017123,8.50611460
0,10,8.54748708,8.43577337
0,11,8.54427049,8.41855824
0,12,8.52268273,8.40294182
0,13,8.52853590,8.42133534
0,14,8.48369399,8.39278233
0,15,8.47596216,8.39441645
0,16,8.48133460,8.40104103
0,17,8.49084467,8.38162243
0,18,8.48134527,8.38572121
0,19,8.51345205,8.37668371
0,20,8.45454293,8.36486304
0,21,8.42213318,8.38296413
0,22,8.45961818,8.37203884
0,23,8.36744907,8.38760149
0,24,8.45403984,8.37159169
0,25,8.43231881,8.36007750
0,26,8.43912068,8.34698474
0,27,8.42263803,8.37209511
0,28,8.44772980,8.35741580
0,29,8.39884302,8.35487580
0,30,8.43751729,8.35168642
0,31,8.41683075,8.34673917
0,32,8.46224713,8.34199417
0,33,8.44715834,8.36853433
0,34,8.44578850,8.38439178
0,35,8.45823058,8.34826720
0,36,8.40532205,8.32621831
0,37,8.44867022,8.33774257
0,38,8.49257720,8.34726501
0,39,8.43920770,8.33753526
0,40,8.42009619,8.43213940
0,41,8.44077200,8.35082829
0,42,8.44161230,8.34276187
0,43,8.47179994,8.33440185
0,44,8.40455779,8.34843540
0,45,8.40917021,8.34096754
0,46,8.42282939,8.33927512
0,47,8.39287665,8.34283197
0,48,8.43511960,8.40324819
0,49,8.51883963,8.36077094
0,50,8.38200113,8.36089528
0,51,8.40312959,8.33424652
1,0,8.40589061,8.45258439
1,1,8.39795989,8.42560744
1,2,8.44815391,8.44937038
1,3,8.44208482,8.44889796
1,4,8.40536395,8.46772707
1,5,8.45587456,8.44678891
1,6,8.46163875,8.44835097
1,7,8.46159205,8.47264743
1,8,8.44439745,8.44589818
1,9,8.47296989,8.47161722
1,10,8.44221175,8.43675566
1,11,8.42736621,8.41490924
1,12,8.44538864,8.45408255
1,13,8.44693339,8.43723989
1,14,8.38397309,8.43199182
1,15,8.41748452,8.42984152
1,16,8.42409715,8.43602133
1,17,8.44228762,8.44907820
1,18,8.45390037,8.42390192
1,19,8.46415734,8.43535924
1,20,8.42755935,8.43412578
1,21,8.44021499,8.42700219
1,22,8.47005951,8.43381834
1,23,8.42711636,8.44963574
1,24,8.38453758,8.42661786
1,25,8.41938862,8.44184208
1,26,8.43412232,8.42839456
2,0,8.48059613,8.38788176
2,1,8.40031156,8.39925778
2,2,8.47629941,8.38424993
2,3,8.44461071,8.38498151
2,4,8.44451922,8.39418781
2,5,8.43146116,8.37969398
2,6,8.41809437,8.40129018
2,7,8.39719556,8.38171983
2,8,8.44015433,8.38117623
2,9,8.46155307,8.38909948
2,10,8.40328501,8.37261128
2,11,8.35533971,8.36952555
2,12,8.39223042,8.38471687
2,13,8.41074830,8.38953567
2,14,8.37602256,8.37310135
2,15,8.49554104,8.36121333
2,16,8.44312152,8.36919510
2,17,8.45951316,8.40226960
2,18,8.46714875,8.37351668
2,19,8.41419819,8.37577760
2,20,8.44482209,8.37995565
2,21,8.40053329,8.38442671
2,22,8.41365704,8.37012851
2,23,8.43592501,8.38500762
2,24,8.41107669,8.36213923
2,25,8.44436586,8.41651762
2,26,8.41240987,8.38320935
2,27,8.45173496,8.39341187
2,28,8.43340707,8.38306367
2,29,8.41303240,8.38970387
2,30,8.46907970,8.38578629
3,0,8.45001903,8.42998397
3,1,8.42749363,8.44377792
3,2,8.44627607,8.39620292
3,3,8.44231614,8.41494238
3,4,8.43489739,8.40524375
3,5,8.41920951,8.41173744
3,6,8.40277542,8.41220593
3,7,8.39957613,8.41302371
3,8,8.39004067,8.40464461
3,9,8.39856359,8.41119528
3,10,8.45521230,8.42439651
3,11,8.44596204,8.41293526
3,12,8.45180476,8.41510510
3,13,8.39082968,8.42580199
3,14,8.43828568,8.41888189
3,15,8.43992624,8.41878510
3,16,8.35654610,8.41153860
3,17,8.41982007,8.41093373
4,0,8.39365947,8.52727365
4,1,8.42306705,8.51586556
4,2,8.41343755,8.52220607
4,3,8.40438825,8.52768886
4,4,8.43300369,8.52169383
4,5,8.40051216,8.52278364
4,6,8.43199870,8.52180481
4,7,8.41574846,8.52079165
4,8,8.44165611,8.52344131
4,9,8.43086869,8.52589130
4,10,8.45916879,8.52368927
4,11,8.41274948,8.52492225
4,12,8.41417770,8.53275871
4,13,8.39011425,8.51577199
4,14,8.42610949,8.54053926
4,15,8.45568293,8.52895582
4,16,8.39807653,8.50895977
4,17,8.40068519,8.51094592
4,18,8.40442011,8.53268170
4,19,8.40487579,8.52076244
4,20,8.38890025,8.54392254
4,21,8.42218763,8.52707398
4,22,8.42378920,8.52458274
4,23,8.41736609,8.51235080
4,24,8.41910449,8.52550840
4,25,8.42659026,8.52758813
4,26,8.42792037,8.54167390
4,27,8.43103874,8.52166808
4,28,8.43775761,8.51372528
4,29,8.42668590,8.50106466
4,30,8.39621010,8.52156210
4,31,8.43979031,8.52859330
4,32,8.42043141,8.51537704
4,33,8.37715963,8.51255107
4,34,8.41767907,8.53952444
4,35,8.39123550,8.52767873
4,36,8.46358687,8.51372290
4,37,8.38830769,8.52060854
4,38,8.41106215,8.53864658
4,39,8.44055718,8.51294816
4,40,8.42481899,8.51418722
4,41,8.43994287,8.51097679
4,42,8.41495642,8.54839969
4,43,8.41652408,8.53845870
4,44,8.41960534,8.51267672
