metric,asset,seed_2,mean
A12_rv_law_loss,0,0.00278782598673778,0.00278783
A12_rv_law_loss,1,0.005511509904154369,0.00551151
A12_rv_law_loss,2,0.0036043720006957974,0.00360437
A12_rv_law_loss,3,0.011521733716779864,0.01152173
A12_rv_law_loss,4,0.0022896078847893736,0.00228961
A12_rv_law_loss,5,0.00310735409357286,0.00310735
A12_rv_law_loss,6,0.006696338813492474,0.00669634
A12_rv_law_loss,7,0.006495503632873502,0.0064955
A13_mean_path_rmse,0,0.005602132056636562,0.00560213
A13_mean_path_rmse,1,0.0035286365975063976,0.00352864
A13_mean_path_rmse,2,0.004523237604163135,0.00452324
A13_mean_path_rmse,3,0.010849624713284161,0.01084962
A13_mean_path_rmse,4,0.006364239142842702,0.00636424
A13_mean_path_rmse,5,0.007804415072867706,0.00780442
A13_mean_path_rmse,6,0.005638844143501765,0.00563884
A13_mean_path_rmse,7,0.00925535424002349,0.00925535
A14_ks_logreturns,0,0.0946637651738845,0.09466377
A14_ks_logreturns,1,0.03647755700459321,0.03647756
A14_ks_logreturns,2,0.09329375820209976,0.09329376
A14_ks_logreturns,3,0.06856955380577434,0.06856955
A14_ks_logreturns,4,0.052595964566929054,0.05259596
A14_ks_logreturns,5,0.04161796669947504,0.04161797
A14_ks_logreturns,6,0.10330416461614172,0.10330416
A14_ks_logreturns,7,0.18082297818241472,0.18082298
A15_skewness_error,0,0.08615793618873793,0.08615794
A15_skewness_error,1,0.0968003128740929,0.09680031
A15_skewness_error,2,0.5522125457806388,0.55221255
A15_skewness_error,3,0.1620787500985117,0.16207875
A15_skewness_error,4,0.013261135842251921,0.01326114
A15_skewness_error,5,0.5683012923754659,0.56830129
A15_skewness_error,6,0.30974144167383916,0.30974144
A15_skewness_error,7,0.11555611213017142,0.11555611
A16_qq_rmse,0,9.447056785864157e-05,9.447e-05
A16_qq_rmse,1,0.0001000530070081411,0.00010005
A16_qq_rmse,2,0.00011328390075616755,0.00011328
A16_qq_rmse,3,0.00021263332409570876,0.00021263
A16_qq_rmse,4,6.426830570839957e-05,6.427e-05
A16_qq_rmse,5,5.0274654156354824e-05,5.027e-05
A16_qq_rmse,6,0.00010231977317692902,0.00010232
A16_qq_rmse,7,0.00014229012492973905,0.00014229
A17_terminal_ks,0,0.04036458333333334,0.04036458
A17_terminal_ks,1,0.03548177083333337,0.03548177
A17_terminal_ks,2,0.033040364583333315,0.03304036
A17_terminal_ks,3,0.01969401041666663,0.01969401
A17_terminal_ks,4,0.03271484375,0.03271484
A17_terminal_ks,5,0.04833984375,0.04833984
A17_terminal_ks,6,0.07779947916666669,0.07779948
A17_terminal_ks,7,0.06559244791666669,0.06559245
A19_pred_score_gru,0,0.005492,0.005492
A19_pred_score_gru,1,0.004553,0.004553
A19_pred_score_gru,2,0.003137,0.003137
A19_pred_score_gru,3,0.00678,0.00678
A19_pred_score_gru,4,0.001717,0.001717
A19_pred_score_gru,5,0.002031,0.002031
A19_pred_score_gru,6,0.002337,0.002337
A19_pred_score_gru,7,0.002778,0.002778
A19_pred_score_mlp,0,0.005655,0.005655
A19_pred_score_mlp,1,0.005373,0.005373
A19_pred_score_mlp,2,0.003357,0.003357
A19_pred_score_mlp,3,0.006842,0.006842
A19_pred_score_mlp,4,0.001976,0.001976
A19_pred_score_mlp,5,0.002191,0.002191
A19_pred_score_mlp,6,0.002561,0.002561
A19_pred_score_mlp,7,0.00288,0.00288
A1_kurtosis_error,0,31.343397600432652,31.3433976
A1_kurtosis_error,1,31.3837885556952,31.38378856
A1_kurtosis_error,2,97.0674099321897,97.06740993
A1_kurtosis_error,3,18.289420059693484,18.28942006
A1_kurtosis_error,4,26.414159068737895,26.41415907
A1_kurtosis_error,5,44.337159436201645,44.33715944
A1_kurtosis_error,6,29.04362291606781,29.04362292
A1_kurtosis_error,7,17.652234104390246,17.6522341
A21_acf_abs,0,0.016181705235934676,0.01618171
A21_acf_abs,1,0.01409052339160698,0.01409052
A21_acf_abs,2,0.011192546273086261,0.01119255
A21_acf_abs,3,0.04536650877528082,0.04536651
A21_acf_abs,4,0.03337789162894751,0.03337789
A21_acf_abs,5,0.03015267631575113,0.03015268
A21_acf_abs,6,0.03591578763036127,0.03591579
A21_acf_abs,7,0.061130793382742014,0.06113079
A22_acf_sq,0,0.00933574152355075,0.00933574
A22_acf_sq,1,0.013484943521797604,0.01348494
A22_acf_sq,2,0.014146567275452307,0.01414657
A22_acf_sq,3,0.04370109007261973,0.04370109
A22_acf_sq,4,0.03567761430559871,0.03567761
A22_acf_sq,5,0.03231631674383063,0.03231632
A22_acf_sq,6,0.03647961407966746,0.03647961
A22_acf_sq,7,0.050977527574140036,0.05097753
A23_acf_lag1_abs_error,0,0.03554624707996579,0.03554625
A23_acf_lag1_abs_error,1,0.017843644042804044,0.01784364
A23_acf_lag1_abs_error,2,0.016399981386212542,0.01639998
A23_acf_lag1_abs_error,3,0.05401862534915387,0.05401863
A23_acf_lag1_abs_error,4,0.03171436770469854,0.03171437
A23_acf_lag1_abs_error,5,0.03190437651337935,0.03190438
A23_acf_lag1_abs_error,6,0.037348478983593406,0.03734848
A23_acf_lag1_abs_error,7,0.07042230719129566,0.07042231
A24_acf_lag1_sq_error,0,0.0072002507180593395,0.00720025
A24_acf_lag1_sq_error,1,0.002220006855100848,0.00222001
A24_acf_lag1_sq_error,2,0.0034841781959954188,0.00348418
A24_acf_lag1_sq_error,3,0.056380735723186824,0.05638074
A24_acf_lag1_sq_error,4,0.03848998174386004,0.03848998
A24_acf_lag1_sq_error,5,0.03662998316438543,0.03662998
A24_acf_lag1_sq_error,6,0.04103193109480082,0.04103193
