metric,scope,mean,std,seed_2
A6_path_mmd2,native,0.00098059,0.0,0.0009805900612120944
A7_terminal_mmd2,native,0.00264257,0.0,0.002642567855755118
A8_increment_mmd2,native,1.013e-05,0.0,1.0134713896770009e-05
A9_volatility_mmd,native,0.00958007,0.0,0.009580072527670458
A10_terminal_swd,native,0.10258077,0.0,0.10258076577525253
A11_path_swd,native,0.06290009,0.0,0.06290009412699663
A20_cov_error,native,1.46260995,0.0,1.4626099510573385
A25_mean_rmse,native,0.02990428,0.0,0.029904281452470427
A18_disc_score_gru,native,0.009357,0.0,0.009357
A18_disc_score_mlp,native,0.00895,0.0,0.00895
A1_kurtosis_error,per-asset-mean,36.94139896,0.0,36.941398959176084
A2_abs_r_q95_error,per-asset-mean,0.00013483,0.0,0.00013482879602870755
A3_abs_r_q99_error,per-asset-mean,0.00038564,0.0,0.0003856444945688546
A4_tail_qq_error,per-asset-mean,0.00015175,0.0,0.00015175100619443151
A5_hill_tail_index_error,per-asset-mean,38.92721023,0.0,38.92721023016978
A12_rv_law_loss,per-asset-mean,0.00525178,0.0,0.005251780754137003
A13_mean_path_rmse,per-asset-mean,0.00669581,0.0,0.006695810446353239
A14_ks_logreturns,per-asset-mean,0.08391821,0.0,0.08391821353141404
A15_skewness_error,per-asset-mean,0.23801369,0.0,0.2380136908704637
A16_qq_rmse,per-asset-mean,0.00010995,0.0,0.00010994920721126017
A17_terminal_ks,per-asset-mean,0.04412842,0.0,0.04412841796875
A21_acf_abs,per-asset-mean,0.03092605,0.0,0.03092605407921383
A22_acf_sq,per-asset-mean,0.02951493,0.0,0.02951492688708215
A23_acf_lag1_abs_error,per-asset-mean,0.03689975,0.0,0.0368997535313879
A24_acf_lag1_sq_error,per-asset-mean,0.03112653,0.0,0.031126533750287535
A26_std_error,per-asset-mean,0.0069964,0.0,0.0069963971085849905
A27_logreturn_std_error,per-asset-mean,6.996e-05,0.0,6.996330041833766e-05
A28_kurtosis_ratio,per-asset-mean,13.25365157,0.0,13.25365156884332
A29_sigma_mean_error,per-asset-mean,0.00122247,0.0,0.001222473362978511
A30_vol_path_rmse,per-asset-mean,0.06109107,0.0,0.06109107297548953
A31_rolling_vol_ks,per-asset-mean,0.16574419,0.0,0.16574419223196138
A32_vol_of_vol_error,per-asset-mean,8.304e-05,0.0,8.303812946923484e-05
B_log_ret_hist_funct,per-asset-mean,113489.46298967,0.0,113489.46298967309
B_log_ret_hist_der,per-asset-mean,233472.76891371,0.0,233472.76891370548
B_log_ret_hist_sec_der,per-asset-mean,726238.54017447,0.0,726238.540174474
B_log_ret_hist_funct_pct,per-asset-mean,176780346.16926867,0.0,176780346.16926867
B_log_ret_hist_der_pct,per-asset-mean,172.85186576,0.0,172.85186575720468
B_log_ret_hist_sec_der_pct,per-asset-mean,135463.96173496,0.0,135463.96173495817
B_log_ret_hist_funct_nrmse,per-asset-mean,7.98953797,0.0,7.989537973578731
B_log_ret_hist_der_nrmse,per-asset-mean,14.05698996,0.0,14.056989959538901
B_log_ret_hist_sec_der_nrmse,per-asset-mean,13.86646032,0.0,13.866460319403707
B_log_ret_hist_funct_cvar90,per-asset-mean,15.51623935,0.0,15.516239348443527
B_log_ret_hist_funct_cvar95,per-asset-mean,24.73517951,0.0,24.735179506925476
