metric,scope,mean,std,seed_1
A6_path_mmd2,native,0.00105589,0.0,0.0010558930926258814
A7_terminal_mmd2,native,0.00275149,0.0,0.0027514870061384755
A8_increment_mmd2,native,9.41e-06,0.0,9.41029261114501e-06
A9_volatility_mmd,native,0.00937592,0.0,0.009375915819001657
A10_terminal_swd,native,0.1115042,0.0,0.1115042040232141
A11_path_swd,native,0.06957417,0.0,0.06957417220250198
A20_cov_error,native,1.67821976,0.0,1.6782197579857439
A25_mean_rmse,native,0.02369269,0.0,0.02369268837301375
A18_disc_score_gru,native,0.006103,0.0,0.006103
A18_disc_score_mlp,native,0.000814,0.0,0.000814
A1_kurtosis_error,per-asset-mean,38.08793842,0.0,38.08793841918226
A2_abs_r_q95_error,per-asset-mean,0.0001634,0.0,0.0001634046315389326
A3_abs_r_q99_error,per-asset-mean,0.00039612,0.0,0.00039612364518957425
A4_tail_qq_error,per-asset-mean,0.00017444,0.0,0.00017443630442254791
A5_hill_tail_index_error,per-asset-mean,32.5736862,0.0,32.57368619709042
A12_rv_law_loss,per-asset-mean,0.00522397,0.0,0.005223970266363421
A13_mean_path_rmse,per-asset-mean,0.00757648,0.0,0.007576477442762202
A14_ks_logreturns,per-asset-mean,0.08033076,0.0,0.08033075607980644
A15_skewness_error,per-asset-mean,0.23739886,0.0,0.23739886227727347
A16_qq_rmse,per-asset-mean,0.00011054,0.0,0.00011054102822337657
A17_terminal_ks,per-asset-mean,0.0460612,0.0,0.04606119791666667
A21_acf_abs,per-asset-mean,0.03028206,0.0,0.030282062991752023
A22_acf_sq,per-asset-mean,0.02923568,0.0,0.02923567957288573
A23_acf_lag1_abs_error,per-asset-mean,0.03448748,0.0,0.034487475860391865
A24_acf_lag1_sq_error,per-asset-mean,0.03027645,0.0,0.030276445737908612
A26_std_error,per-asset-mean,0.00878016,0.0,0.008780161858300852
A27_logreturn_std_error,per-asset-mean,8.79e-05,0.0,8.789838918726432e-05
A28_kurtosis_ratio,per-asset-mean,13.54375055,0.0,13.54375055158665
A29_sigma_mean_error,per-asset-mean,0.00126195,0.0,0.0012619538843058327
A30_vol_path_rmse,per-asset-mean,0.0569838,0.0,0.05698380211728528
A31_rolling_vol_ks,per-asset-mean,0.16434832,0.0,0.16434832317073172
A32_vol_of_vol_error,per-asset-mean,9.004e-05,0.0,9.004350209036445e-05
B_log_ret_hist_funct,per-asset-mean,112276.40878084,0.0,112276.40878083796
B_log_ret_hist_der,per-asset-mean,233442.68302172,0.0,233442.68302171963
B_log_ret_hist_sec_der,per-asset-mean,726567.55140118,0.0,726567.5514011767
B_log_ret_hist_funct_pct,per-asset-mean,185752155.30828157,0.0,185752155.30828157
B_log_ret_hist_der_pct,per-asset-mean,148.97722302,0.0,148.97722301735368
B_log_ret_hist_sec_der_pct,per-asset-mean,419956.97834433,0.0,419956.9783443278
B_log_ret_hist_funct_nrmse,per-asset-mean,7.85779496,0.0,7.857794958235037
B_log_ret_hist_der_nrmse,per-asset-mean,14.05994537,0.0,14.059945366088904
B_log_ret_hist_sec_der_nrmse,per-asset-mean,13.87955172,0.0,13.879551715456733
B_log_ret_hist_funct_cvar90,per-asset-mean,15.38120698,0.0,15.381206980038048
B_log_ret_hist_funct_cvar95,per-asset-mean,24.41349391,0.0,24.413493913225892
B_qq_plot_funct,per-asset-mean,2e-08,0.0,1.5704793558612165e-08
B_qq_plot_der,per-asset-mean,0.0,0.0,1.5853859160473676e-09
B_qq_plot_sec_der,per-asset-mean,0.0,0.0,1.0682744113135858e-09
B_qq_plot_funct_pct,per-asset-mean,972.19495387,0.0,972.1949538688174
B_qq_plot_der_pct,per-asset-mean,192.89120718,0.0,192.89120718343366
B_qq_plot_sec_der_pct,per-asset-mean,61.03440612,0.0,61.03440611861629
B_qq_plot_funct_nrmse,per-asset-mean,5.18334441,0.0,5.183344412080244
B_qq_plot_der_nrmse,per-asset-mean,5.23782244,0.0,5.2378224387315
B_qq_plot_sec_der_nrmse,per-asset-mean,7.36918022,0.0,7.369180216032139
B_qq_plot_funct_cvar90,per-asset-mean,5.13311696,0.0,5.133116958984388
B_qq_plot_funct_cvar95,per-asset-mean,6.59486691,0.0,6.594866909524658
B_acf_abs_r_funct,per-asset-mean,0.00095589,0.0,0.000955892236384787
B_acf_abs_r_der,per-asset-mean,0.00016393,0.0,0.00016393133937212467
B_acf_abs_r_sec_der,per-asset-mean,0.00058096,0.0,0.0005809634186482058
B_acf_abs_r_funct_pct,per-asset-mean,868.48341578,0.0,868.4834157830927
B_acf_abs_r_der_pct,per-asset-mean,115.76960373,0.0,115.76960373038035
B_acf_abs_r_sec_der_pct,per-asset-mean,111.71815839,0.0,111.71815839131892
B_acf_abs_r_funct_nrmse,per-asset-mean,42.31928562,0.0,42.31928561708426
B_acf_abs_r_der_nrmse,per-asset-mean,55.49854867,0.0,55.4985486671457
B_acf_abs_r_sec_der_nrmse,per-asset-mean,120.28835253,0.0,120.28835253228094
B_acf_abs_r_funct_cvar90,per-asset-mean,55.82373349,0.0,55.823733486768
B_acf_abs_r_funct_cvar95,per-asset-mean,58.55235698,0.0,58.552356981037946
B_acf_sq_r_funct,per-asset-mean,0.00082297,0.0,0.0008229693502895112
B_acf_sq_r_der,per-asset-mean,9.144e-05,0.0,9.144237287689717e-05
B_acf_sq_r_sec_der,per-asset-mean,0.00031834,0.0,0.00031833598682360124
B_acf_sq_r_funct_pct,per-asset-mean,3333.52115645,0.0,3333.521156447877
B_acf_sq_r_der_pct,per-asset-mean,180.49100589,0.0,180.49100589350843
