metric,scope,mean,std,seed_0,seed_2,seed_4,seed_5,seed_6
A6_path_mmd2,native,0.00215755,5.793e-05,0.002213199227080631,0.0022302301498853885,0.002126291897368779,0.002072183388769383,0.0021458290740954955
A7_terminal_mmd2,native,0.00213233,4.789e-05,0.0021204151136844963,0.002206387634121388,0.0021658485490295594,0.002076176985423315,0.0020928081773471177
A8_increment_mmd2,native,0.00088192,1.104e-05,0.000870040870291966,0.0008814715200846646,0.000874267474442636,0.0008816782672780299,0.0009021596931106934
A9_volatility_mmd,native,0.0348028,0.00184645,0.03240049268887098,0.03497687472853185,0.03749752824781698,0.0359615467785384,0.03317758167063791
A10_terminal_swd,native,1.70292113,0.11581566,1.68324958976971,1.8647368171216556,1.6108187135768293,1.5538839025158238,1.8019166041461303
A11_path_swd,native,1.04313324,0.04082427,1.0010133005775936,1.0968898203363198,0.9901045371029026,1.0633044394171336,1.064354108450814
A20_cov_error,native,288.95591464,11.39169803,300.92067307204167,298.4543154556351,284.94555244482314,269.11430602603883,291.34472618879545
A25_mean_rmse,native,2.44528725,0.12168854,2.3099161239200905,2.661949492034228,2.424210935429251,2.4722565980751114,2.358103109597228
A18_disc_score_gru,native,0.1004272,0.12979124,0.341929,0.025175,0.13076,0.002594,0.001678
A18_disc_score_mlp,native,0.0043028,0.00298745,0.005951,0.00534,0.001678,0.000153,0.008392
A1_kurtosis_error,per-asset-mean,1.00496259,0.13881209,1.2550059411492835,1.0392146231751975,0.9369713396803403,0.84868277989623,0.9449382670462931
A2_abs_r_q95_error,per-asset-mean,0.00061871,0.00020119,0.0005866847276589371,0.0009580330548245256,0.0005330519375762008,0.0006726674079797798,0.00034309263160967746
A3_abs_r_q99_error,per-asset-mean,0.00188447,0.00041047,0.0016652595592857472,0.0025104587866188813,0.0019763415647864233,0.002002394158971193,0.0012678861214043984
A4_tail_qq_error,per-asset-mean,0.00066441,0.0001715,0.0006266080596253114,0.0009738535161762287,0.0006004313417311317,0.0006706248183650611,0.0004505372213127121
A5_hill_tail_index_error,per-asset-mean,2.15025128,0.18993757,2.4843838649927505,2.1078676212513425,2.1554091489499787,1.8949404606925229,2.108655328350599
A12_rv_law_loss,per-asset-mean,0.83661879,0.0939914,0.7275321910965937,0.9474619607239259,0.9232631600177835,0.8578828309267381,0.7269537895320402
A13_mean_path_rmse,per-asset-mean,0.45088018,0.02435545,0.4219019919864221,0.49450862334898416,0.4501101489695827,0.4360078380805863,0.45187230380317944
A14_ks_logreturns,per-asset-mean,0.01891479,0.00086062,0.01797181391621016,0.018681621171563745,0.01954413790151893,0.018136013076599844,0.02024038854348233
A15_skewness_error,per-asset-mean,0.05435488,0.00099288,0.05448819687044858,0.05435410739822256,0.0557860107680187,0.052667331561632655,0.05447874984598815
A16_qq_rmse,per-asset-mean,0.00054675,4.182e-05,0.0005020336136252552,0.0006153446720379511,0.0005723255214457419,0.0005129448668673037,0.0005311170387481695
A17_terminal_ks,per-asset-mean,0.03754883,0.00306074,0.03350830078125,0.04193115234375,0.039764404296875,0.0375213623046875,0.0350189208984375
A21_acf_abs,per-asset-mean,0.049999,0.00112815,0.049359888338934156,0.0511512069229605,0.05022418815469241,0.051096872187123325,0.04816283929160178
A22_acf_sq,per-asset-mean,0.03809991,0.00109806,0.03734520046517147,0.03914344151185743,0.03838951529674747,0.03924578646385984,0.03637559461769849
A23_acf_lag1_abs_error,per-asset-mean,0.05795929,0.00120392,0.05734075693578311,0.0591938337131549,0.058201372377071764,0.05909766987633715,0.055962820468876885
