metric,asset,seed_0,seed_1,seed_2,seed_3,seed_4,mean
A12_rv_law_loss,0,3.0840068927903093,3.0197707475858104,3.377617010923478,3.258285637561556,3.1907796629539944,3.18609199
A12_rv_law_loss,1,4.970831715466533,4.700791671339249,5.452614533863706,5.337879843612161,5.140513485450661,5.12052625
A12_rv_law_loss,2,4.0503410109128275,3.907044404114812,4.396668132502007,4.395169087320691,4.167694548316715,4.18338344
A12_rv_law_loss,3,5.763509963800278,5.441420449972321,6.272108333114575,5.992770525121299,5.84025054999462,5.86201196
A12_rv_law_loss,4,3.6372302492881157,3.505021587146259,3.9477270921281042,3.905716067721267,3.756834552728568,3.75050591
A12_rv_law_loss,5,5.066278622466115,4.843440968956721,5.23575758641101,5.309209530597623,5.125617339888557,5.11606081
A12_rv_law_loss,6,3.296662556789193,3.0943894739784334,3.596184947005849,3.4654483174818687,3.3782019825757343,3.36617746
A12_rv_law_loss,7,2.4451454730817956,2.3822153058362763,2.638106750705467,2.6339366191343254,2.4937662654263755,2.51863408
A13_mean_path_rmse,0,0.7030857424810154,1.29897039408783,1.4661415344439668,1.6080745080976817,0.27170808652959244,1.06959605
A13_mean_path_rmse,1,1.537008834131756,2.2045076964438737,1.8747349858849385,2.160714912327456,0.2779050699008417,1.6109743
A13_mean_path_rmse,2,1.262650833032754,1.3636919239260517,1.599497873186434,1.8421444153418631,0.2000103817821591,1.25359909
A13_mean_path_rmse,3,1.8666326740393082,2.839850013487233,2.3013554961940934,2.588125688076099,0.6516353465437189,2.04951984
A13_mean_path_rmse,4,1.0125536329975788,1.7020516703566355,1.4388617321646393,1.5827349701848212,0.2169352712968671,1.19062746
A13_mean_path_rmse,5,1.1446376256660304,1.6577642464019984,1.9641771542981301,2.713516170465855,0.19974371172612218,1.53596778
A13_mean_path_rmse,6,1.1902106822570915,2.06553341081171,1.3912965652970846,1.687088714825296,0.35016328881523734,1.33685853
A13_mean_path_rmse,7,0.9447906724451276,1.4172359357076374,1.3575311600749913,1.4686600132850502,0.19881802011471575,1.07740716
A14_ks_logreturns,0,0.0692401293264443,0.06754622136454191,0.07713238841508965,0.07568262107818727,0.07077986880602594,0.07207625
A14_ks_logreturns,1,0.0571123708291833,0.05354120626867531,0.062444071370766935,0.06126324779008965,0.05824115646787853,0.05852041
A14_ks_logreturns,2,0.06373237518675301,0.060338236896165354,0.06778793031000996,0.06870224181399401,0.06381942931399409,0.06487604
A14_ks_logreturns,3,0.05216195763819731,0.04886800454432261,0.0564806204868028,0.05411994599726097,0.05213958618650405,0.05275402
A14_ks_logreturns,4,0.06378003610557759,0.06024242872260965,0.06787303909362552,0.06732396585532868,0.06421919742903393,0.06468773
A14_ks_logreturns,5,0.05704866082544824,0.05390741720617531,0.057257785265189265,0.05936459241160358,0.05635709116658372,0.05678711
A14_ks_logreturns,6,0.06395511703187251,0.05979208167330674,0.06951199109810757,0.06749175174302788,0.06491952113421307,0.06513409
A14_ks_logreturns,7,0.0635952284611554,0.061888189429780915,0.06849409004606574,0.069091796875,0.06345127303286857,0.06530412
A15_skewness_error,0,0.06244481514645738,0.06178186775890134,0.062044082621142936,0.07785925940085475,0.07090601296253443,0.06700721
A15_skewness_error,1,0.058549598790390664,0.04181380002326242,0.057244430059391935,0.05491780999856703,0.06463706520260475,0.05543254
A15_skewness_error,2,0.10868169155348842,0.10672864757864711,0.10423388875385128,0.11109671206561872,0.11365123383365952,0.10887843
A15_skewness_error,3,0.016309856922226577,0.005398899790441274,0.014594322555653273,0.0153157445066966,0.018640788175955623,0.01405192
A15_skewness_error,4,0.11602867962806408,0.10083005950428596,0.11133043929178053,0.11736199414925909,0.11514910695459023,0.11214006
A15_skewness_error,5,0.06558552778391562,0.04956088955842297,0.06775927422108248,0.0635129965416905,0.06966460048701646,0.06321666
A15_skewness_error,6,0.04331418045144114,0.039295053377179964,0.04892993357282016,0.06009606678970569,0.05390447291090397,0.04910794
A15_skewness_error,7,0.08082873099256357,0.07351361804145817,0.0843681215125876,0.08916934145264613,0.09303318851343892,0.0841826
A16_qq_rmse,0,0.002582612463306838,0.0025172953095009367,0.002886671468310483,0.0027785103926914073,0.0026864354884984657,0.00269031
A16_qq_rmse,1,0.003010727936461255,0.002824683789043722,0.003362017134203877,0.003277014664114156,0.003131958068868721,0.00312128
A16_qq_rmse,2,0.0028387540910501,0.0027233837756859224,0.003131356232056332,0.0031314264994199937,0.002931181807304719,0.00295122
A16_qq_rmse,3,0.0030013180690186573,0.0028128415899573906,0.0033035295935050276,0.003142669210188511,0.003044835898657644,0.00306104
A16_qq_rmse,4,0.00268833899577619,0.0025668988919974314,0.0029606157554085454,0.002922891476289027,0.0027814604635201115,0.00278404
A16_qq_rmse,5,0.003001645077411814,0.002844441086285464,0.0031144276388090416,0.003167317851667046,0.003032537628439967,0.00303207
