stage,epoch,loss,recons_loss.time,recons_loss.LF.time,recons_loss.HF.time,recons_loss.LF.timefreq,recons_loss.HF.timefreq,commit_loss.LF,commit_loss.HF,perplexity.LF,perplexity.HF,perceptual
stage1,0,2.4232410257682204,0.29235100222285837,0.2146930462331511,0.0776579575613141,1.5212770579382777,0.10370295710163191,0.2100627194158733,0.29584725736640394,13.435246542096138,19.726023137569427,0.0
stage1,1,0.566879496909678,0.07977498084073886,0.02827761041407939,0.05149737017927691,0.25931039708666503,0.02586601034272462,0.07862795813707635,0.12330015085171908,18.340604096651077,20.841696798801422,0.0
stage1,2,0.40675636706873775,0.06500455149216577,0.022996953135589138,0.042007598269265145,0.18054247193504125,0.01863754919031635,0.05004786956124008,0.09252392535563558,16.03381060063839,22.54910698533058,0.0
stage1,3,0.34654358867555857,0.054007939994335175,0.02040659377234988,0.03360134636750445,0.15665952779818326,0.014018298388691619,0.0559504913398996,0.06590733502525836,15.209186092019081,23.38289240002632,0.0
stage1,4,0.2779803315643221,0.043053115252405405,0.016913728293729946,0.02613938710419461,0.12940413504838943,0.010114107717527077,0.053417866700328887,0.04199110751505941,14.70164668560028,23.53895455598831,0.0
stage1,5,0.22997708432376385,0.03704305225983262,0.014853276472422294,0.02218977562733926,0.1123842112137936,0.0075254731345921755,0.04323318140814081,0.029791166889481246,14.691578149795532,23.655500262975693,0.0
stage1,6,0.2000777032226324,0.03269811873906292,0.012925304523378145,0.019772813917370513,0.0987060206825845,0.0060182266679476015,0.03909711423330009,0.023558223649160936,14.959034383296967,23.62953782081604,0.0
stage1,7,0.19904718082398176,0.03238999375025742,0.01452007836633129,0.017869915405754,0.10654813115252182,0.005013750233047176,0.035951183148426935,0.019144122255966067,15.079342231154442,23.89814653992653,0.0
stage1,8,0.15677713206969202,0.02674417319940403,0.010538454072957393,0.01620571903185919,0.07954078115290031,0.004272773217962822,0.03104326277389191,0.015176143206190318,16.274659603834152,24.26823166012764,0.0
stage1,9,0.13834045769181103,0.024183939560316503,0.009438465342100244,0.014745474356459454,0.07124979293439537,0.00364344593253918,0.026812056836206466,0.01245122186082881,16.28313122689724,24.200516134500504,0.0
stage1,10,0.1477918279124424,0.02607266081031412,0.0113282844722562,0.014744376458111219,0.08278810669435188,0.003440880980633665,0.024430090619716793,0.011060088567319326,15.909796461462975,23.94281131029129,0.0
stage1,11,0.10973531811032444,0.02069884110824205,0.006766534646885702,0.013932306464994326,0.05317705386551097,0.003147510164126288,0.022541130427271128,0.01017078259610571,15.925071775913239,23.87956616282463,0.0
stage1,12,0.12095302785746753,0.022188279806869105,0.008688342226378154,0.013499937718734145,0.06510909838834777,0.002933108942670515,0.021211556275375187,0.009510984586086124,15.84997209906578,23.989880621433258,0.0
stage1,13,0.10407708748243749,0.02010197061463259,0.006724015009240247,0.01337795564904809,0.05238282916252501,0.002808579745760653,0.019842041714582592,0.008941666266764514,15.817476108670235,24.062962263822556,0.0
stage1,14,0.10022805153857917,0.01969136286061257,0.006495807501778472,0.013195555438869633,0.050715143559500575,0.0027274325730104465,0.018609037520946003,0.008485073733027093,16.010265588760376,24.119548976421356,0.0
stage1,15,0.10861824604216963,0.020491629256866872,0.007840495658456348,0.01265113358385861,0.059355765784857795,0.0025454786446061917,0.01808681956026703,0.008138553821481764,16.170554026961327,24.227601557970047,0.0
stage1,16,0.09390644868835807,0.018856238675653003,0.006147919804789126,0.012708318798104301,0.0481301486142911,0.002518602952477522,0.016536669863853604,0.00786478842201177,16.780601128935814,24.328639715909958,0.0
stage1,17,0.11894043534994125,0.021984159815474413,0.009457951717195101,0.012526208040071651,0.070603128609946,0.0024321910314029083,0.016298206130159087,0.007622750075825024,16.84590019285679,24.422519773244858,0.0
stage1,18,0.09040897036902606,0.018331436876906082,0.00606028082256671,0.012271156112547033,0.047202178539009765,0.0023219264185172506,0.015171741062658839,0.007381688235909678,16.97344806790352,24.46258008480072,0.0
stage1,19,0.09582172910450026,0.019054072079597972,0.006886244318593526,0.01216782777919434,0.05251312494510785,0.002293601388373645,0.014727486268384382,0.007233444121084176,17.254672542214394,24.479730516672134,0.0
stage1,20,0.09284068242413923,0.01887127988447901,0.006588801552425139,0.012282478244742379,0.050207268941449,0.002266502779093571,0.014409811978111975,0.007085818768246099,17.332880973815918,24.55226507782936,0.0
stage1,21,0.08767399733187631,0.018214797586551867,0.006015138436850975,0.012199659046018496,0.046584197611082345,0.002242579963422031,0.013732862760662101,0.006899559251905885,17.677124738693237,24.60456758737564,0.0
stage1,22,0.07950672111473978,0.01703367318259552,0.005102158691443037,0.011931514527532272,0.04010277861380018,0.002121344577972195,0.013475676736561581,0.006773248009267263,17.790026128292084,24.692936569452286,0.0
stage1,23,0.08596610027598217,0.017773551197024062,0.006007925676385639,0.011765625487896614,0.046155404939781874,0.0020758817554451525,0.01330794597743079,0.006653316529991571,17.817951142787933,24.746452778577805,0.0
stage1,24,0.08622628875309601,0.017749401391483843,0.0061302814283408225,0.011619119963143021,0.04669370409101248,0.00201082290004706,0.013206120856921189,0.006566239186213352,17.830980449914932,24.863852590322495,0.0
stage1,25,0.0803386818151921,0.016959526095888577,0.005467518478326383,0.011492007644847035,0.04220503621036187,0.0019555926737666596,0.0127374251751462,0.006481102544057649,17.812424898147583,24.89695781469345,0.0
stage1,26,0.0832151336944662,0.017459298323956318,0.0059757077560789185,0.011483590467832983,0.04497847906895913,0.001947296430444112,0.012410167168127373,0.00641989333962556,17.973849296569824,24.976464480161667,0.0
stage1,27,0.07637069298652932,0.01646519025962334,0.005153489571966929,0.011311700742226094,0.039529610017780215,0.0018577706105133984,0.012185096711618826,0.006333025994536001,17.98835438489914,25.00100275874138,0.0
stage1,28,0.07380518782883883,0.016231389483436942,0.004905176032480085,0.011326213367283344,0.03748852835269645,0.0018459720195096452,0.011982222960796207,0.006257075197936501,18.013082444667816,25.03777924180031,0.0
stage1,29,0.07239669613773003,0.015925373940262944,0.004798582307557808,0.011126791665446945,0.03659422101918608,0.0017935484302142868,0.011868676709127612,0.00621487530588638,18.105344474315643,25.108046263456345,0.0
stage1,30,0.07731348619563505,0.016589469567406923,0.0054133360463310964,0.011176133484696038,0.040938550082501024,0.0017636531447351445,0.011871261638589203,0.006150551787868608,18.31929123401642,25.13252967596054,0.0
stage1,31,0.07876751472940668,0.016770560774602927,0.0057346542162122205,0.011035906543838792,0.042551050428301096,0.001734334036882501,0.011616411778959446,0.006095157768868376,18.18923857808113,25.24071204662323,0.0
stage1,32,0.07738014578353614,0.0166950486600399,0.005661284421876189,0.011033764283638448,0.04174729689839296,0.0017130466530943522,0.011191371057066135,0.006033382727764547,18.446357637643814,25.24885556101799,0.0
stage1,33,0.06668558181263506,0.015174914035014808,0.004353962822278845,0.010820951225468889,0.03290961802122183,0.0016629341971565736,0.010927935058134608,0.006010180964949541,18.41436219215393,25.352042317390442,0.0
stage1,34,0.06717979710083455,0.015396152826724574,0.004462750188395148,0.010933402722002938,0.03354230709373951,0.0016631343351036776,0.010588025194010697,0.00599017692002235,18.490519046783447,25.399830758571625,0.0
stage1,35,0.07045745616778731,0.015952192654367536,0.004958865036314819,0.010993327698088251,0.036367305350722745,0.0016767768429417629,0.010521870091906749,0.005939311122347135,18.630202442407608,25.44198539853096,0.0
stage1,36,0.06567695055855438,0.01528463875001762,0.004394156319904141,0.010890482415561564,0.03261089509760495,0.0016025247750803828,0.010296550608472899,0.0058823414947255515,18.663159370422363,25.51284432411194,0.0
stage1,37,0.07017867953982204,0.015797261454281397,0.005102421857372974,0.010694839627831243,0.03695037522993516,0.0015604799191351049,0.010028330041677691,0.005842232647410128,18.778376400470734,25.573760628700256,0.0
stage1,38,0.08434151724213734,0.017553445024532266,0.006979859997954918,0.0105735850520432,0.049278614911600016,0.001523556638858281,0.010170684574404731,0.005815215401526075,18.75134539604187,25.643264591693878,0.0
stage1,39,0.06649934116285294,0.015140632429393008,0.00460367862979183,0.010536953806877136,0.03395728538453113,0.0015021466897451319,0.010102420710609294,0.005796855948574375,18.72750824689865,25.714458525180817,0.0
stage1,40,0.06306525773834437,0.014936573847080581,0.004215289503918029,0.010721284357714467,0.03104340666322969,0.0015454566600965336,0.009778929816093296,0.005760890933743212,18.843771308660507,25.74075013399124,0.0
stage1,41,0.06651874881936237,0.015437135603860952,0.0047352411929750815,0.010701894425437786,0.0341905188979581,0.0015290200062736403,0.00965473082032986,0.005707343101676088,18.869473218917847,25.79472216963768,0.0
stage1,42,0.06794861925300211,0.0155830822623102,0.005005178261853871,0.010577904031379148,0.03586950387398247,0.0014770565630897181,0.009367975144414231,0.005651001898513641,18.95602458715439,25.864727944135666,0.0
stage1,43,0.06964542291825637,0.01574044194421731,0.005197141153985285,0.010543300755671225,0.03746771824080497,0.0014646305025962647,0.009364297831780277,0.005608334853604902,18.928522914648056,25.883033871650696,0.0
stage1,44,0.06233575358055532,0.014717945174197666,0.0043102279378217645,0.01040771727275569,0.03154789490508847,0.0014089683299971512,0.009092442531255074,0.005568502405367326,19.05416551232338,25.948280096054077,0.0
stage1,45,0.061969560745637864,0.014841526121017523,0.004301628812754643,0.010539897295529954,0.031161897990386933,0.0014428842478082515,0.008980023441836238,0.005543228973692749,19.060710579156876,25.993373930454254,0.0
stage1,46,0.05695873295189813,0.014002960568177514,0.0037587267215712927,0.010244233824778348,0.027450027148006484,0.0013676020425918978,0.008635436752228998,0.005502707230334636,19.154400378465652,26.06662306189537,0.0
stage1,47,0.06610485975397751,0.015210474957711995,0.005075492144896998,0.01013498286192771,0.03584176347067114,0.001340788854577113,0.008238442824222147,0.005473390127008315,19.29208806157112,26.08403205871582,0.0
stage1,48,0.06043792614946142,0.014724349661264569,0.00433220940612955,0.010392140204203315,0.031035776191856712,0.0013883788633393124,0.007857538970711175,0.005431882236734964,19.481614738702774,26.106460690498352,0.0
stage1,49,0.05912757111946121,0.014395588907063939,0.004178026743829832,0.010217562143225223,0.030319184763357043,0.0013438240166578908,0.007658857473870739,0.005410116311395541,19.591431379318237,26.165644824504852,0.0
stage1,50,0.07016791985370219,0.015737834371975623,0.005588110741882701,0.010149723588256165,0.039820553225581534,0.0013275423389131902,0.007911799446446821,0.005370190629037097,19.79806751012802,26.22713392972946,0.0
stage1,51,0.05792934953933582,0.014073462676606141,0.004063493748617475,0.010009969002567232,0.029598869950859807,0.001310705787545885,0.007604804457514547,0.005341506439435761,20.022443026304245,26.26334583759308,0.0
stage1,52,0.05132453178521246,0.013464210409438238,0.0032427228943561204,0.01022148750780616,0.02392397163202986,0.0013335253861441743,0.007283031176484656,0.00531979381776182,20.08798587322235,26.2788545191288,0.0
stage1,53,0.06021012185374275,0.014584561140509322,0.004504086027736776,0.010080475156428292,0.03202589164720848,0.0012983815067855176,0.0070226429234026,0.005278645032376517,20.20210924744606,26.288249522447586,0.0
stage1,54,0.06179363903356716,0.014801343422732316,0.004731465698569082,0.010069877680507489,0.033530641594552435,0.0012875211050413782,0.006930331168405246,0.005243802130280528,20.30069589614868,26.351104468107224,0.0
stage1,55,0.05346653750166297,0.013500695684342645,0.0037141710963624064,0.009786524547962472,0.026709678961196914,0.0012237405571795534,0.006829002348240465,0.005203420558245853,20.387116700410843,26.392901211977005,0.0
stage1,56,0.0576730368193239,0.014048650351469405,0.00425617700057046,0.009792473341803998,0.030440669957897626,0.0012097985545551637,0.006810274819144979,0.005163643101695925,20.438791662454605,26.403545171022415,0.0
stage1,57,0.05640781112015247,0.014022416362422518,0.004107924529307638,0.00991449183493387,0.02931427487055771,0.001222328643052606,0.00670149131474318,0.00514730038412381,20.51082670688629,26.401856541633606,0.0
stage1,58,0.0632712715305388,0.014715924015035853,0.004985526378732175,0.009730397767270915,0.03539592889137566,0.0011932520792470314,0.006851725571323186,0.0051144405515515245,20.56242462992668,26.426797837018967,0.0
stage1,59,0.05430590338073671,0.013597483339253813,0.0038836376243125414,0.00971384569129441,0.027747861808165908,0.0011794586043833988,0.0066877864228445105,0.0050933134043589234,20.451814889907837,26.413985669612885,0.0
stage1,60,0.04979851841926575,0.013031204420258291,0.003296140792372171,0.009735063649713993,0.02389008566387929,0.0011926030929316767,0.0065821172029245645,0.005102508468553424,20.538803160190582,26.457599848508835,0.0
stage1,61,0.053245873539708555,0.013462600501952693,0.0037875991847613477,0.00967500134720467,0.027062252731411718,0.0011863124163937755,0.00647835381096229,0.005056354268162977,20.57455375790596,26.453054577112198,0.0
stage1,62,0.04784401349024847,0.012696744423010387,0.0030400242176256143,0.0096567201835569,0.022305407066596672,0.001205944521643687,0.006572676058567595,0.00506324200250674,20.766025841236115,26.458776354789734,0.0
stage1,63,0.052954109851270914,0.013351176778087392,0.0037939979738439433,0.009557178811519407,0.027011947968276218,0.001149398152847425,0.006447076921176631,0.004994510323740542,20.79763028025627,26.451500475406647,0.0
stage1,64,0.061101633007638156,0.014519044416374527,0.004844403185416013,0.009674641289166175,0.03404492397385184,0.0011721523260348476,0.006365226705383975,0.0050002852294710465,20.85049858689308,26.435518205165863,0.0
stage1,65,0.0493992724805139,0.013046646505245008,0.0032639629680488724,0.00978268355538603,0.02366525364050176,0.0011961359377892222,0.006502273383375723,0.004988962784409523,20.702981770038605,26.488864809274673,0.0
stage1,66,0.05214673065347597,0.013306151129654609,0.0036705254697153578,0.009635625727241859,0.02643869315215852,0.0011580105874600122,0.006324365909676999,0.004919510545732919,20.756943553686142,26.478551864624023,0.0
stage1,67,0.05056348833022639,0.01306601517717354,0.0034910082249552943,0.009575006930390373,0.025092627300182357,0.0011624684848356992,0.006287573502049781,0.00495480381505331,20.73747804760933,26.514336049556732,0.0
stage1,68,0.05331163026858121,0.013403319811914116,0.003876968365148059,0.009526351394015364,0.027556304092286155,0.0011377172249922296,0.006297091968008317,0.0049171973441843875,20.838848501443863,26.495630830526352,0.0
