stage,epoch,loss,prior_loss
stage2,0,5.0243406146764755,5.0243406146764755
stage2,1,2.346730526536703,2.346730526536703
stage2,2,2.059786532074213,2.059786532074213
stage2,3,1.959101241081953,1.959101241081953
stage2,4,1.7737312205135822,1.7737312205135822
stage2,5,1.7081584297120571,1.7081584297120571
stage2,6,1.6288689859211445,1.6288689859211445
stage2,7,1.6673166397958994,1.6673166397958994
stage2,8,1.5447098147124052,1.5447098147124052
stage2,9,1.662074850872159,1.662074850872159
stage2,10,1.5802004747092724,1.5802004747092724
stage2,11,1.5060778446495533,1.5060778446495533
stage2,12,1.1381420828402042,1.1381420828402042
stage2,13,1.4486387111246586,1.4486387111246586
stage2,14,1.528739420697093,1.528739420697093
stage2,15,1.330080036073923,1.330080036073923
stage2,16,1.1164228916168213,1.1164228916168213
stage2,17,1.3045795559883118,1.3045795559883118
stage2,18,1.1147638438269496,1.1147638438269496
stage2,19,1.1818316522985697,1.1818316522985697
stage2,20,1.1488932827487588,1.1488932827487588
stage2,21,1.2613140689209104,1.2613140689209104
stage2,22,1.3243486937135458,1.3243486937135458
stage2,23,1.1217482751235366,1.1217482751235366
stage2,24,0.9761529741808772,0.9761529741808772
stage2,25,1.0313189323060215,1.0313189323060215
stage2,26,1.0695743239484727,1.0695743239484727
stage2,27,0.8939506029710174,0.8939506029710174
stage2,28,0.9806377529166639,0.9806377529166639
stage2,29,0.8326023705303669,0.8326023705303669
stage2,30,1.1133751780726016,1.1133751780726016
stage2,31,0.7945100250653923,0.7945100250653923
stage2,32,1.0615315646864474,1.0615315646864474
stage2,33,0.9626131614204496,0.9626131614204496
stage2,34,1.0806814818643034,1.0806814818643034
stage2,35,0.7437182418070734,0.7437182418070734
stage2,36,1.0529021692927927,1.0529021692927927
stage2,37,0.8569941171444952,0.8569941171444952
stage2,38,0.9309966217260808,0.9309966217260808
stage2,39,1.0234073409810662,1.0234073409810662
stage2,40,0.9950132140656933,0.9950132140656933
stage2,41,1.038939933758229,1.038939933758229
stage2,42,0.9287112907040864,0.9287112907040864
stage2,43,0.9488853104412556,0.9488853104412556
stage2,44,0.9111515189288184,0.9111515189288184
stage2,45,0.7252243719995022,0.7252243719995022
stage2,46,0.8322817289736122,0.8322817289736122
stage2,47,0.9083104229066521,0.9083104229066521
stage2,48,0.9401286344509572,0.9401286344509572
stage2,49,0.6893393190111965,0.6893393190111965
stage2,50,1.0929551997687668,1.0929551997687668
stage2,51,0.9535764382453635,0.9535764382453635
stage2,52,0.5612932065268978,0.5612932065268978
stage2,53,0.8219374914187938,0.8219374914187938
stage2,54,0.9725785533664748,0.9725785533664748
stage2,55,0.7725521075772122,0.7725521075772122
stage2,56,0.8876648064469919,0.8876648064469919
stage2,57,0.7995124724693596,0.7995124724693596
stage2,58,0.9694714404176921,0.9694714404176921
stage2,59,0.8813438485376537,0.8813438485376537
stage2,60,1.107518213801086,1.107518213801086
stage2,61,0.9981039728736505,0.9981039728736505
stage2,62,0.9678717834176496,0.9678717834176496
stage2,63,1.0168524641776457,1.0168524641776457
stage2,64,0.9190655637066811,0.9190655637066811
stage2,65,0.7488587726838887,0.7488587726838887
stage2,66,0.7867498686537147,0.7867498686537147
stage2,67,0.7377069174544886,0.7377069174544886
stage2,68,0.6690186930354685,0.6690186930354685
stage2,69,0.7611104893730953,0.7611104893730953
stage2,70,0.7797535065328702,0.7797535065328702
stage2,71,1.09743210778106,1.09743210778106
stage2,72,1.112185382982716,1.112185382982716
stage2,73,0.9632260791258886,0.9632260791258886
stage2,74,0.962194194085896,0.962194194085896
stage2,75,0.8411305445479229,0.8411305445479229
stage2,76,0.8516959636472166,0.8516959636472166
stage2,77,0.8198439326370135,0.8198439326370135
stage2,78,0.76938112732023,0.76938112732023
stage2,79,0.8711577855283394,0.8711577855283394
stage2,80,1.0235120879951864,1.0235120879951864
stage2,81,0.7449119795346633,0.7449119795346633
stage2,82,0.8718554803635925,0.8718554803635925
stage2,83,0.9776228464907035,0.9776228464907035
stage2,84,0.7589472936233506,0.7589472936233506
stage2,85,0.9977933992631733,0.9977933992631733
