metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.072247,0.019418,0.05719937542563214,0.08270959708251846,0.1053922866116146,0.06259295321643998,0.053339061053600645
A2_abs_r_q95_error,0.000606,5.6e-05,0.0004986579958605117,0.0006559886099940619,0.0006066818679029452,0.0006367433601013259,0.0006301109778675817
A3_abs_r_q99_error,0.000833,0.000133,0.0005897266062059175,0.0009906606755908307,0.0008893530130051619,0.0008211281777410068,0.0008725580551434756
A4_tail_qq_error,0.000562,7e-05,0.00042717921205970635,0.0006269192796092115,0.0005781401087358192,0.0005820604148667835,0.0005965781289445852
A5_hill_tail_index_error,1.605581,0.910742,3.0925033627796665,0.46000582351997465,1.5407621850448656,2.0065477208534794,0.9280857971505796
A6_path_mmd2,0.002174,0.000152,0.0019942334813179696,0.002117447498959091,0.0024136809896196376,0.002277677278194362,0.002068530070440333
A7_terminal_mmd2,0.00208,0.000768,0.0013350401585383587,0.002198306703817765,0.003511144196859217,0.0017432218625145213,0.0016122750580116474
A8_increment_mmd2,0.001322,4.2e-05,0.0013496863829174366,0.0012577178812442913,0.001315586499006427,0.0013807954380820053,0.0013053650679153428
A9_volatility_mmd,0.016403,0.001147,0.015679871042121984,0.01575124889185947,0.018073625077183686,0.017436318231665193,0.015072797891153344
A10_terminal_swd,0.819746,0.0581,0.7141552098932752,0.8754379811669136,0.8410232751152491,0.8637595387891386,0.8043520765749383
A11_path_swd,0.615565,0.06419,0.5104389490257162,0.6473695011441305,0.6341512975121588,0.7007915658229786,0.5850719440592527
A12_rv_law_loss,0.200241,0.02898,0.14475080269703403,0.22767287226177058,0.20154445617773484,0.2116185586950928,0.21562042886526822
A13_mean_path_rmse,0.245812,0.084825,0.2568715355682463,0.39403438524513007,0.2234685653543685,0.13256955284106425,0.22211600500210318
A14_ks_logreturns,0.003553,0.000682,0.002454862819881831,0.004436823326771672,0.003439114788385822,0.0033487635334645827,0.0040850301427165225
A15_skewness_error,0.011823,0.004283,0.005642197935042392,0.015370259150738287,0.01727371026967406,0.008509103198334651,0.012321043698042426
A16_qq_rmse,0.000223,3.3e-05,0.000163028723239465,0.0002602018995186318,0.00022345868098665086,0.00022690451997186794,0.00024019743938540766
