step,mse
1,104.05632019042969
2,211.051513671875
3,343.0448913574219
4,142.23452758789062
5,134.39358520507812
6,125.71493530273438
7,117.11176300048828
8,124.89008331298828
9,101.2772445678711
10,97.42149353027344
11,102.57718658447266
12,104.04981231689453
13,6282.75439453125
14,100.15264129638672
15,106.44747161865234
16,105.02489471435547
17,104.03356170654297
18,91.39747619628906
19,92.44493103027344
20,99.9662857055664
21,112.51847839355469
22,99.2665786743164
23,103.59783935546875
24,93.7939453125
25,95.81451416015625
26,88.5691909790039
27,97.82404327392578
28,97.2714614868164
29,103.1101303100586
30,99.98423767089844
31,99.55203247070312
32,88.14018249511719
33,83.78313446044922
34,87.01053619384766
35,81.54389953613281
36,91.51752471923828
37,95.12901306152344
38,92.54170227050781
39,90.17974090576172
40,89.02218627929688
41,94.93231964111328
42,93.70398712158203
43,93.45263671875
44,79.87127685546875
45,82.76168823242188
46,96.74286651611328
47,103.23058319091797
48,93.31383514404297
49,99.9229736328125
50,84.72998809814453
51,86.65348052978516
52,90.79739379882812
53,94.42855834960938
54,95.19581604003906
55,86.06196594238281
56,101.00782775878906
57,82.56883239746094
58,94.31710052490234
59,92.71360778808594
60,92.1407699584961
61,92.31554412841797
62,82.12529754638672
63,92.34679412841797
64,96.73560333251953
65,83.93255615234375
66,92.5309066772461
67,92.76123046875
68,84.32638549804688
69,86.2918701171875
70,83.79927825927734
71,86.39134979248047
72,76.34181213378906
73,97.79876708984375
74,86.20787048339844
75,95.17462158203125
76,93.33963775634766
77,87.82756042480469
78,87.90599822998047
79,87.61461639404297
80,85.02857208251953
81,82.42372131347656
82,101.98619079589844
83,91.84517669677734
84,88.38817596435547
85,78.10189056396484
86,92.56694793701172
87,90.42840576171875
88,94.3802261352539
89,87.12936401367188
90,86.38983154296875
91,81.1904296875
92,84.2784652709961
93,82.94113159179688
94,84.91986083984375
95,100.59855651855469
96,90.87274932861328
97,92.80616760253906
98,84.56334686279297
99,84.22433471679688
100,78.3973159790039
101,87.3751220703125
102,83.12201690673828
103,82.12759399414062
104,100.96246337890625
105,96.15792083740234
106,96.18682861328125
107,87.4264144897461
108,83.07335662841797
109,83.9302749633789
110,81.33099365234375
111,90.44915771484375
112,80.83967590332031
113,84.12268829345703
114,92.4404296875
115,88.5882339477539
116,95.8479995727539
117,78.66691589355469
118,82.9755630493164
119,97.55043029785156
120,85.58183288574219
121,76.76481628417969
122,97.94534301757812
123,92.24070739746094
124,90.39311218261719
125,91.3062973022461
126,98.0419692993164
127,94.3089599609375
128,87.58993530273438
129,88.76808166503906
130,86.7587890625
131,94.7282943725586
132,95.23767852783203
133,85.34400177001953
134,84.53952026367188
135,86.64888763427734
136,88.86332702636719
137,83.48721313476562
138,84.08033752441406
139,88.33645629882812
140,83.0434341430664
141,91.44286346435547
142,80.02800750732422
143,92.43450927734375
144,88.09730529785156
145,90.99794006347656
146,82.12000274658203
147,97.44245910644531
148,86.93875122070312
149,97.8764419555664
150,88.20307922363281
151,89.46565246582031
152,84.4476547241211
153,87.29267120361328
154,81.70021057128906
155,87.24533081054688
156,87.91455078125
157,88.81788635253906
158,84.28588104248047
159,96.81843566894531
160,86.53367614746094
161,98.72137451171875
162,89.78910064697266
163,91.7785873413086
164,91.01048278808594
165,90.91421508789062
166,93.47331237792969
167,85.13196563720703
168,83.07606506347656
169,78.54621887207031
170,101.34685516357422
171,88.43853759765625
172,103.84321594238281
173,93.86289978027344
174,77.18045043945312
175,83.12332153320312
176,83.1540756225586
177,83.12055969238281
178,82.81019592285156
179,80.4233627319336
180,100.12895965576172
181,86.01702880859375
182,100.49268341064453
183,81.7680435180664
184,82.83411407470703
185,88.3174819946289
186,89.83267211914062
187,86.62725830078125
188,90.57804107666016
189,94.3744125366211
190,89.67790222167969
191,79.92524719238281
192,90.65628814697266
193,72.06277465820312
194,83.25091552734375
195,93.98851013183594
196,87.85533905029297
197,86.8213882446289
198,77.15541076660156
199,82.6220932006836
200,90.07630157470703
201,90.0809097290039
202,79.94145965576172
203,89.44700622558594
204,88.70257568359375
205,89.00762939453125
206,95.42524719238281
207,95.17790222167969
208,78.76322937011719
209,79.39710235595703
210,91.64054870605469
211,89.97798156738281
212,83.5254135131836
213,89.29842376708984
214,88.04669952392578
215,96.05747985839844
216,83.52013397216797
217,78.39803314208984
218,79.15312194824219
219,85.69815063476562
220,90.94268035888672
221,90.0250473022461
222,76.39431762695312
223,84.53541564941406
224,96.94273376464844
225,82.08769226074219
226,100.482421875
227,83.82682037353516
228,87.48857879638672
229,95.0718765258789
230,86.48931884765625
231,93.53697204589844
232,83.7643051147461
233,89.99356079101562
234,93.39142608642578
235,78.91991424560547
236,93.35061645507812
237,85.5669937133789
238,86.19603729248047
239,83.14328002929688
240,82.15528869628906
241,82.53512573242188
242,93.7876205444336
243,85.8182144165039
244,92.48423767089844
245,95.43528747558594
246,86.93306732177734
247,96.0557861328125
248,82.29179382324219
249,92.2679672241211
250,96.53484344482422
251,98.18948364257812
252,88.15876770019531
253,98.78872680664062
254,88.29617309570312
255,88.21858978271484
256,92.02080535888672
257,77.6201400756836
258,87.5211181640625
259,95.39698791503906
260,90.48570251464844
261,91.32684326171875
262,100.0614242553711
263,87.78616333007812
264,86.74015045166016
265,94.25188446044922
266,74.8979263305664
267,91.04593658447266
268,84.81073760986328
269,80.68978881835938
270,91.35061645507812
271,85.85050964355469
272,85.07731628417969
273,90.30536651611328
274,80.7271728515625
275,81.46237182617188
276,86.42633056640625
277,80.22917938232422
278,90.90604400634766
279,87.5474853515625
280,82.06631469726562
281,79.72505950927734
282,93.65947723388672
283,91.10494995117188
284,82.6021499633789
285,85.02957153320312
286,85.3796157836914
287,82.28252410888672
288,88.5462646484375
289,104.5802230834961
290,93.89363098144531
291,97.45521545410156
292,91.46440887451172
293,91.65168762207031
294,78.44951629638672
295,84.65143585205078
296,86.42597961425781
297,88.3099365234375
298,84.52668762207031
299,99.0201187133789
300,91.47428894042969
301,84.38943481445312
302,82.5025405883789
303,88.87043762207031
304,75.0008544921875
305,82.55723571777344
306,83.2048568725586
307,83.01502990722656
308,85.20069122314453
309,87.29682922363281
310,91.82318115234375
311,86.77909088134766
312,78.76396942138672
313,86.03741455078125
314,80.55953979492188
315,92.77440643310547
316,87.39314270019531
317,82.9234619140625
318,82.73629760742188
319,89.99765014648438
320,93.59721374511719
321,83.93729400634766
322,80.34053802490234
323,79.87767791748047
324,98.12347412109375
325,92.60617065429688
326,92.19969177246094
327,78.62981414794922
328,87.17800903320312
329,84.62844848632812
330,83.63229370117188
331,85.35240173339844
332,92.16635131835938
333,93.76026916503906
334,90.2337875366211
335,87.86225128173828
336,88.85294342041016
337,85.08404541015625
338,85.74569702148438
339,77.21275329589844
340,81.93124389648438
341,87.9573974609375
342,77.01553344726562
343,88.34031677246094
344,86.18260192871094
345,93.4666748046875
346,75.4107894897461
347,86.60739135742188
348,87.08177947998047
349,91.7174301147461
350,90.53236389160156
351,78.41925811767578
352,76.43006896972656
353,91.4074478149414
354,91.7754898071289
355,85.080322265625
356,83.85065460205078
357,88.5433578491211
358,77.56509399414062
359,83.66720581054688
360,94.13545989990234
361,85.44314575195312
362,88.13336181640625
363,95.58500671386719
364,78.70049285888672
365,92.80502319335938
366,88.8674087524414
367,80.8926773071289
368,74.917236328125
369,78.95314025878906
370,79.78516387939453
371,83.46589660644531
372,87.68922424316406
373,80.87648010253906
374,87.45879364013672
375,82.0062484741211
376,90.48650360107422
377,89.02833557128906
378,72.06254577636719
379,84.43276977539062
380,79.12191772460938
381,83.82746124267578
382,88.21467590332031
383,86.8946304321289
384,94.52528381347656
385,90.99555969238281
386,81.28995513916016
387,79.76960754394531
388,86.38128662109375
389,75.65573120117188
390,73.97219848632812
391,76.13880157470703
392,82.7734375
393,96.67660522460938
394,83.2004623413086
395,79.28031158447266
396,79.38809204101562
397,84.2216567993164
398,80.11226654052734
399,88.7520523071289
400,77.23029327392578
401,79.73235321044922
402,79.8037109375
403,77.14410400390625
404,84.56404113769531
405,85.06170654296875
406,82.93632507324219
407,89.08314514160156
408,94.03482055664062
409,85.48430633544922
410,75.26947784423828
